Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,S.No,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Financial Bid Opening Date:,Document :.2,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.3,BOQ Comparative Chart :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,Tender Stage
U.P. Projects Corporation Ltd.||U.P. Projects Corp. Ltd.(MD)||Zone-1 Allahabad,89/UPPCL/GM-1/2025-26/E-TENDER Dated-14.01.2026,2026_UPPRC_1107397_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,"General Manager, Zone-1, Prayagraj","General Manager, Zone-1, U. P. Projects Corporation Ltd. 230/1A, Mehdaury, Teliyarganj, District-Prayagraj.",1.0,SBI Bank,Construction of Rajkiya High School at Composit School Bairpur District-Sonebhadra (U.P.),Construction of Rajkiya High School at Composit School Bairpur District-Sonebhadra (U.P.),Please refer Tender documents. ,NA ,"1,10,56,000",Civil Works - Buildings,NA ,Tender,90.0,270.0,District-Sonebhadra (U.P.),231201.0,NA ,NA ,NA ,Prayagraj,No ,No,1,Fee/PreQual/Technical,.pdf,BIDDOC,"2,22,000",No,fixed,,Nil,Nil,20-Jan-2026 11:00 AM,28-Jan-2026 03:00 PM,20-Jan-2026 11:00 AM,28-Jan-2026 02:00 PM,NA ,NA ,20-Jan-2026 11:00 AM,28-Jan-2026 02:00 PM,02-Feb-2026 02:00 PM,"17,700",Nil,Nil,No,AOC,"General Manager Zone-1, Prayagraj",Internal,"Project Manager Unit-16, Mirzapur, Accountant Unit-16, Mirzapur, General Manager Zone-",SURESH CHANDRA YADAV,06-Mar-2026 05:28 PM,finsummary_2043795.pdf (456.01 KB),Technical,Enclosed,SURESH CHANDRA YADAV,31-Jan-2026 06:29 PM,technical_2043795.pdf,"General Manager Zone-1, Prayagraj",Internal,"Project Manager Unit-16, Mirzapur, Accountant Unit-16, Mirzpur, General Manager Zone-5, Lucknow",SURESH CHANDRA YADAV,31-Jan-2026 06:31 PM,02-Feb-2026 02:00 PM,techsummary_2043795.pdf (687.29 KB),Finance,Enclosed,SURESH CHANDRA YADAV,06-Mar-2026 05:24 PM,finance_2043795.pdf,BOQ Comparative Chart,U.P. Projects Corporation Ltd.||U.P. Projects Corp. Ltd.(MD)||Zone-1 Allahabad,2026_UPPRC_1107397_1,89/UPPCL/GM-1/2025-26/E-TENDER Dated-14.01.2026,Construction of Rajkiya High School at Composit School Bairpur District-Sonebhadra (U.P.),1.0,5824113.0,M/S S K V ENTERPRISES,INR,"10,984,221.86",1,5824135,jaimanidev pandey,27-Jan-2026 06:23 PM,Rejected-AOC,Accept,06-Mar-2026 05:44 PM,06-Mar-2026,"INR 10,984,221.86",270.0,SURESH CHANDRA YADAV,06-Mar-2026 05:44 PM,Agr102.pdf (352.00 KB),Enclosed,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5824113,M/S S K V ENTERPRISES,26-Jan-2026 04:26 PM,Accepted-AOC,Accept,06-Mar-2026 05:44 PM,,,,,,,,AOC
