S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Type :,Summary :,Updated By :.2,Updated On :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Financial Bid Opening Date:,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No,Bank Name,Name,Address,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage
1,5906598,M/s Mannat Construction,24-Feb-2026 11:00 AM,Accepted-AOC,L1,24-Mar-2026 07:22 PM,1.0,5906598.0,M/s Mannat Construction,INR,"2,524,457",Director Cum Chief Engineer RED||CHIEF ENGINEER EAST||SE LUCKNOW CIRCLE||EE SITAPUR,2026_REDUP_1118901_4,1603/RED/Tender/2025-26,"Installation of Semi-high mast lights (200 watts with 06 lights) at 16 public places (as per the proposal of Hon ble MP), Block-Hargaon",24-Mar-2026,"INR 2,524,457",90.0,Gyanendra Kumar,24-Mar-2026 07:22 PM,2.pdf (362.00 KB),Gyanendra Kumar,Internal,,Gyanendra Kumar,24-Mar-2026 06:40 PM,finsummary_2080218.pdf (523.09 KB),Technical,Two bid have been received and send For Technical Evaluation,Gyanendra Kumar,27-Feb-2026 01:27 PM,,Gyanendra Kumar,Internal,,Gyanendra Kumar,12-Mar-2026 04:47 PM,16-Mar-2026 12:30 PM,techsummary_2080218.pdf (315.09 KB),Finance,Two bid have been received and send For Financial Evaluation,Gyanendra Kumar,16-Mar-2026 05:39 PM,,BOQ Comparative Chart,AOC,944.0,Nil,Nil,No,Director Cum Chief Engineer RED||CHIEF ENGINEER EAST||SE LUCKNOW CIRCLE||EE SITAPUR,1603/RED/Tender/2025-26,2026_REDUP_1118901_4,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,"Installation of Semi-high mast lights (200 watts with 06 lights) at 16 public places (as per the proposal of Hon ble MP), Block-Hargaon","Installation of Semi-high mast lights (200 watts with 06 lights) at 16 public places (as per the proposal of Hon ble MP), Block-Hargaon",Please refer Tender documents. ,NA ,"25,24,709",Electrical Works,NA ,Tender,90.0,NA ,"Hargaon, Sitapur.",261001.0,NA ,NA ,NA ,"Office of EE RED, Sitapur.",No ,No,21-Feb-2026 03:00 PM,27-Feb-2026 12:30 PM,21-Feb-2026 03:00 PM,27-Feb-2026 12:00 PM,NA ,NA ,21-Feb-2026 03:00 PM,27-Feb-2026 12:00 PM,16-Mar-2026 12:30 PM,1.0,SBI Bank,EE RED Sitapur,"Vikas Bhawan, Sitapur",1,Fee/PreQual/Technical,.pdf,Technical,"54,000",No,fixed,,Nil,Nil,AOC
2,5907042,SHAKUN CONSTRUCTION,21-Feb-2026 06:58 PM,Rejected-Finance,Higher Rate Quoted,24-Mar-2026 06:40 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Finance,.xls,Finance,,,,,,,AOC
