S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Type :,Summary :,Updated By :.2,Updated On :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Financial Bid Opening Date:,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,S.No,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No.1,Category,Sub Category,Sub Category Description,Format/File,Tender Stage
1.0,5938232.0,M/S ABHAY DATA CONSTRUCTION,INR,"1,073,000",U P Irrigation Department (Mechanical)||Chief Engineer (Tubewell Centre)||Superintending Engineer(Tubewell)-Sitapur||Executive Engineer(MLCD)-Lucknow,2026_UPIDM_1119274_1,58/EE/MLCD/LKO/2025-26,"1st class brick lining work in bed and both side wall in main canal with 100pct. new bricks including all cost of material, labour, tool and plant etc. as per bill of quantity at Phagoopur pump canal district Raebareli",1.0,5940252.0,MANJULA MISHRA,28-Feb-2026 09:07 AM,Rejected-AOC,L2,30-Mar-2026 04:06 PM,13-Mar-2026,"INR 1,073,000",30.0,Ashutosh Kumar Singh,30-Mar-2026 04:06 PM,TEC.pdf (766.00 KB),L1,Ashutosh Kumar Singh EE,Internal,"Ashutosh Kumar Singh EE, Gaurav Singh EE",Ashutosh Kumar Singh,28-Feb-2026 05:14 PM,finsummary_2081198.pdf (174.08 KB),Technical,Technical Evaluation,Ashutosh Kumar Singh,28-Feb-2026 03:40 PM,technical_2081198.pdf,Ashutosh Kumar Singh EE,Internal,"Ashutosh Kumar Singh EE, Gaurav Singh EE",Ashutosh Kumar Singh,28-Feb-2026 03:49 PM,28-Feb-2026 03:50 PM,techsummary_2081198.pdf (174.08 KB),Finance,Financial Evalutation,Ashutosh Kumar Singh,28-Feb-2026 05:01 PM,finance_2081198.pdf,BOQ Comparative Chart,AOC,"1st class brick lining work in bed and both side wall in main canal with 100pct. new bricks including all cost of material, labour, tool and plant etc. as per bill of quantity at Phagoopur pump canal district Raebareli","1st class brick lining work in bed and both side wall in main canal with 100pct. new bricks chainage 0.675 km to 1.00 km including all cost of material, labour, tool and plant etc. as per bill of quantity at Phagoopur pump canal district Raebareli",Please refer Tender documents. ,NA ,,Civil Works - Canal,NA ,Tender,30.0,NA ,Phagoopur pump canal district Raebareli,229310.0,NA ,NA ,NA ,"Office of Executive Engineer,Minor Lift Canal Divi",No ,No,766.0,Nil,Nil,No,"Executive Engineer, Minor Lift Canal Division","Office Of Executive Engineer, Minor Lift Canal Division, 3/435-A, Vishwash khand Gomti Nagar, Lucknow, U.P -226010",1.0,SBI Bank,"22,955",No,fixed,,Nil,Nil,1.0,Fee/PreQual/Technical,.pdf,Tender Fee and EMD,23-Feb-2026 10:00 AM,28-Feb-2026 01:00 PM,23-Feb-2026 10:00 AM,28-Feb-2026 11:00 AM,NA ,NA ,23-Feb-2026 10:00 AM,28-Feb-2026 11:00 AM,28-Feb-2026 03:50 PM,U P Irrigation Department (Mechanical)||Chief Engineer (Tubewell Centre)||Superintending Engineer(Tubewell)-Sitapur||Executive Engineer(MLCD)-Lucknow,58/EE/MLCD/LKO/2025-26,2026_UPIDM_1119274_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,1,Certificate Details ,Permanent Account Number ,Permanent Account Number ,,AOC
,,,,,,,,,2.0,5938232.0,M/S ABHAY DATA CONSTRUCTION,28-Feb-2026 10:34 AM,Accepted-AOC,L1,30-Mar-2026 04:06 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"GST, PAN and Labour Registration",,,,,,,,,,,,,,,,,,,,,,,,2,DNIT Documents ,DNIT ,Digitally Signed Terms Condition and Specfication ,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Firm Registration,,,,,,,,,,,,,,,,,,,,,,,,3,Experience/ mfg. capacity ,Detailed Experience of Supplied Items/Works/Services of the Bidder ,Detailed Experience of Supplied Items/Works/Services of the Bidder ,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Character (IDT-1) and Insolvency (IDT-2),,,,,,,,,,,,,,,,,,,,,,,,4,Experience/ mfg. capacity ,Performance Certificates of the Supplied Items/Works/Services for previous years ,Performance Certificates of the Supplied Items/Works/Services for previous years ,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Bid Validity and Self Decleration Affidavit (IDT-3),,,,,,,,,,,,,,,,,,,,,,,,5,Misc. document ,Bidder Address Format ,Bidder Address Format ,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Experience Certificate,,,,,,,,,,,,,,,,,,,,,,,,6,Misc. document ,Any other document ,Any other document ,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,7,Tax related documents ,PAN card ,PAN card ,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,Tax related documents ,VAT registration certificate ,VAT registration certificate ,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,Technical Details ,Firms capability and capacity ,Firms capability and capacity ,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,Technical Details ,Other Technical Documents ,Other Technical Documents ,,AOC
