S.No,Revocation Title,Revocation Description,Published Date,Document Name,Document Size(in KB),Revocated To,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.2,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.1,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.1,Financial Bid Opening Date:,Document :.1,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,Tender Stage,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Tender Stage
1.0,Tender Revocation,Tender Revocation,05-Mar-2026 12:33 PM,TenderRevocation.pdf ,728.13,Technical Opening,16-Mar-2026,"INR 207,321.62",15.0,Mukesh Kumar,23-Mar-2026 05:27 PM,Banda39neeraj.pdf (414.00 KB),Awarded to M/S Neeraj Contractor and Suppliers,"U P Irrigation Department (Civil)||Chief Engineer-Eastern Ganga, Moradabad||EGCC Circle, Bijnore||EGCD-4, bijnore",2026_UPIDC_1115288_1,04/EE/2025-26,Silt Clearance of Banda Drain from km. 0.000 to km. 7.000 for the year 2025-26.(Lot-01),1.0,5925627.0,NEERAJ CONTRACTOR AND SUPPLIERS,INR,"207,321.62",1,5908837,M/S JAIVEER SINGH S/O N SINGH THEKEDAR,24-Feb-2026 04:40 PM,Rejected-AOC,L3,23-Mar-2026 05:27 PM,Finance,Four valid bid found. which are admitted.,Mukesh Kumar,11-Mar-2026 04:09 PM,,BOQ Comparative Chart,Mukesh Kumar,Internal,Yogesh Nim,Mukesh Kumar,06-Mar-2026 11:52 AM,10-Mar-2026 11:00 AM,techsummary_2069147.pdf (951.45 KB),Technical,Four valid bid found. which are admitted.,Mukesh Kumar,06-Mar-2026 10:15 AM,,Mukesh Kumar,Internal,Yogesh Nim,Mukesh Kumar,11-Mar-2026 05:59 PM,finsummary_2069147.pdf (250.82 KB),AOC,177.0,Nil,Nil,No,1.0,Fee/PreQual/Technical,.pdf,Technical Documents(Contractor),Silt Clearance of Banda Drain from km. 0.000 to km. 7.000 for the year 2025-26.(Lot-01),Silt Clearance of Banda Drain from km. 0.000 to km. 7.000 for the year 2025-26.,Please refer Tender documents. ,NA ,"2,98,000",Civil Works - Canal,NA ,Tender,90.0,15.0,Bijnor,246701.0,NA ,NA ,NA ,"E.G.C.C.D-4, Bijnor",No ,No,1.0,SBI Bank,"U P Irrigation Department (Civil)||Chief Engineer-Eastern Ganga, Moradabad||EGCC Circle, Bijnore||EGCD-4, bijnore",04/EE/2025-26,2026_UPIDC_1115288_1,Yes,Open Tender,Item Wise,Works,2.0,No,No,Online,No,No,No,19-Feb-2026 10:00 AM,25-Feb-2026 02:00 PM,19-Feb-2026 10:00 AM,25-Feb-2026 11:00 AM,NA ,NA ,19-Feb-2026 10:00 AM,25-Feb-2026 11:00 AM,10-Mar-2026 11:00 AM,"5,960",No,fixed,,Nil,Nil,E.E.,"E.G.C.C.D-4, Bijnor",AOC
,,,,,,,,,,,,,,,,,,,,,,,2,5927256,M/S SANJEEV KUMAR CONTRACTOR,25-Feb-2026 10:55 AM,Rejected-AOC,L2,23-Mar-2026 05:27 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,3,5925627,NEERAJ CONTRACTOR AND SUPPLIERS,24-Feb-2026 07:04 PM,Accepted-AOC,L1,23-Mar-2026 05:27 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,4,5926127,RANVEER SINGH,25-Feb-2026 10:29 AM,Rejected-AOC,L4,23-Mar-2026 05:27 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
