Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :,Financial Bid Opening Date:,Document :,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,Tender Stage,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage
Director Cum Chief Engineer RED||CHIEF ENGINEER EAST||SE GORAKHPUR CIRCLE||EE KUSHINAGAR,2026_REDUP_1119268_8,2324/RED Tender KUSHINAGAR,VIKAS KHAND PADRAUNA KE GRAM SABHAPIPRA SUJAN ME RAJENDRA KE GHAR SE VIJAY PRATAP KE MADAI TAK JANE WALE MARG PAR CCROAD NIRMAD KARYA,1.0,5946133.0,VIKRANT ASSOCIATES,INR,100.0,1,5947246,MS OM CONSTRUCTION PRO- DEEPAK KUMAR SINGH,05-Mar-2026 10:43 AM,Rejected-Finance,L2,17-Mar-2026 12:35 PM,17-Mar-2026,INR 100,90.0,Virendra Kumar Pandey,17-Mar-2026 09:55 PM,8.pdf (443.00 KB),EE RED KUSHINAGAR,Internal,,Virendra Kumar Pandey,05-Mar-2026 05:25 PM,05-Mar-2026 06:00 PM,techsummary_2081179.pdf (887.21 KB),Finance,Bid Opening Summary,Praveen Kumar,05-Mar-2026 10:04 PM,,BOQ Comparative Chart,EE RED KUSHINAGAR,Internal,,Virendra Kumar Pandey,17-Mar-2026 02:16 PM,finsummary_2081179.pdf (442.63 KB),Technical,Bid Opening Summary,Virendra Kumar Pandey,05-Mar-2026 03:36 PM,,AOC,28-Feb-2026 03:00 PM,05-Mar-2026 03:00 PM,28-Feb-2026 03:00 PM,05-Mar-2026 03:00 PM,NA ,NA ,28-Feb-2026 03:00 PM,05-Mar-2026 03:00 PM,05-Mar-2026 06:00 PM,"2,336",Nil,Nil,No,"38,000",No,fixed,,Nil,Nil,EE RED KUSHINAGAR,EE RED KUSHINAGAR,1,Fee/PreQual/Technical,.pdf,Fee/PreQual/Technical,VIKAS KHAND PADRAUNA KE GRAM SABHAPIPRA SUJAN ME RAJENDRA KE GHAR SE VIJAY PRATAP KE MADAI TAK JANE WALE MARG PAR CCROAD NIRMAD KARYA,VIKAS KHAND PADRAUNA KE GRAM SABHAPIPRA SUJAN ME RAJENDRA KE GHAR SE VIJAY PRATAP KE MADAI TAK JANE WALE MARG PAR CCROAD NIRMAD KARYA,Please refer Tender documents. ,NA ,"19,24,000",Civil Works,NA ,Tender,90.0,90.0,work,274302.0,NA ,NA ,NA ,EE RED KUSHINAGAR,No ,No,1.0,SBI Bank,Director Cum Chief Engineer RED||CHIEF ENGINEER EAST||SE GORAKHPUR CIRCLE||EE KUSHINAGAR,2324/RED Tender KUSHINAGAR,2026_REDUP_1119268_8,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,AOC
,,,,,,,,,2,5946133,VIKRANT ASSOCIATES,05-Mar-2026 10:58 AM,Accepted-AOC,L1,17-Mar-2026 09:56 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,2,Finance,.xls,Finance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
