S.No,Instrument Type,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :.1,Financial Bid Opening Date:,Document :.1,Type :.1,Summary :.1,Updated By :.2,Updated On :.2,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :,Document :.3,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage
1,FDR - Fixed Deposit,"40,500",No,fixed,,UPSCIDCO,BASTI,Construction of CC Road work at Nagara Baudihar Chaurahe Se Ekdangi Mandir Tak Distt Basti. (Sansad Nidhi Basti),Construction of CC Road work at Nagara Baudihar Chaurahe Se Ekdangi Mandir Tak Distt Basti. (Sansad Nidhi Basti),As Given in NIT ,NA ,"20,25,000",Civil Works,NA ,Tender,90.0,90.0,Basti,272001.0,"H.No. 1348 Jaypurawa Gandhinagar, near Nagar pali ","H.No. 1348 Jaypurawa Gandhinagar, near Nagar palika Ke Piche , Basti ",21-Feb-2026 12:00 PM ,UPSCIDCO BASTI,No ,No,1,Fee/PreQual/Technical,.pdf,NIT,"1,652",UPSCIDCO,BASTI,No,17-Feb-2026 09:00 AM,24-Feb-2026 02:00 PM,17-Feb-2026 09:00 AM,24-Feb-2026 01:00 PM,17-Feb-2026 09:00 AM ,24-Feb-2026 01:00 PM ,17-Feb-2026 09:00 AM,24-Feb-2026 01:00 PM,10-Mar-2026 09:00 AM,Executive Engineer,"H.No. 1348 Jaypurawa Gandhinagar, near Nagar palika Ke Piche , Basti",U.P. State Construction and Infrastructure Development Corporation Ltd.||Unit Basti,2035 /EE Basti /E-Tender /sansad Nidhi Basti /2025-26 Dated 16-02-2026,2026_SCIDC_1116944_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Offline,No,No,No,AOC,Finance,M/S JAI CONSTRUCTION Found L1,Ramesh Bahadur Shahi,18-Mar-2026 06:34 PM,finance_2074668.pdf,BOQ Comparative Chart,Sri Ramesh Bahadur Shahi EE,Internal,Attached,Ramesh Bahadur Shahi,09-Mar-2026 07:28 PM,10-Mar-2026 09:00 AM,techsummary_2074668.pdf (422.95 KB),Technical,M/S JAI CONSTRUCTION and M/s GANPATI TRADERS Found,Ramesh Bahadur Shahi,09-Mar-2026 07:25 PM,technical_2074668.pdf,Sri Ramesh Bahadur Shahi EE,Internal,Attached,Ramesh Bahadur Shahi,18-Mar-2026 06:36 PM,finsummary_2074668.pdf (534.45 KB),20-Mar-2026,"INR 2,024,595",90.0,Ramesh Bahadur Shahi,20-Mar-2026 12:26 PM,BaudiharLOI.pdf (1101.00 KB),M/s Jai Construction Found L1,U.P. State Construction and Infrastructure Development Corporation Ltd.||Unit Basti,2026_SCIDC_1116944_1,2035 /EE Basti /E-Tender /sansad Nidhi Basti /2025-26 Dated 16-02-2026,Construction of CC Road work at Nagara Baudihar Chaurahe Se Ekdangi Mandir Tak Distt Basti. (Sansad Nidhi Basti),1.0,5903224.0,M/S JAI CONSTRUCTION,INR,"2,024,595",1,5918009,GANPATI TRADERS,23-Feb-2026 04:59 PM,Rejected-Finance,L2,18-Mar-2026 06:36 PM,AOC
2,RTGS - RTGS Payment,,,,,,,,,,,,,,,,,,,,,,,,,2,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5903224,M/S JAI CONSTRUCTION,20-Feb-2026 06:11 PM,Accepted-AOC,L1,20-Mar-2026 12:26 PM,AOC
