Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Type :,Summary :,Updated By :.2,Updated On :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Financial Bid Opening Date:,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,Name,Address,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Instrument Type,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage
U.P. State Construction and Infrastructure Development Corporation Ltd.||Unit Basti,2026_SCIDC_1116929_1,2033 /EE Basti /E-Tender /sansad Nidhi Basti /2025-26 Dated 16-02-2026,Construction of CC Road work at Gram Panchayat Raghaupur Me Ramhit Chaudhary Ke Ghar Se Samidayik Shauchaly Tak Distt Basti. (Sansad Nidhi Basti),1.0,5912483.0,M/S PAWAN KUMAR,INR,"2,117,576",1,5914449,M/S AANYA CONSTRUCTION,23-Feb-2026 08:54 AM,Rejected-Finance,L2,18-Mar-2026 06:30 PM,20-Mar-2026,"INR 2,117,576",90.0,Ramesh Bahadur Shahi,20-Mar-2026 12:21 PM,RaghupurLOI.pdf (1141.00 KB),M/s Pawan Kumar Found L1,Sri Ramesh Bahadur Shahi EE,Internal,Attached,Ramesh Bahadur Shahi,18-Mar-2026 06:30 PM,finsummary_2074641.pdf (518.98 KB),Technical,M/S PAWAN KUMAR and M/S AANYA CONSTRUCTION Found,Ramesh Bahadur Shahi,09-Mar-2026 07:13 PM,technical_2074641.pdf,Sri Ramesh Bahadur Shahi EE,Internal,Attached,Ramesh Bahadur Shahi,09-Mar-2026 07:16 PM,10-Mar-2026 09:00 AM,techsummary_2074641.pdf (427.70 KB),Finance,M/S PAWAN KUMAR Found L1,Ramesh Bahadur Shahi,18-Mar-2026 06:27 PM,finance_2074641.pdf,BOQ Comparative Chart,AOC,"42,500",No,fixed,,UPSCIDCO,BASTI,U.P. State Construction and Infrastructure Development Corporation Ltd.||Unit Basti,2033 /EE Basti /E-Tender /sansad Nidhi Basti /2025-26 Dated 16-02-2026,2026_SCIDC_1116929_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Offline,No,No,No,17-Feb-2026 09:00 AM,24-Feb-2026 02:00 PM,17-Feb-2026 09:00 AM,24-Feb-2026 01:00 PM,17-Feb-2026 09:00 AM ,24-Feb-2026 01:00 PM ,17-Feb-2026 09:00 AM,24-Feb-2026 01:00 PM,10-Mar-2026 09:00 AM,1,Fee/PreQual/Technical,.pdf,NIT,Executive Engineer,"H.No. 1348 Jaypurawa Gandhinagar, near Nagar palika Ke Piche , Basti","1,652",UPSCIDCO,BASTI,No,1,FDR - Fixed Deposit,Construction of CC Road work at Gram Panchayat Raghaupur Me Ramhit Chaudhary Ke Ghar Se Samidayik Shauchaly Tak Distt Basti. (Sansad Nidhi Basti),Construction of CC Road work at Gram Panchayat Raghaupur Me Ramhit Chaudhary Ke Ghar Se Samidayik Shauchaly Tak Distt Basti. (Sansad Nidhi Basti),As Given in NIT ,NA ,"21,18,000",Civil Works,NA ,Tender,90.0,90.0,Basti,272001.0,"H.No. 1348 Jaypurawa Gandhinagar, near Nagar pali ","H.No. 1348 Jaypurawa Gandhinagar, near Nagar palika Ke Piche , Basti ",21-Feb-2026 12:00 PM ,UPSCIDCO BASTI,No ,No,AOC
,,,,,,,,,2,5912483,M/S PAWAN KUMAR,22-Feb-2026 08:35 PM,Accepted-AOC,L1,20-Mar-2026 12:21 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Finance,.xls,BOQ,,,,,,,2,RTGS - RTGS Payment,,,,,,,,,,,,,,,,,,,AOC
