S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :,Financial Bid Opening Date:,Document :,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,Tender Stage,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Tender Stage
1.0,5869684.0,SUDESH KUMAR CONTRACTOR,INR,"593,058.875",U P Irrigation Department (Civil)||Chief Engineer ( Yamuna) Okhla||S E Irrigation works Circle Saharanpur||E E L D E Yamuna Canal Prabudhnagar(Muzaffarnagar),2026_UPIDC_1113317_1,2480/T-10/2025-26 dt- 27-01-2026,RAJWAHA FAJALPUR KE KM 3.793 SE KM 6.830 TAK BAYE BANK PAR NAHAR PATRI KE NAVINIKARAN KA KARYA.,1,5869684,SUDESH KUMAR CONTRACTOR,16-Feb-2026 10:09 AM,Accepted-AOC,a,16-Mar-2026 07:43 PM,17-Mar-2026,"INR 593,058.875",30.0,vivek varshney,16-Mar-2026 07:43 PM,FAZAL.pdf (607.00 KB),a,vivek varshney,Internal,parveen josia,vivek varshney,06-Mar-2026 05:34 PM,06-Mar-2026 05:35 PM,techsummary_2060386.pdf (742.33 KB),Finance,tech,vivek varshney,16-Mar-2026 07:35 PM,,BOQ Comparative Chart,parveen josia,Internal,vivek varshney,vivek varshney,16-Mar-2026 07:40 PM,finsummary_2060386.pdf (606.54 KB),Technical,tech,vivek varshney,06-Mar-2026 05:31 PM,,AOC,U P Irrigation Department (Civil)||Chief Engineer ( Yamuna) Okhla||S E Irrigation works Circle Saharanpur||E E L D E Yamuna Canal Prabudhnagar(Muzaffarnagar),2480/T-10/2025-26 dt- 27-01-2026,2026_UPIDC_1113317_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,"64,000",No,fixed,,Nil,Nil,1,Fee/PreQual/Technical,.pdf,Technical docoments,RAJWAHA FAJALPUR KE KM 3.793 SE KM 6.830 TAK BAYE BANK PAR NAHAR PATRI KE NAVINIKARAN KA KARYA.,RAJWAHA FAJALPUR KE KM 3.793 SE KM 6.830 TAK BAYE BANK PAR NAHAR PATRI KE NAVINIKARAN KA KARYA.,Please refer Tender documents. ,NA ,,Civil Works - Canal,NA ,Tender,90.0,30.0,SHAMLI,247776.0,NA ,NA ,NA ,EE Lower Division Yamuna Canal Office Shamli,No ,No,1.0,SBI Bank,07-Feb-2026 11:00 AM,16-Feb-2026 02:00 PM,07-Feb-2026 11:00 AM,16-Feb-2026 11:00 AM,NA ,NA ,07-Feb-2026 11:00 AM,16-Feb-2026 11:00 AM,06-Mar-2026 05:35 PM,869.0,Nil,Nil,No,EE Lower Division Yamuna Canal Shamli,EE Lower Division Yamuna Canal Office Shamli,AOC
,,,,,,,,,2,5869709,SUDHIR KUMAR CONTRACTOR,16-Feb-2026 10:15 AM,Rejected-AOC,a,16-Mar-2026 07:43 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,2,Finance,.xls,Financial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
