S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :,Financial Bid Opening Date:,Document :,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,Tender Stage,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,S.No,Instrument Type,Name,Address,Tender Stage
1.0,5912582.0,M/S PAWAN KUMAR,INR,"2,117,532",U.P. State Construction and Infrastructure Development Corporation Ltd.||Unit Basti,2026_SCIDC_1116935_1,2034 /EE Basti /E-Tender /sansad Nidhi Basti /2025-26 Dated 16-02-2026,Construction of CC Road work at Gram Panchayat Belsad Pipariya Yadav Purawa Se Sirakohiya Pitch Tak Distt Basti. (Sansad Nidhi Basti),1,5914539,M/S AANYA CONSTRUCTION,23-Feb-2026 08:47 AM,Rejected-Finance,L2,18-Mar-2026 06:25 PM,20-Mar-2026,"INR 2,117,532",90.0,Ramesh Bahadur Shahi,20-Mar-2026 12:17 PM,BelsadLOI.pdf (1115.00 KB),M/s Pawan Kumar Found L1,Sri Ramesh Bahadur Shahi EE,Internal,Attached,Ramesh Bahadur Shahi,09-Mar-2026 07:22 PM,10-Mar-2026 09:00 AM,techsummary_2074652.pdf (413.83 KB),Finance,M/S PAWAN KUMAR Found L1,Ramesh Bahadur Shahi,18-Mar-2026 06:22 PM,finance_2074652.pdf,BOQ Comparative Chart,Sri Ramesh Bahadur Shahi EE,Internal,Attached,Ramesh Bahadur Shahi,18-Mar-2026 06:25 PM,finsummary_2074652.pdf (532.40 KB),Technical,M/S PAWAN KUMAR and M/S AANYA CONSTRUCTION Found,Ramesh Bahadur Shahi,09-Mar-2026 07:20 PM,technical_2074652.pdf,AOC,"1,652",UPSCIDCO,BASTI,No,"42,500",No,fixed,,UPSCIDCO,BASTI,U.P. State Construction and Infrastructure Development Corporation Ltd.||Unit Basti,2034 /EE Basti /E-Tender /sansad Nidhi Basti /2025-26 Dated 16-02-2026,2026_SCIDC_1116935_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Offline,No,No,No,Construction of CC Road work at Gram Panchayat Belsad Pipariya Yadav Purawa Se Sirakohiya Pitch Tak Distt Basti. (Sansad Nidhi Basti),Construction of CC Road work at Gram Panchayat Belsad Pipariya Yadav Purawa Se Sirakohiya Pitch Tak Distt Basti. (Sansad Nidhi Basti),As Given in NIT ,NA ,"21,17,956",Civil Works,NA ,Tender,90.0,90.0,Basti,272001.0,Construction of CC Road work at Gram Panchayat Be ,Construction of CC Road work at Gram Panchayat Belsad Pipariya Yadav Purawa Se Sirakohiya Pitch Tak Distt Basti. (Sansad Nidhi Basti)  ,21-Feb-2026 12:00 PM ,UPSCIDCO BASTI,No ,No,17-Feb-2026 09:00 AM,24-Feb-2026 02:00 PM,17-Feb-2026 09:00 AM,24-Feb-2026 01:00 PM,17-Feb-2026 09:00 AM ,24-Feb-2026 01:00 PM ,17-Feb-2026 09:00 AM,24-Feb-2026 01:00 PM,10-Mar-2026 09:00 AM,1,Fee/PreQual/Technical,.pdf,NIT,1,FDR - Fixed Deposit,Executive Engineer,Construction of CC Road work at Gram Panchayat Belsad Pipariya Yadav Purawa Se Sirakohiya Pitch Tak Distt Basti. (Sansad Nidhi Basti),AOC
,,,,,,,,,2,5912582,M/S PAWAN KUMAR,22-Feb-2026 08:46 PM,Accepted-AOC,L1,20-Mar-2026 12:17 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Finance,.xls,BOQ,2,RTGS - RTGS Payment,,,AOC
