S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Type :,Summary :,Updated By :.2,Updated On :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Financial Bid Opening Date:,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,Cover No,Cover,Document Type,Description,S.No,Instrument Type,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Stage
1.0,5981425.0,M/S RASHMI DEVI CONSTRUCTION,INR,"2,114,586.28",U.P. State Construction and Infrastructure Development Corporation Ltd.||Unit Aligarh,2026_SCIDC_1122888_1,32/MLA/Patiyali/Kasganj/25-26 Date 09.03.2026,Block Ganjdundwara main Gram Katsaiya main Puliya Nirman.,1.0,5982737.0,M/S Raj Construction,17-Mar-2026 06:23 PM,Rejected-Finance,High Rate,23-Mar-2026 01:44 PM,30-Mar-2026,"INR 2,114,586.28",120.0,Satyapal Singh,23-Mar-2026 02:52 PM,KATSAIYA.PDF (105.00 KB),Block Ganjdundwara main Gram Katsaiya main Puliya Nirman,Sri Satyapal singh,Internal,Sri Pramod Kumar,Satyapal Singh,23-Mar-2026 01:44 PM,finsummary_2091462.pdf (64.10 KB),Technical,Bid open,Satyapal Singh,19-Mar-2026 12:51 PM,technical_2091462.pdf,Sri Satyapal singh,Internal,Sri Pramod Kumar Accountant,Satyapal Singh,19-Mar-2026 01:01 PM,19-Mar-2026 01:10 PM,techsummary_2091462.pdf (115.53 KB),Finance,Financial Bid open,Satyapal Singh,23-Mar-2026 01:33 PM,finance_2091462.pdf,BOQ Comparative Chart,AOC,"1,652",Executive Engineer UPSCIDCO,Etah,No,Block Ganjdundwara main Gram Katsaiya main Puliya Nirman.,As per Boq,Please Refer Tender Document ,NA ,"21,15,221",Civil Works,NA ,Tender,60.0,120.0,Village -Katsaiya,207242.0,NA ,NA ,NA ,Etah,No ,No,Executive Engineer,Executive Engineer 106 Aruna Nagar Etah,1.0,Fee/PreQual/Technical,.pdf,NIT/TENDER FEES/EARNEST MONEY,1,DD - Demand Draft,U.P. State Construction and Infrastructure Development Corporation Ltd.||Unit Aligarh,32/MLA/Patiyali/Kasganj/25-26 Date 09.03.2026,2026_SCIDC_1122888_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Offline,No,No,No,"42,000",No,fixed,,Executive Engineer UPSCIDCO,etah,09-Mar-2026 12:29 PM,18-Mar-2026 12:00 PM,09-Mar-2026 01:00 PM,18-Mar-2026 11:00 AM,NA ,NA ,09-Mar-2026 01:00 PM,18-Mar-2026 11:00 AM,26-May-2026 12:29 PM,AOC
,,,,,,,,,2.0,5981425.0,M/S RASHMI DEVI CONSTRUCTION,17-Mar-2026 12:06 PM,Accepted-AOC,Lowest Rate,23-Mar-2026 02:52 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,2,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,RTGS - RTGS Payment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
