S.No,Revocation Title,Revocation Description,Published Date,Document Name,Document Size(in KB),Revocated To,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.2,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :,Financial Bid Opening Date:,Document :,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,Tender Stage,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,S.No,Bank Name,Tender Stage
1.0,Tender Revocation,Tender Revocation,05-Mar-2026 12:42 PM,TenderRevocation.pdf ,728.13,Technical Opening,"U P Irrigation Department (Civil)||Chief Engineer-Eastern Ganga, Moradabad||EGCC Circle, Bijnore||EGCD-4, bijnore",2026_UPIDC_1115288_4,04/EE/2025-26,Clearance of Sludge and waste material of Paijaniya Khala Drain from km. 0.000 to 25.000 in Distt. Bijnor for the year 2025-26.(Lot-04),1.0,5924836.0,MOHD YAIN,INR,"756,000",1,5926420,JAIVEER SINGH,24-Feb-2026 11:07 PM,Rejected-AOC,L2,23-Mar-2026 05:36 PM,14-Mar-2026,"INR 756,000",21.0,Mukesh Kumar,23-Mar-2026 05:36 PM,Pajaniya38yaeen.pdf (909.00 KB),Awarded to m/S Yaeen Contractor,Mukesh Kumar,Internal,Yogesh Nim,Mukesh Kumar,06-Mar-2026 11:55 AM,10-Mar-2026 11:00 AM,techsummary_2069282.pdf (1106.34 KB),Finance,Ten valid bid found. which are admitted.,Mukesh Kumar,11-Mar-2026 04:59 PM,,BOQ Comparative Chart,Mukesh Kumar,Internal,Yogesh Nim,Mukesh Kumar,11-Mar-2026 06:13 PM,finsummary_2069282.pdf (250.82 KB),Technical,Eleven bid found. which are admitted.,Mukesh Kumar,06-Mar-2026 10:20 AM,,AOC,"26,540",No,fixed,,Nil,Nil,266.0,Nil,Nil,No,Clearance of Sludge and waste material of Paijaniya Khala Drain from km. 0.000 to 25.000 in Distt. Bijnor for the year 2025-26.(Lot-04),Clearance of Sludge and waste material of Paijaniya Khala Drain from km. 0.000 to 25.000 in Distt. Bijnor for the year 2025-26.,Please refer Tender documents. ,NA ,"13,27,000",Civil Works - Canal,NA ,Tender,90.0,21.0,Bijnor,246701.0,NA ,NA ,NA ,"E.G.C.C.D-4, Bijnor",No ,No,1.0,Fee/PreQual/Technical,.pdf,Technical Documents(Contractor),"U P Irrigation Department (Civil)||Chief Engineer-Eastern Ganga, Moradabad||EGCC Circle, Bijnore||EGCD-4, bijnore",04/EE/2025-26,2026_UPIDC_1115288_4,Yes,Open Tender,Item Wise,Works,2.0,No,No,Online,No,No,No,19-May-2026 12:23 PM,25-Feb-2026 02:00 PM,19-Feb-2026 12:23 PM,25-Feb-2026 11:00 AM,NA ,NA ,19-Feb-2026 10:00 AM,25-Feb-2026 11:00 AM,10-Mar-2026 12:23 PM,E.E.,"E.G.C.C.D-4, Bijnor",1.0,SBI Bank,AOC
,,,,,,,,,,,,,,,,2,5924836,MOHD YAIN,24-Feb-2026 09:22 PM,Accepted-AOC,L1,23-Mar-2026 05:36 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,3,5923465,M/s Buniyad Ali Contractor,24-Feb-2026 01:07 PM,Rejected-AOC,L10,23-Mar-2026 05:36 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,4,5925612,M/S MOHD RASHID CONTRACTOR,24-Feb-2026 07:05 PM,Rejected-AOC,L9,23-Mar-2026 05:36 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,5,5925230,NAWAB ALI,25-Feb-2026 10:19 AM,Rejected-AOC,L4,23-Mar-2026 05:36 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,6,5925632,NEERAJ CONTRACTOR AND SUPPLIERS,24-Feb-2026 07:03 PM,Rejected-AOC,L5,23-Mar-2026 05:36 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,7,5926319,RANVEER SINGH,25-Feb-2026 10:25 AM,Rejected-Technical,Documents Incomplete,06-Mar-2026 11:55 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,8,5928293,SHIV CONTRACTOR,25-Feb-2026 10:45 AM,Rejected-AOC,L7,23-Mar-2026 05:36 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,9,5928001,TYAGI JI CONTRACTOR,25-Feb-2026 09:44 AM,Rejected-AOC,L8,23-Mar-2026 05:36 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,10,5927852,VED PRAKASH,25-Feb-2026 09:19 AM,Rejected-AOC,L6,23-Mar-2026 05:36 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,11,5908668,ZAHEERUDEEN,23-Feb-2026 02:40 PM,Rejected-AOC,L3,23-Mar-2026 05:36 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
