S.No,Revocation Title,Revocation Description,Published Date,Document Name,Document Size(in KB),Revocated To,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,S.No.1,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.2,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.1,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.1,Financial Bid Opening Date:,Document :.1,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,Tender Stage,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,S.No,Corrigendum Title,Corrigendum Type,View,S.No.1,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,Tender Stage
1.0,Tender Revocation,Tender Revocation,12-Mar-2026 12:12 PM,NIT09REVOKE.pdf ,635.31,Technical Opening,20-Mar-2026,"INR 25,249,684.48",330.0,CHANDRASHEKHER MANGLAM,31-Mar-2026 02:24 PM,NIT09L1.pdf (733.00 KB),FIRST LOWEST,1,5900171,M/S KASON CONSTRUCTION,21-Feb-2026 02:10 PM,Rejected-Finance,l3,17-Mar-2026 07:29 PM,"U P Irrigation Department (Civil)||Chief Engineer-Betwa Project, Jhansi||Irrigation Contruction Circle, Mahoba",2026_UPIDC_1115196_1,09/SE/2025-26,Construction of painted road and bridge from Dharaun Road to Kabrai Store downstream of Kabrai Dam,1.0,5904004.0,M/s Trivedi Associates,INR,"25,249,684.48",Finance,All bidders BOQ are received and accepted in 1st stage. Financial Evaluation is under process.,CHANDRASHEKHER MANGLAM,13-Mar-2026 04:19 PM,,BOQ Comparative Chart,SE ICC MAHOBA,Internal,SE ICC JHANSI AND EE MDCD 1 MAHOBA,CHANDRASHEKHER MANGLAM,12-Mar-2026 03:59 PM,13-Mar-2026 04:00 PM,techsummary_2068910.pdf (868.27 KB),Technical,All bids are accepted in 1st stage. Technical Evaluation is under process.,CHANDRASHEKHER MANGLAM,12-Mar-2026 03:54 PM,,SE ICC MAHOBA,Internal,se icc jhansi and ee mdcd 1 mahoba,CHANDRASHEKHER MANGLAM,17-Mar-2026 07:29 PM,finsummary_2068910.pdf (267.64 KB),AOC,"6,62,000",No,fixed,,Nil,Nil,Construction of painted road and bridge from Dharaun Road to Kabrai Store downstream of Kabrai Dam,Construction of painted road and bridge from Dharaun Road to Kabrai Store downstream of Kabrai Dam,as per tender nit and document ,NA ,,Civil Works,NA ,Tender,90.0,330.0,MAHOBA,210427.0,NA ,NA ,NA ,OFFICE OF THE SE ICC MAHOBA,No ,No,"6,619",Nil,Nil,No,"U P Irrigation Department (Civil)||Chief Engineer-Betwa Project, Jhansi||Irrigation Contruction Circle, Mahoba",09/SE/2025-26,2026_UPIDC_1115196_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,1.0,Fee/PreQual/Technical,.pdf,Fee/PreQual/Technical,1.0,change in boq,Financial Bid,,1.0,SBI Bank,12-Feb-2026 05:00 PM,21-Feb-2026 04:00 PM,12-Feb-2026 05:00 PM,21-Feb-2026 03:00 PM,NA ,NA ,12-Feb-2026 05:00 PM,21-Feb-2026 03:00 PM,13-Mar-2026 04:00 PM,SE ICC MAHOBA,OFFICE OF THE SE ICC MAHOBA,AOC
,,,,,,,,,,,,,,2,5904004,M/s Trivedi Associates,21-Feb-2026 12:35 PM,Accepted-AOC,FIRST LOWEST,31-Mar-2026 02:24 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,Finance,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,3,5904730,M/S VIVEK KUMAR SINGH,21-Feb-2026 02:43 PM,Rejected-Finance,l2,17-Mar-2026 07:29 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,4,5895701,SATYA CONSTRUCTION AND SUPPLIERS,20-Feb-2026 05:47 PM,Rejected-Technical,document incomplete,12-Mar-2026 03:59 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,5,5903542,USHA BAJPAI,21-Feb-2026 09:34 AM,Rejected-Technical,document incomplete,12-Mar-2026 03:59 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
