Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :,Financial Bid Opening Date:,Document :,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,Tender Stage,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Instrument Type,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage
U.P. State Construction and Infrastructure Development Corporation Ltd.||Superintending Engineer (Civil) - Ayodhya,2026_SCIDC_1112045_1,610/E E/Ayo/E Tender/MLC FUND/25-26 03.02.2026,"Under MLC Fund Scheme, construction work of Bharat Ratna Dr. A.P.J Abdul Kalam Smriti MS Gate at the Kashmiriya Chauraha",1.0,5860801.0,R. D. CONSTRUCTION COMPANY,INR,"942,700",1,5860924,M/S VK CONSTRUCTION CO.,10-Feb-2026 10:37 PM,Rejected-Finance,not ok,01-Mar-2026 05:17 PM,01-Mar-2026,"INR 942,700",90.0,Jagpal Verma,05-Mar-2026 11:26 AM,LOI.pdf (423.00 KB),"Under MLC Fund Scheme, construction work of Bharat Ratna Dr. A.P.J Abdul Kalam Smriti MS Gate at the Kashmiriya Chauraha",EE,Internal,EE AA,Jagpal Verma,23-Feb-2026 03:04 PM,23-Feb-2026 03:05 PM,techsummary_2056289.pdf (676.56 KB),Finance,Financial Bid opening summary,Jagpal Verma,01-Mar-2026 05:15 PM,finance_2056289.pdf,BOQ Comparative Chart,EE,Internal,E E Asst Acct,Jagpal Verma,01-Mar-2026 05:17 PM,finsummary_2056289.pdf (450.48 KB),Technical,Technical Summary,Jagpal Verma,23-Feb-2026 01:41 PM,technical_2056289.pdf,AOC,EE up scidco Ayodhya,Behind Ram Janaki Mandir Sahabganj Ayodhya,04-Feb-2026 09:00 AM,11-Feb-2026 11:00 AM,04-Feb-2026 09:15 AM,11-Feb-2026 09:00 AM,NA ,NA ,04-Feb-2026 10:00 AM,11-Feb-2026 09:00 AM,23-Feb-2026 03:05 PM,1,Fee/PreQual/Technical,.pdf,"Under MLC Fund Scheme, construction work of Bharat Ratna Dr. A.P.J Abdul Kalam Smriti MS Gate","Under MLC Fund Scheme, construction work of Bharat Ratna Dr. A.P.J Abdul Kalam Smriti MS Gate at the Kashmiriya Chauraha","Under MLC Fund Scheme, construction work of Bharat Ratna Dr. A.P.J Abdul Kalam Smriti MS Gate at the Kashmiriya Chauraha Block Tanda",Please refer Tender documents. ,NA ,,Construction Works,Under MLC Fund Scheme Construction of M.S. Gate  ,Tender,90.0,90.0,Ambedkarnagar,224122.0,EE office up scidco ,Behind Ram Janaki Mandir Sahabganj Ayodhya ,06-Feb-2026 11:00 AM ,EE office up scidco,No ,No,U.P. State Construction and Infrastructure Development Corporation Ltd.||Superintending Engineer (Civil) - Ayodhya,610/E E/Ayo/E Tender/MLC FUND/25-26 03.02.2026,2026_SCIDC_1112045_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Offline,No,No,No,1,FDR - Fixed Deposit,"1,652",online,Ayodhya,No,"20,000",No,fixed,,E E U P Scidco,Ayodhya,AOC
,,,,,,,,,2,5860801,R. D. CONSTRUCTION COMPANY,10-Feb-2026 10:42 PM,Accepted-AOC,ok,05-Mar-2026 11:26 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,2,Finance,.xls,financial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,RTGS - RTGS Payment,,,,,,,,,,,AOC
