Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.1,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated on :.1,Document :.1,Type :.1,Summary :.1,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage
09-Mar-2026,"INR 1,505,786.55",180.0,Pramod Kumar,09-Mar-2026 06:45 PM,3.pdf (335.00 KB),L1,1.0,5824185.0,M/S GANESH DUTT SINGH CONTRACTOR,INR,"1,505,786.55","U P Irrigation Department (Civil)||Chief Engineer-Saryu Project-2, Gonda||Drainage Cirlce, Gonda||SCD-1 Balrampur",2026_UPIDC_1107737_3,03/EE/2025-26,Construction of Drainage Syphon at Km 3.500 of Samda Mr.,1,5826590,AKANKSHA ASSOCIATES,27-Jan-2026 01:47 PM,Rejected-Finance,L8,23-Feb-2026 07:49 PM,Technical,file add,Pramod Kumar,09-Feb-2026 01:17 PM,technical_2044595.pdf,Pramod Kumar,Internal,AKHIL KUMAR SINGH,Pramod Kumar,23-Feb-2026 07:49 PM,finsummary_2044595.pdf (170.16 KB),Finance,file add,Pramod Kumar,23-Feb-2026 05:46 PM,finance_2044595.pdf,BOQ Comparative Chart,Pramod Kumar,Internal,AKHILESH KUMAR SINGH,Pramod Kumar,19-Feb-2026 10:30 AM,19-Feb-2026 11:00 AM,techsummary_2044595.pdf (170.15 KB),AOC,21-Jan-2026 10:00 AM,28-Jan-2026 11:00 AM,21-Jan-2026 10:00 AM,27-Jan-2026 05:00 PM,NA ,NA ,21-Jan-2026 10:00 AM,27-Jan-2026 05:00 PM,19-Feb-2026 11:00 AM,"2,354",Nil,Nil,No,1.0,SBI Bank,"U P Irrigation Department (Civil)||Chief Engineer-Saryu Project-2, Gonda||Drainage Cirlce, Gonda||SCD-1 Balrampur",03/EE/2025-26,2026_UPIDC_1107737_3,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,"44,100",Yes,fixed,,Nil,Nil,1.0,Fee/PreQual/Technical,.pdf,NIT,EE Saryu Nahar Khand-1 Balrampur,EE Saryu Nahar Khand-1 Balrampur,Construction of Drainage Syphon at Km 3.500 of Samda Mr.,Construction of Drainage Syphon at Km 3.500 of Samda Mr.,Please refer Tender documents. ,NA ,"22,03,000",Civil Works - Canal,NA ,Tender,90.0,180.0,Balrampur,271201.0,NA ,NA ,NA ,EE Saryu Nahar Khand-1 Balrampur,No ,No,AOC
,,,,,,,,,,,,,,,,2,5825589,Amar Singh,27-Jan-2026 08:39 AM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,09-Feb-2026 01:17 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,3,5822446,MAA LAXMI TRADERS,24-Jan-2026 03:40 PM,Rejected-Finance,L9,23-Feb-2026 07:49 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,4,5824185,M/S GANESH DUTT SINGH CONTRACTOR,26-Jan-2026 03:52 PM,Accepted-AOC,L1,09-Mar-2026 06:45 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,5,5826225,m/s kanihya lal yadav,27-Jan-2026 11:17 AM,Rejected-Finance,L7,23-Feb-2026 07:49 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,6,5827000,M/S MISHRI LAL CONTRACTOR,27-Jan-2026 03:27 PM,Rejected-Finance,L5,23-Feb-2026 07:49 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,7,5827308,M/S OM SAI TRADERS,27-Jan-2026 02:50 PM,Rejected-Finance,L10,23-Feb-2026 07:49 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,8,5826411,M/S RAJESH CONSTRUCTION,27-Jan-2026 12:00 PM,Rejected-Finance,L4,23-Feb-2026 07:49 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,9,5823463,M/S RAM KRISHAN MISHRA CONTRECTOR,26-Jan-2026 12:14 PM,Rejected-Finance,L3,23-Feb-2026 07:49 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,10,5825272,M/S SHRI BALA JI CONSTRUCTION,26-Jan-2026 08:58 PM,Rejected-Finance,L6,23-Feb-2026 07:49 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
