Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Type :,Summary :,Updated By :.2,Updated On :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Financial Bid Opening Date:,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage,Name,Address,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage
"U P Irrigation Department (Civil)||Chief Engineer-Ram Ganga, Kanpur||Irrigation Works Circle, Etawah||Irrigation Construction Division Firozabad",2026_UPIDC_1110886_1,08/EE/2025-26/8,Restoration of Service Road from km 2.500 to 3.500 at Katora Minor,1.0,5843507.0,M/s SHRI MAHIPAL SINGH,INR,"846,000",1,5843744,AK ENTERPRISES,05-Feb-2026 10:35 AM,Rejected-Technical,As per point 12,13-Feb-2026 10:46 AM,07-Mar-2026,"INR 846,000",30.0,SUNIL KUMAR,10-Mar-2026 05:10 PM,8.pdf (547.00 KB),Executive Engineer,Internal,EE Accountant clerk,SUNIL KUMAR,07-Mar-2026 01:05 PM,finsummary_2051748.pdf (26.80 KB),Technical,As per Tender notice,SUNIL KUMAR,12-Feb-2026 12:15 PM,,Executive Engineer,Internal,EE Accountant clerk,SUNIL KUMAR,13-Feb-2026 10:46 AM,16-Feb-2026 02:00 PM,techsummary_2051748.pdf (882.70 KB),Finance,As per tender notice,SUNIL KUMAR,07-Mar-2026 12:37 PM,,BOQ Comparative Chart,AOC,Executive Engineer,ICD Firozabad hq Shikohabad,384.0,Nil,Nil,No,"U P Irrigation Department (Civil)||Chief Engineer-Ram Ganga, Kanpur||Irrigation Works Circle, Etawah||Irrigation Construction Division Firozabad",08/EE/2025-26/8,2026_UPIDC_1110886_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,30-Jan-2026 12:00 PM,05-Feb-2026 04:00 PM,30-Jan-2026 12:00 PM,05-Feb-2026 03:00 PM,NA ,NA ,30-Jan-2026 12:00 PM,05-Feb-2026 03:00 PM,16-Feb-2026 02:00 PM,1.0,Fee/PreQual/Technical,.pdf,Fee/PreQual/Technical,Restoration of Service Road from km 2.500 to 3.500 at Katora Minor,Restoration of Service Road from km 2.500 to 3.500 at Katora Minor,Please refer tender documents ,NA ,,Civil Works - Canal,NA ,Tender,90.0,30.0,Katora Minor,283141.0,NA ,NA ,NA ,Shikohabad,No ,No,1.0,SBI Bank,"1,00,000",No,fixed,,Nil,Nil,AOC
,,,,,,,,,2,5844392,M/S ANJUM AKHTAR CONTRACTOR AND SUPPLIERS,05-Feb-2026 01:25 PM,Rejected-AOC,L2,10-Mar-2026 05:10 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,Finance,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,3,5841316,M/S SACHIN CONTRACTORS,04-Feb-2026 10:21 PM,Rejected-Technical,as per point 12,13-Feb-2026 10:46 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,4,5843297,M/S SHIVAM SINGH CONTRACTOR,04-Feb-2026 08:43 PM,Rejected-Technical,As per point 12,13-Feb-2026 10:46 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,5,5843507,M/s SHRI MAHIPAL SINGH,05-Feb-2026 10:50 AM,Accepted-AOC,L1,10-Mar-2026 05:10 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
