Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Instrument Type,Cover No,Cover,Document Type,Description,Tender Stage,Type :,Summary :,Updated By :,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Type :.1,Summary :.1,Updated By :.2,Updated On :.1,Document :.2,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.2,Financial Bid Opening Date:,Document :.3,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage
Chief Project Manager,"H.N.-5, Vishwakarma Enclave Shastripuram Road, Sikandra, Agra-282007",10-Feb-2026 10:00 AM,16-Feb-2026 05:00 PM,10-Feb-2026 10:00 AM,16-Feb-2026 03:30 PM,NA ,NA ,10-Feb-2026 10:00 AM,16-Feb-2026 03:30 PM,17-Feb-2026 03:30 PM,UP STATE BRIDGE CORPORATION LIMITED||JMD UPSBC Ghaziabad||GM / CPM UP SBC Agra,1859/ET/CPM/Agra/2025-26 Date 09.02.2026,2026_UPSBC_1114047_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Offline,No,No,No,"96,000",No,fixed,,As per tender document,As per tender document,"5,900",As per tender document,As per tender document,No,"Supply, Filling and Compaction of Fly Ash work at ROB 546 Mathura","Supply, Filling and Compaction of Fly Ash work at 02 Lane Railway Over Bridge Crossing no. 546 (Mathura Palwal Rail Section) on N.H.-19 (Dautana) Nandgaon Barsana Marg in District Mathura (U.P.)",Please refer Tender documents. ,NA ,"47,94,000",Civil Works - Bridges,NA ,Tender,90.0,90.0,Nandgawn Barsana Marg,281403.0,NA ,NA ,NA ,Agra,No ,No,1.0,RTGS - RTGS Payment,1,Fee/PreQual/Technical,.pdf,Technical Document,AOC,Technical,Technical Summary,SHASHI BHUSHAN VARSHNEYA,17-Feb-2026 01:47 PM,technical_2065055.pdf,Shashi bhusan,Internal,"Mohit Kumar (PM), Bhupendra Singh (AE), Ashutosh Dubey (Accountant)",SHASHI BHUSHAN VARSHNEYA,11-Mar-2026 02:04 PM,finsummary_2065055.pdf (209.51 KB),Finance,Financial Summary,SHASHI BHUSHAN VARSHNEYA,17-Feb-2026 04:25 PM,finance_2065055.pdf,BOQ Comparative Chart,Shashi bhusan,Internal,"Mohit Kumar (PM), Bhupendra Singh (AE), Ashutosh Dubey (Accountant)",SHASHI BHUSHAN VARSHNEYA,17-Feb-2026 01:49 PM,17-Feb-2026 03:30 PM,techsummary_2065055.pdf (209.51 KB),11-Mar-2026,"INR 4,650,180",90.0,SHASHI BHUSHAN VARSHNEYA,13-Mar-2026 04:15 PM,AgreementROB546.pdf (723.00 KB),"Contract Awarded to M/s Triyambak Engineers, Mathura",1,5878182,PriyanshiAssociates,16-Feb-2026 02:27 PM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,17-Feb-2026 01:47 PM,UP STATE BRIDGE CORPORATION LIMITED||JMD UPSBC Ghaziabad||GM / CPM UP SBC Agra,2026_UPSBC_1114047_1,1859/ET/CPM/Agra/2025-26 Date 09.02.2026,"Supply, Filling and Compaction of Fly Ash work at ROB 546 Mathura",1.0,5879087.0,TRIYAMBAK ENGINEERS,INR,"4,650,180",AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Finance,.xls,BOQ,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5879087,TRIYAMBAK ENGINEERS,16-Feb-2026 02:18 PM,Accepted-AOC,Lowest tender,13-Mar-2026 04:15 PM,,,,,,,,,,AOC
