Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :,Financial Bid Opening Date:,Document :,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,Tender Stage,S.No,Category,Sub Category,Sub Category Description,Format/File,S.No.1,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Cover No,Cover,Document Type,Description,Tender Stage
U P Irrigation Department (Mechanical)||Chief Engineer (Tubewell Centre)||Superintending Engineer(Tubewell)-Sitapur||Executive Engineer(MLCD)-Lucknow,2026_UPIDM_1114745_2,54/EE/MLCD/LKO/2025-26,"River bank protection work including all cost of material, labour, tool and plant etc. as per bill of quantity at Rudauli pump canal district Ayodhya.",1.0,5940250.0,MANJULA MISHRA,INR,"2,295,217.28",1.0,5939494.0,MAHI CONSTRUCTION,27-Feb-2026 10:24 PM,Rejected-Finance,Higher Bid,28-Feb-2026 05:20 PM,09-Mar-2026,"INR 2,295,217.28",30.0,Ashutosh Kumar Singh,30-Mar-2026 03:37 PM,TEC54.pdf (706.00 KB),L1,Ashutosh Kumar Singh EE,Internal,"Ashutosh Kumar Singh EE, Gaurav Singh EE",Ashutosh Kumar Singh,28-Feb-2026 03:53 PM,28-Feb-2026 03:55 PM,techsummary_2079537.pdf (174.08 KB),Finance,Financial Evalutation,Ashutosh Kumar Singh,28-Feb-2026 05:05 PM,finance_2079537.pdf,BOQ Comparative Chart,Ashutosh Kumar Singh EE,Internal,"Ashutosh Kumar Singh EE, Gaurav Singh EE",Ashutosh Kumar Singh,28-Feb-2026 05:20 PM,finsummary_2079537.pdf (174.08 KB),Technical,Technical Evaluation,Ashutosh Kumar Singh,28-Feb-2026 03:43 PM,technical_2079537.pdf,AOC,1,Certificate Details ,Permanent Account Number ,Permanent Account Number ,,1.0,SBI Bank,"River bank protection work including all cost of material, labour, tool and plant etc. as per bill of quantity at Rudauli pump canal district Ayodhya.","River bank protection work including all cost of material, labour, tool and plant etc. as per bill of quantity at Rudauli pump canal district Ayodhya",Please refer Tender documents. ,NA ,,Civil Works - Canal,NA ,Tender,30.0,NA ,Rudauli pump canal district Ayodhya,224117.0,NA ,NA ,NA ,"Office of Executive Engineer,Minor Lift Canal Di",No ,No,23-Feb-2026 10:00 AM,28-Feb-2026 01:30 PM,23-Feb-2026 10:00 AM,28-Feb-2026 11:00 AM,NA ,NA ,23-Feb-2026 10:00 AM,28-Feb-2026 11:00 AM,28-Feb-2026 03:55 PM,U P Irrigation Department (Mechanical)||Chief Engineer (Tubewell Centre)||Superintending Engineer(Tubewell)-Sitapur||Executive Engineer(MLCD)-Lucknow,54/EE/MLCD/LKO/2025-26,2026_UPIDM_1114745_2,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,"47,081",No,fixed,,Nil,Nil,"2,354",Nil,Nil,No,"Executive Engineer, Minor Lift Canal Division","Office Of Executive Engineer, Minor Lift Canal Division, 3/435-A, Vishwash khand Gomti Nagar, Lucknow, U.P -226010",1.0,Fee/PreQual/Technical,.pdf,Tender Fee and EMD,AOC
,,,,,,,,,2.0,5940250.0,MANJULA MISHRA,28-Feb-2026 09:05 AM,Accepted-AOC,L1,30-Mar-2026 03:37 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,2,DNIT Documents ,DNIT ,Digitally Signed Terms Condition and Specfication ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"GST, PAN and Labour Registration",AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,3,Experience/ mfg. capacity ,Detailed Experience of Supplied Items/Works/Services of the Bidder ,Detailed Experience of Supplied Items/Works/Services of the Bidder ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Firm Registration,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,4,Misc. document ,Bidder Address Format ,Bidder Address Format ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Character (IDT-1) and Insolvency (IDT-2),AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,5,Misc. document ,Any other document ,Any other document ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Bid Validity and Self Decleration Affidavit (IDT-3),AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,6,Tax related documents ,PAN card ,PAN card ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Experience Certificate,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,7,Tax related documents ,VAT registration certificate ,VAT registration certificate ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,8,Technical Details ,Firms capability and capacity ,Firms capability and capacity ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,9,Technical Details ,Other Technical Documents ,Other Technical Documents ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
