S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :,Financial Bid Opening Date:,Document :,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,Tender Stage,S.No,Corrigendum Title,Corrigendum Type,View,S.No.1,Category,Sub Category,Sub Category Description,Format/File,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No.2,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Tender Stage
1.0,5881406.0,MAHI CONSTRUCTION,23-Feb-2026 12:19 PM,Rejected-Finance,L3,25-Feb-2026 03:57 PM,U P Irrigation Department (Mechanical)||Chief Engineer (Tubewell Centre)||Superintending Engineer(Tubewell)-Sitapur||Executive Engineer(MLCD)-Lucknow,2026_UPIDM_1114739_1,53/EE/MLCD/LKO/2025-26,"1st class brick lining work with 100pct. new brick and C.C 124cm on bed from chainage 1.080 km to 1.400km including all cost of material, labour, tool and plant etc. as per bill of quantity at Rudauli pump canal district Ayodhya.",1.0,5892848.0,M/S NARAYAN PRASAD GUPTA,INR,"2,410,236.8",16-Mar-2026,"INR 2,410,236.8",30.0,Ashutosh Kumar Singh,30-Mar-2026 04:12 PM,TEC.pdf (2337.00 KB),L1,Ashutoshkumarsingh,Internal,"Ashutoshkumarsingh, Gauravsingh",Ashutosh Kumar Singh,25-Feb-2026 03:17 PM,25-Feb-2026 03:20 PM,techsummary_2067541.pdf (174.08 KB),Finance,FinancialEvaluation,Gaurav Singh,25-Feb-2026 03:44 PM,,BOQ Comparative Chart,Ashutoshkumarsingh,Internal,"AshutoshkumarsinghEE, GauravSinghEE",Ashutosh Kumar Singh,25-Feb-2026 03:57 PM,finsummary_2067541.pdf (416.40 KB),Technical,Technical evaluation,Ashutosh Kumar Singh,25-Feb-2026 03:04 PM,technical_2067541.pdf,AOC,1.0,Date Extension2,Date,,1,Certificate Details ,Permanent Account Number ,Permanent Account Number ,,"Executive Engineer, Minor Lift Canal Division","Office Of Executive Engineer, Minor Lift Canal Division, 3/435-A, Vishwash khand Gomti Nagar, Lucknow, U.P -226010","1st class brick lining work with 100pct. new brick and C.C 124cm on bed from chainage 1.080 km to 1.400km including all cost of material, labour, tool and plant etc. as per bill of quantity at Rudauli pump canal district Ayodhya.","1st class brick lining work with 100pc new brick and C.C 124 cm on bed from chainage 1.080 km to 1.400 km including all cost of material, labour, tool and plant etc. as per bill of quantity at Rudauli pump canal district Ayodhya",Please refer Tender documents. ,NA ,,Civil Works - Canal,NA ,Tender,30.0,NA ,Rudauli pump canal district Ayodhya,224117.0,NA ,NA ,NA ,"Office of Executive Engineer,Minor Lift Canal Divi",No ,No,"2,354",Nil,Nil,No,11-Feb-2026 10:00 AM,24-Feb-2026 01:30 PM,11-Feb-2026 10:00 AM,24-Feb-2026 12:00 PM,NA ,NA ,11-Feb-2026 10:00 AM,24-Feb-2026 12:00 PM,25-Feb-2026 03:20 PM,"51,276",No,fixed,,Nil,Nil,1.0,SBI Bank,U P Irrigation Department (Mechanical)||Chief Engineer (Tubewell Centre)||Superintending Engineer(Tubewell)-Sitapur||Executive Engineer(MLCD)-Lucknow,53/EE/MLCD/LKO/2025-26,2026_UPIDM_1114739_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,1.0,Fee/PreQual/Technical,.pdf,Tender Fee and EMD,AOC
2.0,5922389.0,MANJULA MISHRA,24-Feb-2026 10:44 AM,Rejected-Finance,L2,25-Feb-2026 03:57 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,2,DNIT Documents ,DNIT ,Digitally Signed Terms Condition and Specfication ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"GST, PAN and Labour Registration",AOC
3.0,5892848.0,M/S NARAYAN PRASAD GUPTA,23-Feb-2026 09:39 PM,Accepted-AOC,L1,30-Mar-2026 04:12 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,3,Experience/ mfg. capacity ,Detailed Experience of Supplied Items/Works/Services of the Bidder ,Detailed Experience of Supplied Items/Works/Services of the Bidder ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Firm Registration,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,4,Experience/ mfg. capacity ,Performance Certificates of the Supplied Items/Works/Services for previous years ,Performance Certificates of the Supplied Items/Works/Services for previous years ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Character (IDT-1) and Insolvency (IDT-2),AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,5,Financial Details ,Balance Sheets ,Copy of balance sheets audited by Chartered Accountant in support of annual turnover ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Bid Validity and Self Decleration Affidavit (IDT-3),AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,6,Misc. document ,Bidder Address Format ,Bidder Address Format ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Experience Certificate,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,7,Misc. document ,Any other document ,Any other document ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,8,Tax related documents ,PAN card ,PAN card ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,9,Technical Details ,Firms capability and capacity ,Firms capability and capacity ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,10,Technical Details ,Other Technical Documents ,Other Technical Documents ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
