Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Cover No,Cover,Document Type,Description,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Financial Bid Opening Date:,Document :.2,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.3,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,Tender Stage
U P Irrigation Department (Mechanical)||Central Equipment and Stores Procurement||S E Irrigation Workshop Circle - I Kanpur||E E Irrigation Erection Division Kanpur,17/EE/WEDK/2025-2026/Lot No. 02,2026_UPIDM_1113753_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,854.0,Nil,Nil,No,EXECUTIVE ENGINEER,WORKSHOP ERECTION DIVISION 7/7 LAXSMANBAGH NAWABGANJ KANPUR,09-Feb-2026 10:45 AM,16-Feb-2026 01:15 PM,09-Feb-2026 10:45 AM,16-Feb-2026 11:00 AM,NA ,NA ,09-Feb-2026 10:45 AM,16-Feb-2026 11:00 AM,16-Mar-2026 11:00 AM,"Fabrication and Erection of Durashine shed at Km. 16.200 Fatehpur feeder under juridiction of Irrigation Division, Kanpur Dehat","Fabrication and Erection of Durashine shed at Km. 16.200 Fatehpur feeder under juridiction of Irrigation Division, Kanpur Dehat",Please refer Tender documents. ,NA ,"17,83,000",Miscellaneous Works,NA ,Tender,90.0,90.0,FATEHPUR FEEDER,209214.0,NA ,NA ,NA ,KANPUR NAGAR,No ,No,"35,660",No,fixed,,Nil,Nil,1.0,SBI Bank,1,Fee/PreQual/Technical,.pdf,TENDER DOCUMENT,AOC,KULDEEP TIWARI,Internal,,Kuldeep Tiwari,16-Mar-2026 01:45 PM,finsummary_2063431.pdf (366.51 KB),Technical,ALL BIDS ADMITTED,Kuldeep Tiwari,16-Feb-2026 02:14 PM,,KULDEEP TIWARI,Internal,,Kuldeep Tiwari,16-Mar-2026 10:47 AM,16-Mar-2026 11:00 AM,techsummary_2063431.pdf (366.51 KB),Finance,All Bidder admitted successfully,Kuldeep Tiwari,16-Mar-2026 01:31 PM,,BOQ Comparative Chart,1,5868210,SHIV RAM ENTERPRISES,13-Feb-2026 03:23 PM,Rejected-Finance,2nd Lowest Rate,16-Mar-2026 01:45 PM,1.0,5874912.0,S K ENGINEERING WORKS,INR,"1,742,882.5",U P Irrigation Department (Mechanical)||Central Equipment and Stores Procurement||S E Irrigation Workshop Circle - I Kanpur||E E Irrigation Erection Division Kanpur,2026_UPIDM_1113753_1,17/EE/WEDK/2025-2026/Lot No. 02,"Fabrication and Erection of Durashine shed at Km. 16.200 Fatehpur feeder under juridiction of Irrigation Division, Kanpur Dehat",17-Mar-2026,"INR 1,742,882.5",90.0,Kuldeep Tiwari,23-Mar-2026 02:11 PM,AL17L2.pdf (199.00 KB),AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Finance,.xls,BOQ,AOC,,,,,,,,,,,,,,,,,,,,,,,,,2,5874912,S K ENGINEERING WORKS,15-Feb-2026 05:55 PM,Accepted-AOC,LOWEST RATE,23-Mar-2026 02:11 PM,,,,,,,,,,,,,,,,AOC
