Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,S.No,Category,Sub Category,Sub Category Description,Format/File,S.No.1,Corrigendum Title,Corrigendum Type,View,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No.2,Bank Name,Tender Stage,Type :,Summary :,Updated By :,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Type :.1,Summary :.1,Updated By :.2,Updated On :.1,Document :.2,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.2,Financial Bid Opening Date:,Document :.3,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Tender Stage
11-Feb-2026 10:00 AM,24-Feb-2026 02:00 PM,11-Feb-2026 10:00 AM,24-Feb-2026 12:00 PM,NA ,NA ,11-Feb-2026 10:00 AM,24-Feb-2026 12:00 PM,26-Feb-2026 11:05 AM,"Executive Engineer, Minor Lift Canal Division","Office Of Executive Engineer, Minor Lift Canal Division, 3/435-A, Vishwash khand Gomti Nagar, Lucknow, U.P -226010",U P Irrigation Department (Mechanical)||Chief Engineer (Tubewell Centre)||Superintending Engineer(Tubewell)-Sitapur||Executive Engineer(MLCD)-Lucknow,55/EE/MLCD/LKO/2025-26,2026_UPIDM_1114752_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,"30,223",No,fixed,,Nil,Nil,"River bank protection work including all cost of material, labour, tool and plant etc. as per bill of quantity at Adaura pump canal district Barabanki.","River bank protection work including all cost of material, labour, tool and plant etc. as per bill of quantity at Adaura pump canal district Barabanki.",Please refer Tender documents. ,NA ,,Civil Works - Canal,NA ,Tender,30.0,NA ,Adaura pump canal district Barabanki.,225304.0,NA ,NA ,NA ,"Office of Executive Engineer,Minor Lift Canal Divi",No ,No,1.0,Fee/PreQual/Technical,.pdf,Tender Fee and EMD,1,Certificate Details ,Permanent Account Number ,Permanent Account Number ,,1.0,Date Extension2,Date,,854.0,Nil,Nil,No,1.0,SBI Bank,AOC,Technical,Technical Evaluation,Ashutosh Kumar Singh,26-Feb-2026 10:54 AM,technical_2067579.pdf,Ashutosh Kumar Singh EE,Internal,"Ashutosh Kumar Singh EE, Gaurav Singh",Ashutosh Kumar Singh,26-Feb-2026 12:19 PM,finsummary_2067579.pdf (414.05 KB),Finance,Technical Evaluation,Ashutosh Kumar Singh,26-Feb-2026 04:11 PM,finance_2067579.pdf,BOQ Comparative Chart,Ashutosh Kumar Singh EE,Internal,"Ashutosh Kumar Singh EE, Gaurav Singh EE",Ashutosh Kumar Singh,26-Feb-2026 11:00 AM,26-Feb-2026 11:05 AM,techsummary_2067579.pdf (174.08 KB),09-Mar-2026,"INR 1,465,795.17",30.0,Ashutosh Kumar Singh,30-Mar-2026 03:42 PM,TEC.pdf (281.00 KB),L1,1.0,5874386.0,MAHI CONSTRUCTION,24-Feb-2026 08:33 AM,Accepted-AOC,L1,30-Mar-2026 03:42 PM,1.0,5874386.0,MAHI CONSTRUCTION,INR,"1,465,795.17",U P Irrigation Department (Mechanical)||Chief Engineer (Tubewell Centre)||Superintending Engineer(Tubewell)-Sitapur||Executive Engineer(MLCD)-Lucknow,2026_UPIDM_1114752_1,55/EE/MLCD/LKO/2025-26,"River bank protection work including all cost of material, labour, tool and plant etc. as per bill of quantity at Adaura pump canal district Barabanki.",AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"GST, PAN and Labour Registration",2,DNIT Documents ,DNIT ,Digitally Signed Terms Condition and Specfication ,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,5922374.0,MANJULA MISHRA,24-Feb-2026 10:29 AM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,26-Feb-2026 10:54 AM,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Firm Registration,3,Experience/ mfg. capacity ,Detailed Experience of Supplied Items/Works/Services of the Bidder ,Detailed Experience of Supplied Items/Works/Services of the Bidder ,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,5922457.0,M/S NARESH KUMAR SONKAR & CO,24-Feb-2026 10:47 AM,Rejected-Finance,Higher,26-Feb-2026 04:21 PM,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Character (IDT-1) and Insolvency (IDT-2),4,Financial Details ,Balance Sheets ,Copy of balance sheets audited by Chartered Accountant in support of annual turnover ,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,5895478.0,M/S SAMARTH CONSTRUCTION,20-Feb-2026 01:42 PM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,26-Feb-2026 10:54 AM,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Bid Validity and Self Decleration Affidavit (IDT-3),5,Misc. document ,Bidder Address Format ,Bidder Address Format ,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,5863633.0,SHIV RAM ENTERPRISES,15-Feb-2026 01:06 PM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,26-Feb-2026 10:54 AM,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Experience Certificate,6,Misc. document ,Any other document ,Any other document ,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,7,Tax related documents ,PAN card ,PAN card ,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,Tax related documents ,VAT registration certificate ,VAT registration certificate ,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,Technical Details ,Firms capability and capacity ,Firms capability and capacity ,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,Technical Details ,Other Technical Documents ,Other Technical Documents ,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
