Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.1,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated on :.1,Document :.1,Type :.1,Summary :.1,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Bank Name,S.No.1,Corrigendum Title,Corrigendum Type,View,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Stage
12-Mar-2026,"INR 1,183,200",15.0,Ashok Kumar,18-Mar-2026 01:31 PM,AOCVipinLOT3.pdf (968.00 KB),"M/s Vipin kumar cont. Jaswant nagar, Dist Etawah",1,5955919,M/S RAVI ENGINEERING UDYOG,07-Mar-2026 09:17 PM,Rejected-Finance,Highest,10-Mar-2026 04:22 PM,U P Irrigation Department (Mechanical)||Chief Engineer Tubewell West Meerut||S E TWC Agra||EE TC Division Agra,2026_UPIDM_1119051_1,06/EE/2025-26 LOT 3,DRILLING OF STATE TUBEWELL,1.0,5956040.0,Vipin Kumar Contractor,INR,"1,183,200",Technical,Bidder qualified for financial,Ashok Kumar,10-Mar-2026 02:40 PM,,Ashok kumar singh,Internal,,Ashok Kumar,10-Mar-2026 04:22 PM,finsummary_2080346.pdf (361.18 KB),Finance,financial qualified,Ashok Kumar,10-Mar-2026 03:30 PM,,BOQ Comparative Chart,ASHOK KUMAR SINGH,Internal,,Ashok Kumar,10-Mar-2026 03:12 PM,10-Mar-2026 03:15 PM,techsummary_2080346.pdf (361.18 KB),AOC,266.0,NIL,NIL,No,1.0,SBI Bank,1.0,EMD Online,Fee,,"24,500",No,fixed,,EE TCD AGRA,AGRA,DRILLING OF STATE TUBEWELL,DRILLING OF STATE TUBEWELL,Please refer Tender documents. ,NA ,"12,21,000",Water Equipments/ Meter/ Drilling/ Boring,NA ,Tender,90.0,15.0,FIROZABAD,283203.0,NA ,NA ,NA ,EE TCD AGRA,No ,No,U P Irrigation Department (Mechanical)||Chief Engineer Tubewell West Meerut||S E TWC Agra||EE TC Division Agra,06/EE/2025-26 LOT 3,2026_UPIDM_1119051_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Both(Online/Offline),No,No,No,1.0,Fee/PreQual/Technical,.pdf,NIT,EE TCD AGRA,EE TCD KHANDARI CROSSING AGRA,03-Mar-2026 12:00 PM,09-Mar-2026 03:00 PM,03-Mar-2026 12:00 PM,09-Mar-2026 12:00 PM,NA ,NA ,03-Mar-2026 12:00 PM,09-Mar-2026 12:00 PM,10-Mar-2026 03:15 PM,AOC
,,,,,,,2,5956258,M/S SANTOSH KUMAR YADAV,08-Mar-2026 03:19 PM,Rejected-AOC,2nd Lowest rejected,18-Mar-2026 01:31 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,AOC
,,,,,,,3,5956040,Vipin Kumar Contractor,07-Mar-2026 11:04 PM,Accepted-AOC,Lowest Bidder,18-Mar-2026 01:31 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
