Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No,Bank Name,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage,Type :,Summary :,Updated By :,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Type :.1,Summary :.1,Updated By :.2,Updated On :.1,Document :.2,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.2,Financial Bid Opening Date:,Document :.3,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage
766.0,Nil,Nil,No,1.0,Fee/PreQual/Technical,.pdf,NIT,"U P Irrigation Department (Civil)||Chief Engineer-Externally Aided Project, Lucknow||Drainage Circle, Kanpur||DD, aligarh",02/EE/2025-26,2026_UPIDC_1110623_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,29-Jan-2026 04:00 PM,12-Feb-2026 11:00 AM,29-Jan-2026 04:00 PM,11-Feb-2026 05:00 PM,NA ,NA ,29-Jan-2026 04:00 PM,11-Feb-2026 05:00 PM,16-Feb-2026 04:00 PM,1.0,SBI Bank,Executive Engineer DD Aligarh,"Office,Executive Engineer DD Aligarh","17,580",No,fixed,,Nil,Nil,Silt Clearance of Gomat Drain From km. 0.000 to km 14.600,Silt Clearance of Gomat Drain From km. 0.000 to km 14.600,Please refer Tender documents. ,NA ,"8,31,000",Civil Works - Others,NA ,Tender,90.0,NA ,Aligarh,202001.0,NA ,NA ,NA ,"Office,Executive Engineer DD Aligarh",No ,No,AOC,Technical,Admitted,Kalpana Yadav,16-Feb-2026 01:00 PM,,As per file attached,Internal,,Kalpana Yadav,17-Feb-2026 11:00 AM,finsummary_2051095.pdf (34.46 KB),Finance,Admitted,Kalpana Yadav,17-Feb-2026 10:22 AM,,BOQ Comparative Chart,As per file attached,Internal,,Kalpana Yadav,16-Feb-2026 01:07 PM,16-Feb-2026 04:00 PM,techsummary_2051095.pdf (34.46 KB),21-Feb-2026,"INR 368,891",15.0,Kalpana Yadav,01-Mar-2026 04:30 PM,Gomat.pdf (506.00 KB),1,5832596,ARADHYA INFRA LTD,06-Feb-2026 11:57 AM,Rejected-Technical,Work Name not Mentioned in Bid Validity Stamp,16-Feb-2026 01:07 PM,"U P Irrigation Department (Civil)||Chief Engineer-Externally Aided Project, Lucknow||Drainage Circle, Kanpur||DD, aligarh",2026_UPIDC_1110623_1,02/EE/2025-26,Silt Clearance of Gomat Drain From km. 0.000 to km 14.600,1.0,5850729.0,Guru Construction Works,INR,"368,891",AOC
,,,,2.0,Finance,.xls,boq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5861752,DEVENDRA KUMAR SHARMA,11-Feb-2026 03:36 PM,Rejected-Technical,IDT 3 incomplete,16-Feb-2026 01:07 PM,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,5850729,Guru Construction Works,08-Feb-2026 10:36 AM,Accepted-AOC,L1,01-Mar-2026 04:30 PM,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,5861813,M/S ASIF ALI & ASSOCIATES,11-Feb-2026 01:10 PM,Rejected-Technical,IDT 2 not of the firm/proprietor,16-Feb-2026 01:07 PM,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5861272,M/S HARSH CONSTRUCTION,11-Feb-2026 09:06 AM,Rejected-AOC,L6,01-Mar-2026 04:30 PM,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,5856652,M/S RINKU CONTRACTOR,09-Feb-2026 03:38 PM,Rejected-Technical,Work Name not Mentioned in Bid Validity Stamp,16-Feb-2026 01:07 PM,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,5862743,M/S TRIPLE R CONSTRUCTION AND SUPLIERS,11-Feb-2026 04:30 PM,Rejected-AOC,L4,01-Mar-2026 04:30 PM,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,5861548,PADAM SINGH,11-Feb-2026 12:09 PM,Rejected-AOC,L2,01-Mar-2026 04:30 PM,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,5847329,Rajendra and Brothers,06-Feb-2026 03:13 PM,Rejected-AOC,L5,01-Mar-2026 04:30 PM,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,5859863,RAJKUMARI,10-Feb-2026 03:25 PM,Rejected-Technical,Work Name not Mentioned in Bid Validity Stamp,16-Feb-2026 01:07 PM,,,,,,,,,,AOC
