Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :,Financial Bid Opening Date:,Document :,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,Tender Stage,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Bank Name,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage
U P Irrigation Department (Civil)||Chief Engineer ( Yamuna) Okhla||S E Irrigation Works Circle III Agra,2026_UPIDC_1115268_1,15/SE/2025-26,Construction of boundary wall for Safety of Department land of Located in Haryana State.,1.0,5912452.0,M/S RAVINDRA CHAUDHARY,INR,"18,630,215.84",1,5913739,ARTIST BRO,23-Feb-2026 11:47 AM,Rejected-Finance,L2,27-Feb-2026 11:22 AM,11-Mar-2026,"INR 18,630,215.84",180.0,DHARMENDRA SINGH PHAUGAT,18-Mar-2026 09:19 AM,BAOC.pdf (696.00 KB),As Per Attached Document,D.S. Phaugat,Internal,C.B. Yadav,DHARMENDRA SINGH PHAUGAT,24-Feb-2026 11:34 AM,27-Feb-2026 11:00 AM,techsummary_2069074.pdf (901.95 KB),Finance,All Bider are Admitted,DHARMENDRA SINGH PHAUGAT,27-Feb-2026 11:19 AM,,BOQ Comparative Chart,D.S. Phaugat,Internal,C.B. Yadav,DHARMENDRA SINGH PHAUGAT,27-Feb-2026 11:22 AM,finsummary_2069074.pdf (24.15 KB),Technical,All bid are Admitted,DHARMENDRA SINGH PHAUGAT,24-Feb-2026 11:30 AM,,AOC,Superintending Engineer,"3rd Circle Irrigation Works, 139 Mall Road Pratappura, Agra",Construction of boundary wall for Safety of Department land of Located in Haryana State.,Construction of boundary wall for Safety of Department land of Located in Haryana State.,Please refer Tender documents. ,NA ,"3,17,18,000",Civil Works,NA ,Tender,90.0,180.0,Haryana State,121001.0,"Office of The SE 3rd Circle Irrigation Works, Agra ","Office of The SE 3rd Circle Irrigation Works, 139 Mall Road Pratappura, Agra ",19-Feb-2026 01:00 PM ,"Office of The SE 3rd Circle Irrigation Works, Agra",No ,No,1.0,Fee/PreQual/Technical,.pdf,Tender Document,"6,34,000",No,fixed,,Nil,Nil,16-Feb-2026 11:00 AM,23-Feb-2026 03:00 PM,16-Feb-2026 11:00 AM,23-Feb-2026 01:00 PM,NA ,NA ,16-Feb-2026 11:00 AM,23-Feb-2026 01:00 PM,27-Feb-2026 11:00 AM,U P Irrigation Department (Civil)||Chief Engineer ( Yamuna) Okhla||S E Irrigation Works Circle III Agra,15/SE/2025-26,2026_UPIDC_1115268_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,1.0,SBI Bank,"4,130",Nil,Nil,No,AOC
,,,,,,,,,2,5912634,M/S GAJENDRA PAL SINGH CONTRACTOR,23-Feb-2026 11:29 AM,Rejected-Technical,Non-Responsive,24-Feb-2026 11:34 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,3,5914583,M/s Pathak and Company,23-Feb-2026 09:33 AM,Rejected-Finance,L4,27-Feb-2026 11:22 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,4,5912452,M/S RAVINDRA CHAUDHARY,23-Feb-2026 11:19 AM,Accepted-AOC,L1,18-Mar-2026 09:19 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,5,5911739,SUNRISE BUILDERS AND DEVELOPERS,22-Feb-2026 07:12 PM,Rejected-Finance,L3,27-Feb-2026 11:22 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
