Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,S.No,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Financial Bid Opening Date:,Document :.2,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.3,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,Tender Stage
"2,354",Nil,Nil,No,"U P Irrigation Department (Civil)||Chief Engineer-Madhya Ganga, Aligarh||MGCC Circle, Bulandshahar||MGCCD-4, Amroha",07/EE/25-26,2026_UPIDC_1117787_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,1.0,Fee/PreQual/Technical,.pdf,tech..,"40,200",Yes,percentage,2.0%,Nil,Nil,EEMGCCD4 AMROHA,EEMGCCD4 AMROHA,1.0,SBI Bank,19-Feb-2026 10:00 AM,24-Feb-2026 11:00 AM,19-Feb-2026 10:00 AM,24-Feb-2026 10:00 AM,NA ,NA ,19-Feb-2026 10:00 AM,24-Feb-2026 10:00 AM,25-Feb-2026 02:30 PM,CONSTRUCTION OF V.R.B. AT KM 6.080 OF BAGARPUR DY UNDER M.G.C. PROJECT STAGE - II IN DIST AMROHA,CONSTRUCTION OF V.R.B. AT KM 6.080 OF BAGARPUR DY UNDER M.G.C. PROJECT STAGE - II IN DIST AMROHA,Please refer Tender documents. ,NA ,"20,10,000",Civil Works - Canal,NA ,Tender,90.0,NA ,AMROHA,244222.0,NA ,NA ,NA ,EEMGCCD4 AMROHA,No ,No,AOC,S.S.A. KIRMANI,Internal,manojkumaree13,SYED SHAHNAWAZ ALI KIRMANI,11-Mar-2026 03:20 PM,finsummary_2077184.pdf (672.35 KB),Technical,tacnical,SYED SHAHNAWAZ ALI KIRMANI,25-Feb-2026 12:46 PM,technical_2077184.pdf,S.S.A. KIRMANI,Internal,MANOJKUMAREE,SYED SHAHNAWAZ ALI KIRMANI,25-Feb-2026 12:51 PM,25-Feb-2026 02:30 PM,techsummary_2077184.pdf (672.34 KB),Finance,finincal,SYED SHAHNAWAZ ALI KIRMANI,11-Mar-2026 03:12 PM,,BOQ Comparative Chart,1,5918788,Deols Enterprises,24-Feb-2026 05:47 AM,Accepted-AOC,aoc,27-Mar-2026 04:49 PM,1.0,5918788.0,Deols Enterprises,INR,"1,371,015.59","U P Irrigation Department (Civil)||Chief Engineer-Madhya Ganga, Aligarh||MGCC Circle, Bulandshahar||MGCCD-4, Amroha",2026_UPIDC_1117787_1,07/EE/25-26,CONSTRUCTION OF V.R.B. AT KM 6.080 OF BAGARPUR DY UNDER M.G.C. PROJECT STAGE - II IN DIST AMROHA,12-Mar-2026,"INR 1,371,015.59",30.0,SYED SHAHNAWAZ ALI KIRMANI,27-Mar-2026 04:49 PM,aocdeval.pdf (938.00 KB),aoc,AOC
,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,final..,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,2,5921988,M A CONTRACTOR,24-Feb-2026 09:18 AM,Rejected-Finance,l3,11-Mar-2026 03:20 PM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,3,5921630,M/S SAVERA BUILDCON,24-Feb-2026 08:52 AM,Rejected-Finance,l2,11-Mar-2026 03:20 PM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,4,5921558,S S CONSTRUCTION COMPANY,24-Feb-2026 07:24 AM,Rejected-Finance,L4,11-Mar-2026 03:20 PM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,5,5919646,VISHALA CIVIL CONTRACTORS AND MAINTENANCE,24-Feb-2026 07:57 AM,Rejected-Finance,l5,11-Mar-2026 03:20 PM,,,,,,,,,,,,,,,,,AOC
