S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :,Financial Bid Opening Date:,Document :,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,Tender Stage,Name,Address,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Instrument Type,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage
1.0,5758928.0,SHIVA ASSOCIATES,INR,"7,454,868.32",UP STATE WAREHOUSING CORPORATION,2025_UPSWC_1096402_1,2025122683-2,Repair/Construction of UPSWC Godowns at Manjhanpur (Kaushambi) Part-B,1,5756135,Ankur Constructions,19-Dec-2025 08:47 AM,Rejected-AOC,Not Selected From lottery system,27-Jan-2026 02:05 PM,12-Jan-2026,"INR 7,454,868.32",180.0,Rakesh Kumar Rawat,27-Jan-2026 02:05 PM,manjB.pdf (609.00 KB),Work Award,Sachiv,Internal,"Sachiv (Chairperson), In Charge E.E.-Civil (Co-Ordinator), Manager Fin., Dy. Manager Fin.(Manish Sonkar), Sr. Acc. Officer (Suraj Rai), Sr. Acc. Officer (Rakesh Rawat), J.E. Civil, N.C.Joshi(Jr. Ass.)",Madan Pal Singh,30-Dec-2025 08:12 PM,31-Dec-2025 02:00 PM,techsummary_2018322.pdf (465.51 KB),Finance,Financial Bid Result,Madan Pal Singh,02-Jan-2026 12:11 PM,finance_2018322.pdf,BOQ Comparative Chart,Sachiv,Internal,"Junior Office Assistant, Junior Engineer, Rakesh Kumar Rawat Senior Account Officer, Suraj Rai Senior Account Officer,Dy. Manager Finance, Manager Finance, Incharge Excutive Engineer",Madan Pal Singh,02-Jan-2026 03:44 PM,finsummary_2018322.pdf (716.48 KB),Technical,Technical Bid Result,Madan Pal Singh,30-Dec-2025 07:45 PM,technical_2018322.pdf,AOC,Managing Director UPSWC,U.P. State warehousing corporation New Hyderabad Lucknow 226007,1.0,Fee/PreQual/Technical,.pdf,Technical Bid,05-Dec-2025 06:00 PM,22-Dec-2025 10:00 AM,05-Dec-2025 06:00 PM,20-Dec-2025 06:00 PM,NA ,NA ,05-Dec-2025 06:00 PM,20-Dec-2025 06:00 PM,31-Dec-2025 02:00 PM,Repair/Construction of UPSWC Godowns at Manjhanpur (Kaushambi) Part-B,Repair/Construction of UPSWC Godowns at Manjhanpur (Kaushambi) Part-B,Only registered contractor with UPSWC can apply ,NA ,"87,70,433",Civil Works,Maintenance /Construction Work ,Tender,90.0,180.0,Manjhanpur (Kaushambi),212207.0,Head Office UPSWC ,U.P. State warehousing corporation New Hyderabad Lucknow 226007 ,18-Dec-2025 02:00 PM ,Head Office UPSWC,No ,No,1.0,RTGS - RTGS Payment,"1,180",U.P. State warehousing corporation,Lucknow,No,UP STATE WAREHOUSING CORPORATION,2025122683-2,2025_UPSWC_1096402_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Offline,No,No,No,"1,75,500",No,fixed,,U.P. State warehousing corporation,Lucknow,AOC
,,,,,,,,,2,5753963,A.T.CONS.,17-Dec-2025 09:55 PM,Rejected-AOC,Not Selected From lottery system,27-Jan-2026 02:05 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,2.0,Finance,.xls,Financial Bid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,3,5749497,BIJNOR CONSTRUCTION and SUPPLIERS,17-Dec-2025 11:29 AM,Rejected-AOC,Not Selected From lottery system,27-Jan-2026 02:05 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,4,5759070,JAFARGANJ CONSTRUCTION,20-Dec-2025 02:13 PM,Rejected-AOC,Not Selected From lottery system,27-Jan-2026 02:05 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,5,5759430,JMD ENTERPRISES,20-Dec-2025 04:19 PM,Rejected-AOC,Not Selected From lottery system,27-Jan-2026 02:05 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,6,5753982,MAA DURGA CONSTRUCTION,17-Dec-2025 10:09 PM,Rejected-AOC,Not Selected From lottery system,27-Jan-2026 02:05 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,7,5758088,M/s. Aakash Enterprises,19-Dec-2025 10:25 PM,Rejected-AOC,Not Selected From lottery system,27-Jan-2026 02:05 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,8,5755783,M/S A.N CONSTRUCTIONS,18-Dec-2025 10:09 PM,Rejected-AOC,Not Selected From lottery system,27-Jan-2026 02:05 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,9,5753875,M/S MAS CONSTRUCTION,17-Dec-2025 09:12 PM,Rejected-AOC,Not Selected From lottery system,27-Jan-2026 02:05 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,10,5757719,M/s satyavir singh contractor,19-Dec-2025 07:40 PM,Rejected-AOC,Not Selected From lottery system,27-Jan-2026 02:05 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,11,5757196,M/S YASH ENTERPRISES,19-Dec-2025 04:01 PM,Rejected-AOC,Not Selected From lottery system,27-Jan-2026 02:05 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,12,5759039,RAVI ASSOCIATES,20-Dec-2025 03:24 PM,Rejected-AOC,Not Selected From lottery system,27-Jan-2026 02:05 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,13,5758270,SARVESH KUMAR SINGH,20-Dec-2025 12:56 AM,Rejected-AOC,Not Selected From lottery system,27-Jan-2026 02:05 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,14,5758336,S.D ENTERPRISES,20-Dec-2025 08:10 AM,Rejected-AOC,Not Selected From lottery system,27-Jan-2026 02:05 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,15,5758928,SHIVA ASSOCIATES,20-Dec-2025 01:25 PM,Accepted-AOC,Selected From lottery system,27-Jan-2026 02:05 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,16,5757687,SHRI FAHEEMUDDIN,19-Dec-2025 07:26 PM,Rejected-AOC,Not Selected From lottery system,27-Jan-2026 02:05 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
