Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,S.No,Corrigendum Title,Corrigendum Type,View,S.No.1,Instrument Type,Tender Stage,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :.1,Financial Bid Opening Date:,Document :.1,Type :.1,Summary :.1,Updated By :.2,Updated On :.2,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :,Document :.3,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Tender Stage
Construction of PMAGY at Gram Achintpur pitai Gram Auraiya Block Haswan Distt Fatehpur,Construction of PMAGY at Gram Achintpur pitai Gram Auraiya Block Haswan Distt Fatehpur,Please refer Tender documents. ,NA ,"16,52,000",Civil Works,NA ,Tender,105.0,90.0,Fatehpur,212601.0,EE UPSCIDCO Prayagraj ,236/174/4 Triveni Gas Godown Road New Mehduari Teliyarganj Prayagraj ,06-Sep-2025 12:00 PM ,EE UPSCIDCO Prayagraj,No ,No,1,Fee/PreQual/Technical,.pdf,NIT,U.P. State Construction and Infrastructure Development Corporation Ltd.||Unit Fatehpur,27-4/EE/FTP/PMAGY/E-Ten/25-26,2025_SCIDC_1070700_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Offline,No,No,No,02-Sep-2025 02:00 PM,11-Sep-2025 03:00 PM,02-Sep-2025 02:00 PM,11-Sep-2025 02:00 PM,NA ,NA ,02-Sep-2025 02:00 PM,11-Sep-2025 02:00 PM,24-Sep-2025 05:05 PM,"33,500",Yes,fixed,,EE UPSCIDCO,Fatehpur,"1,652",EE UPSCIDCO,Fatehpur,No,EE UPSCIDCO Fatehpur,236/174/4 Triveni Gas Godown Road New Mehduari Teliyarganj Prayagraj,1.0,Date Corrigendum,Date,,1.0,RTGS - RTGS Payment,AOC,Finance,fs,Surendra Katuyar,08-Jan-2026 05:29 PM,finance_1953470.pdf,BOQ Comparative Chart,SS Katiyar,Internal,"Lalji Tiwari, Devendra Kumar",Surendra Katuyar,24-Sep-2025 05:03 PM,24-Sep-2025 05:05 PM,techsummary_1953470.pdf (401.08 KB),Technical,TD,Surendra Katuyar,24-Sep-2025 05:02 PM,technical_1953470.pdf,SS Katiyar,Internal,"Lalji Tiwari, Devendra Kumar",Surendra Katuyar,08-Jan-2026 05:35 PM,finsummary_1953470.pdf (228.69 KB),09-Jan-2026,"INR 1,648,365.6",90.0,Surendra Katuyar,09-Jan-2026 04:25 PM,wo.pdf (809.00 KB),Work Order Issue Letter No- 606 dt 28.09.2025,1,5524378,HARIOM CONSTRUCTION,09-Sep-2025 08:50 PM,Rejected-AOC,2nd,09-Jan-2026 04:25 PM,1.0,5522710.0,M/S GANGA ENTERPRISES,INR,"1,648,365.6",U.P. State Construction and Infrastructure Development Corporation Ltd.||Unit Fatehpur,2025_SCIDC_1070700_1,27-4/EE/FTP/PMAGY/E-Ten/25-26,Construction of PMAGY at Gram Achintpur pitai Gram Auraiya Block Haswan Distt Fatehpur,AOC
,,,,,,,,,,,,,,,,,,2,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5522710,M/S GANGA ENTERPRISES,09-Sep-2025 10:30 AM,Accepted-AOC,1st,09-Jan-2026 04:25 PM,,,,,,,,,,AOC
