Type :,Summary :,Updated By :,Updated On :,Document :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.1,Financial Bid Opening Date:,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage,Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,S.No,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Stage
Technical,Admitted,Vinay Kumar Singh,20-Nov-2025 11:53 PM,,02-Jan-2026,"INR 140,000",15.0,Vinay Kumar Singh,02-Jan-2026 06:24 PM,Accepted.pdf (20.00 KB),V.K. SINGH,Internal,,Vinay Kumar Singh,21-Nov-2025 12:38 AM,21-Nov-2025 09:00 AM,techsummary_2001805.pdf (829.15 KB),"U P Irrigation Department (Civil)||Chief Engineer-Sharda Sahayak, Lucknow||XIV Circle Irrigation Works, Azamgarh||SSD-32, azamgarh",2025_UPIDC_1086698_45,04/AE-IV/2025-26,"Earth Work in Silt Clearance/Scraping of Chakwal Mr. from Km. 0.000 to Km. 2.000, Kisunpur Mr. from Km. 0.000 to Km. 1.500, and Narsinghpur Mr. from Km. 0.000 to Km. 3.400",1.0,5682083.0,M/S BABU LAL YADAV THIKEDAR,16-Nov-2025 11:27 PM,Accepted-AOC,L1,02-Jan-2026 06:24 PM,V.K. Singh,Internal,,Vinay Kumar Singh,02-Jan-2026 06:21 PM,finsummary_2001805.pdf (20.19 KB),Finance,Admitted,Vinay Kumar Singh,20-Dec-2025 08:11 PM,,BOQ Comparative Chart,1.0,5682083.0,M/S BABU LAL YADAV THIKEDAR,INR,"118,036.95",AOC,1,Fee/PreQual/Technical,.pdf,e-Document,89.0,Nil,Nil,No,"14,000",Yes,fixed,,Nil,Nil,"Earth Work in Silt Clearance/Scraping of Chakwal Mr. from Km. 0.000 to Km. 2.000, Kisunpur Mr. from Km. 0.000 to Km. 1.500, and Narsinghpur Mr. from Km. 0.000 to Km. 3.400",Silt Clearance/Scraping,Please refer Tender documents. ,NA ,"1,40,000",Civil Works,NA ,Tender,90.0,15.0,AZAMGARH,276001.0,NA ,NA ,NA ,AZAMGARH,No ,No,"U P Irrigation Department (Civil)||Chief Engineer-Sharda Sahayak, Lucknow||XIV Circle Irrigation Works, Azamgarh||SSD-32, azamgarh",04/AE-IV/2025-26,2025_UPIDC_1086698_45,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,ASSISTANT ENGINEER-IV,ASSISTANT ENGINEER-IV SHARDA SAHAYAK KHAND-32 AZAMGARH,1.0,SBI Bank,13-Nov-2025 10:00 AM,19-Nov-2025 10:30 AM,13-Nov-2025 10:30 AM,18-Nov-2025 05:00 PM,NA ,NA ,13-Nov-2025 10:30 AM,18-Nov-2025 05:00 PM,21-Nov-2025 09:00 AM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,2,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
