Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.1,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No,Bank Name,Tender Stage
HARENDRA KUMAR,Internal,RAVI SHANKAR MISHRA,harendra kumar,09-Oct-2025 02:47 PM,09-Oct-2025 03:30 PM,techsummary_1954264.pdf (128.77 KB),01-Nov-2025,"INR 696,868.79",90.0,harendra kumar,13-Jan-2026 05:17 PM,janak.pdf (187.00 KB),Technical,TBS,harendra kumar,09-Oct-2025 01:42 PM,technical_1954264.pdf,1.0,5517910.0,M/S SADGURU CONSTRUCTION,INR,"696,868.79",HARENDRA KUMAR,Internal,RAVI SHANKAR MISHRA,harendra kumar,29-Oct-2025 09:53 PM,finsummary_1954264.pdf (145.95 KB),Finance,fbs,harendra kumar,29-Oct-2025 09:36 PM,finance_1954264.pdf,BOQ Comparative Chart,"U P Irrigation Department (Civil)||Chief Engineer-Sone, Varanasi||Irrigation Works Circle, Varansi||CPB, chandauli",2025_UPIDC_1070583_26,01/EE/2025-26,Reconstruction of a V.R.B. at KM 0.800 0f Janakpur Minor of Chandraprabha Division PDDU Nagar Chandauli,1,5520216,M/S P S CONSTRUCTION,07-Sep-2025 11:38 PM,Rejected-Finance,L2,29-Oct-2025 09:53 PM,AOC,1.0,Fee/PreQual/Technical,.pdf,"Tender fee,EMD,Registration,IDT-1,IDT-2,IDT-3,Rate validity, GSTIN, Experience, ITR etc as per NIT",766.0,Nil,Nil,No,"U P Irrigation Department (Civil)||Chief Engineer-Sone, Varanasi||Irrigation Works Circle, Varansi||CPB, chandauli",01/EE/2025-26,2025_UPIDC_1070583_26,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,Executive Engineer,Chandraprabha Division PDDU Nagar Chandauli,"18,952",No,percentage,2.0%,Nil,Nil,Reconstruction of a V.R.B. at KM 0.800 0f Janakpur Minor of Chandraprabha Division PDDU Nagar Chandauli,Reconstruction of a V.R.B. at KM 0.800 0f Janakpur Minor of Chandraprabha Division PDDU Nagar Chandauli,Please refer Tender documents. ,NA ,"9,47,605",Civil Works,NA ,Tender,90.0,90.0,Janakpur Minor,232104.0,NA ,NA ,NA ,Chandraprabha Division PDDU Nagar Chandauli,No ,No,03-Sep-2025 01:00 PM,08-Sep-2025 03:00 PM,03-Sep-2025 01:00 PM,08-Sep-2025 02:00 PM,NA ,NA ,03-Sep-2025 01:00 PM,08-Sep-2025 02:00 PM,09-Oct-2025 03:30 PM,1.0,SBI Bank,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5517910,M/S SADGURU CONSTRUCTION,07-Sep-2025 11:53 AM,Accepted-AOC,l1,13-Jan-2026 05:17 PM,AOC,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,5518079,M/S YOGESH KUMAR SINGH,05-Sep-2025 03:51 PM,Rejected-Finance,L3,29-Oct-2025 09:53 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,5520023,Pranshul Enterprises,08-Sep-2025 01:40 AM,Rejected-Finance,L4,29-Oct-2025 09:53 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5520817,SHAILESH CONSTRUCTION,08-Sep-2025 12:09 PM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,09-Oct-2025 01:42 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
