Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Instrument Type,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Financial Bid Opening Date:,Document :.2,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.3,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,Tender Stage
Executive Engineer,UPSCIDCO Jhansi,"Jhansi nagar ke ward no 32 (Gumnawara) me Shri Arjun Kushwaha ke makan se Shrimati Shobha Devi ke makan ki or 100 mtr Apex/Nali ka nirman karya (under scheme S.N. 2025-26) Hon ble Shri Anurag Sharma Ji, MP Jhansi-Lalitpur","Jhansi nagar ke ward no 32 (Gumnawara) me Shri Arjun Kushwaha ke makan se Shrimati Shobha Devi ke makan ki or 100 mtr Apex/Nali ka nirman karya (under scheme S.N. 2025-26) Hon ble Shri Anurag Sharma Ji, MP Jhansi-Lalitpur",Please refer the tender documents ,NA ,,Civil Works - Others,NA ,Tender,90.0,90.0,Ward no 32 Gumnawara Jhansi,284001.0,NA ,NA ,NA ,Jhansi,No ,No,1.0,RTGS - RTGS Payment,29-Dec-2025 11:00 AM,05-Jan-2026 02:00 PM,29-Dec-2025 11:00 AM,05-Jan-2026 01:30 PM,29-Dec-2025 11:00 AM ,05-Jan-2026 01:00 PM ,29-Dec-2025 11:00 AM,05-Jan-2026 01:30 PM,14-Jan-2026 02:00 PM,1,Fee/PreQual/Technical,.pdf,Technical Document,826.0,UPSCIDCO,Jhansi,Yes,U.P. State Construction and Infrastructure Development Corporation Ltd.||Unit Banda,60/EE/Jhansi/ET/2025-26,2025_SCIDC_1102175_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Offline,No,No,No,"8,500",Yes,fixed,,UPSCIDCO,Jhansi,AOC,EE,Internal,AE Asstt Acctt,Rajesh Chaudhary,19-Jan-2026 06:47 PM,finsummary_2032048.pdf (908.37 KB),Technical,Technical Summary,Rajesh Chaudhary,14-Jan-2026 01:11 PM,technical_2032048.pdf,EE,Internal,AE Asstt Acctt,Rajesh Chaudhary,14-Jan-2026 01:13 PM,14-Jan-2026 02:00 PM,techsummary_2032048.pdf (970.59 KB),Finance,Financial Summary,Rajesh Chaudhary,19-Jan-2026 06:44 PM,finance_2032048.pdf,BOQ Comparative Chart,1.0,5789181.0,M/S GOVIND DAS ARYA,INR,"419,811",U.P. State Construction and Infrastructure Development Corporation Ltd.||Unit Banda,2025_SCIDC_1102175_1,60/EE/Jhansi/ET/2025-26,"Jhansi nagar ke ward no 32 (Gumnawara) me Shri Arjun Kushwaha ke makan se Shrimati Shobha Devi ke makan ki or 100 mtr Apex/Nali ka nirman karya (under scheme S.N. 2025-26) Hon ble Shri Anurag Sharma Ji, MP Jhansi-Lalitpur",1,5789181,M/S GOVIND DAS ARYA,05-Jan-2026 12:46 AM,Accepted-AOC,Quoted rate by firm is lowest,23-Jan-2026 05:25 PM,20-Jan-2026,"INR 419,811",90.0,Rajesh Chaudhary,23-Jan-2026 05:25 PM,gumnawaraaoc.pdf (746.00 KB),The work is awarded to M/s Govind Das Arya,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Finance,.xls,BOQ Document,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5789114,M/S OM PRAKASH ARYA,04-Jan-2026 11:41 PM,Rejected-Finance,High Rate,19-Jan-2026 06:47 PM,,,,,,,,AOC
