Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,S.No,Corrigendum Title,Corrigendum Type,View,S.No.1,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Financial Bid Opening Date:,Document :.2,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.3,BOQ Comparative Chart :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,Tender Stage
"Proposed Various Work of Construction, Repair and Renovation of Different Building at Campus of Dr. Ram Manohar Lohiya Awadh University Distt. Ayodhya (UP)","Proposed Various Work of Construction, Repair and Renovation of Different Building at Campus of Dr. Ram Manohar Lohiya Awadh University Distt. Ayodhya (UP)",As per bid documents ,NA ,"23,73,37,000",Civil Works - Buildings,N/A ,Tender,90.0,540.0,Ayodhya,224001.0,NA ,NA ,NA ,Office of the General Manager Zone-3 UPPCL Lucknow,No ,No,General Manager Zone-3 UPPCL Lucknow,Office of the General Manager Zone-3 UPPCL Lucknow,1.0,Corrigendum,Date,,1.0,SBI Bank,U.P. Projects Corporation Ltd.||U.P. Projects Corp. Ltd.(MD)||Zone-3 Faizabad,46/GM-3/UPPCL/2025-26 DATE-29.11.2025,2025_UPPRC_1097545_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,08-Dec-2025 06:50 PM,16-Dec-2025 04:00 PM,08-Dec-2025 06:50 PM,16-Dec-2025 03:00 PM,NA ,NA ,08-Dec-2025 06:50 PM,16-Dec-2025 03:00 PM,18-Dec-2025 01:00 PM,1,Fee/PreQual/Technical,.pdf,NIT,"17,700",Nil,Nil,No,"47,46,000",No,fixed,,Nil,Nil,AOC,General Manager Zone-3 UPPCL Lko,Internal,Attached,ANIL KUMAR SINGH,30-Jan-2026 03:06 PM,finsummary_2021010.pdf (3651.89 KB),Technical,Attached,ANIL KUMAR SINGH,17-Dec-2025 05:42 PM,technical_2021010.pdf,General Manager Zone-3 UPPCL Lko,Internal,Attached,ANIL KUMAR SINGH,17-Dec-2025 05:47 PM,18-Dec-2025 01:00 PM,techsummary_2021010.pdf (3651.89 KB),Finance,Attached,ANIL KUMAR SINGH,30-Jan-2026 03:00 PM,finance_2021010.pdf,BOQ Comparative Chart,U.P. Projects Corporation Ltd.||U.P. Projects Corp. Ltd.(MD)||Zone-3 Faizabad,2025_UPPRC_1097545_1,46/GM-3/UPPCL/2025-26 DATE-29.11.2025,"Proposed Various Work of Construction, Repair and Renovation of Different Building at Campus of Dr. Ram Manohar Lohiya Awadh University Distt. Ayodhya (UP)",1.0,5734893.0,M/s Shivam Light House,INR,"234,963,658.67",1,5734893,M/s Shivam Light House,15-Dec-2025 06:59 AM,Accepted-AOC,L1,30-Jan-2026 03:24 PM,30-Jan-2026,"INR 234,963,658.67",540.0,ANIL KUMAR SINGH,30-Jan-2026 03:24 PM,Different.pdf (3617.00 KB),L1,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Finance,.xls,BOQ,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5750814,N K GUPTA,16-Dec-2025 01:43 PM,Rejected-AOC,L2,30-Jan-2026 03:24 PM,,,,,,,,AOC
