Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,AOC Description :,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No,Bank Name,Tender Stage
Committee,Internal,Committee,MAHRAM SINGH,28-Oct-2025 12:09 PM,28-Oct-2025 02:00 PM,techsummary_1932759.pdf (1366.59 KB),07-Jan-2026,"INR 55,323,457.54",365.0,MAHRAM SINGH,13-Jan-2026 12:52 PM,saraswati.pdf (180.00 KB),AOC,Technical,EVALUATION,MAHRAM SINGH,28-Oct-2025 11:46 AM,,Committee,Internal,Committee,MAHRAM SINGH,07-Jan-2026 01:36 PM,finsummary_1932759.pdf (363.48 KB),Finance,UNDER,MAHRAM SINGH,07-Jan-2026 01:33 PM,,BOQ Comparative Chart,1.0,5417249.0,Saraswati Electricals & Contractors,INR,"55,323,457.54",Yamuna Expressway Industrial Development Authority,2025_YEIDA_1060688_14,YEA/OSD(M)/2025/279 DT-22/07/2025,"Construction of 11/0.415kv sub-station in sector -18 pocket 1A 7A YEIDA. (WC-E ,M-03)",1,5418416,ELECSA INFRATECH PRIVATE LIMITED,11-Aug-2025 04:19 PM,Rejected-Finance,L4,07-Jan-2026 01:36 PM,AOC,"Construction of 11/0.415kv sub-station in sector -18 pocket 1A 7A YEIDA. (WC-E ,M-03)","Construction of 11/0.415kv sub-station in sector -18 pocket 1A 7A YEIDA. (WC-E ,M-03)",REFER TENDER DOC ,NA ,"6,00,03,750",Electrical Works,NA ,Tender,90.0,365.0,YAMUNA EXPRESSWAY INDUSTRIAL DEVELOPMENT AUTHORITY,201310.0,NA ,NA ,NA ,YAMUNA EXPRESSWAY INDUSTRIAL DEVELOPMENT AUTHORITY,No ,No,"12,00,000",No,fixed,,Nil,Nil,Yamuna Expressway Industrial Development Authority,YEA/OSD(M)/2025/279 DT-22/07/2025,2025_YEIDA_1060688_14,Yes,Open Tender,Fixed-rate,Works,2.0,No,No,Online,No,No,No,OSD M,YAMUNA EXPRESSWAY INDUSTRIAL DEVELOPMENT AUTHORITY,"6,770",Nil,Nil,No,1.0,Fee/PreQual/Technical,.pdf,"FINANCIAL STATEMENT,TURNOVER,GST,PAN,AADHAR,PROP./PRTN./LTD.CO.CERTIFICATE,AUTHORITY LETTER,ETC",29-Jul-2025 06:55 PM,13-Aug-2025 11:00 AM,29-Jul-2025 06:55 PM,11-Aug-2025 05:00 PM,NA ,NA ,29-Jul-2025 06:55 PM,11-Aug-2025 05:00 PM,28-Oct-2025 02:00 PM,1.0,SBI Bank,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5411832,LISHA ENGINEERS PRIVATE LIMITED,11-Aug-2025 03:00 PM,Rejected-Finance,L3,07-Jan-2026 01:36 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"TENDER FEE,EMD, Rs.100/- NON JUDICIAL STAMP PAPER ALONGWITH Re.1/- REVENUE STAMP",,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,5417767,Naresh Agarwal constructions Pvt Ltd,11-Aug-2025 02:57 PM,Rejected-Technical,DISQUALIFIED,28-Oct-2025 12:09 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,APPENDIX A TO E,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,5417249,Saraswati Electricals & Contractors,11-Aug-2025 04:19 PM,Accepted-AOC,L1,13-Jan-2026 12:53 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,OTHER REQUISITES AS PER TENDER DOCUMENTS,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5418204,VASUDEV ENTERPRISES,11-Aug-2025 04:50 PM,Rejected-Finance,L2,07-Jan-2026 01:36 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,FINANCIAL DOC,,,,,,,,,,,,AOC
