Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Type :,Summary :,Updated By :.1,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.1,Financial Bid Opening Date:,Document :.1,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.2,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Tender Stage
30-Jan-2026,"INR 186,000",20.0,Dinesh Mohan,30-Jan-2026 09:51 PM,40.pdf (39.00 KB),AOC,Technical,AS PER UPLOAD,Dinesh Mohan,24-Oct-2025 06:35 PM,,Dinesh Mohan,Internal,VISHWANATH SHUKLA,Dinesh Mohan,24-Oct-2025 07:48 PM,25-Oct-2025 03:00 PM,techsummary_1979022.pdf (45.50 KB),1.0,5608134.0,M/S ANSHUMAN SINGH YADAV CONSTRUCTION,INR,"109,271.51",Finance,AS PER UPLOAD,Dinesh Mohan,30-Jan-2026 11:38 AM,,BOQ Comparative Chart,Dinesh Mohan,Internal,Vishwanath Shukla,Dinesh Mohan,30-Jan-2026 01:36 PM,finsummary_1979022.pdf (38.92 KB),"U P Irrigation Department (Civil)||Chief Engineer-Saryu Project-2, Gonda||Irrigation Construction Circle, Basti||SCD-4, basti",2025_UPIDC_1080765_40,03/EE/2025-26,SILT CLEARENCE AND BED BERM SCRAPING ON MANPUR MR FROM KM 0.000 TO KM 6.250,1,5610023,Krishna Murari Contruction,15-Oct-2025 02:14 PM,Rejected-Finance,AS PER UPLOAD,30-Jan-2026 01:36 PM,AOC,1.0,Fee/PreQual/Technical,.pdf,AS PER UPLOAD,09-Oct-2025 09:00 AM,15-Oct-2025 03:00 PM,09-Oct-2025 09:00 AM,15-Oct-2025 03:00 PM,NA ,NA ,09-Oct-2025 09:00 AM,15-Oct-2025 03:00 PM,25-Oct-2025 03:00 PM,SILT CLEARENCE AND BED BERM SCRAPING ON MANPUR MR FROM KM 0.000 TO KM 6.250,SILT CLEARENCE AND BED BERM SCRAPING ON MANPUR MR FROM KM 0.000 TO KM 6.250,Please refer Tender documents. ,NA ,"1,86,000",Civil Works,NA ,Rate Contract,90.0,20.0,BASTI,272001.0,NA ,NA ,NA ,"Executive Engineer Saryu Nahar Khand-4,Basti (U.",No ,No,"U P Irrigation Department (Civil)||Chief Engineer-Saryu Project-2, Gonda||Irrigation Construction Circle, Basti||SCD-4, basti",03/EE/2025-26,2025_UPIDC_1080765_40,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,"4,000",Yes,fixed,,Nil,Nil,1.0,SBI Bank,750.0,Nil,Nil,No,"Executive Engineer Saryu Nahar Khand-4,Basti (U.","Executive Engineer Saryu Nahar Khand-4,Basti (U.",AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5608134,M/S ANSHUMAN SINGH YADAV CONSTRUCTION,14-Oct-2025 06:30 PM,Accepted-AOC,AS PER UPLOAD,30-Jan-2026 09:51 PM,AOC,2.0,Finance,.xls,AS PER UPLOAD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,5608806,M/S CHANDRA CONSTRUCTION,15-Oct-2025 08:59 AM,Rejected-Finance,AS PER UPLOAD,30-Jan-2026 01:36 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,5607763,M/S SHIV ENTERPRISES,14-Oct-2025 03:55 PM,Rejected-Finance,AS PER UPLOAD,30-Jan-2026 01:36 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5607764,S.P INFRABUILD,14-Oct-2025 06:45 PM,Rejected-Finance,AS PER UPLOAD,30-Jan-2026 01:36 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
