EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Instrument Type,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Tender Stage,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :.1,Financial Bid Opening Date:,Document :.1,Type :.1,Summary :.1,Updated By :.2,Updated On :.2,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :,Document :.3,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Tender Stage
"30,000",No,fixed,,EO,NP ERACH,Directorate of Local Bodies UP||Nagar Panchayat Earich Jhansi,191/NPERACH/LIGHT/26-27,2026_DOLBU_1107954_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Offline,No,No,No,EXECUTIVE OFFICER,NP ERACH,21-Jan-2026 12:00 PM,30-Jan-2026 12:00 PM,21-Jan-2026 12:00 PM,29-Jan-2026 05:00 PM,NA ,NA ,21-Jan-2026 12:00 PM,29-Jan-2026 05:00 PM,30-Jan-2026 01:50 PM,PT DEEN DAYAL UPADHYAY NAGAR VIKAS YOJNA ANTARGAT NP ERACH HETU 02 NAG HIGHMASK APURTI AIWAM STHAPNA KA KARY,PT DEEN DAYAL UPADHYAY NAGAR VIKAS YOJNA ANTARGAT NP ERACH HETU 02 NAG HIGHMASK APURTI AIWAM STHAPNA KA KARY,Please refer Tender documents. ,NA ,15.0,Street Lighting,HIGH MASK ,Tender,90.0,90.0,WORK,284302.0,NA ,NA ,NA ,NAGAR PANCHAYAT ERACH,No ,No,1,DD - Demand Draft,"2,000",EO,NP ERACH,No,1.0,Fee/PreQual/Technical,.pdf,TECHNICAL,AOC,Finance,admitted,Dharmendra Kumar,30-Jan-2026 02:19 PM,finance_2045076.pdf,BOQ Comparative Chart,executive officer,Internal,EXECUTIVE OFFICER,Ajay Kumar Yadav,30-Jan-2026 01:45 PM,30-Jan-2026 01:50 PM,techsummary_2045076.pdf (66.75 KB),Technical,ADMIT,Dharmendra Kumar,30-Jan-2026 01:34 PM,technical_2045076.pdf,executive officer,Internal,EXECUTIVE OFFICER,Ajay Kumar Yadav,30-Jan-2026 02:25 PM,finsummary_2045076.pdf (1749.69 KB),30-Jan-2026,"INR 1,311,595",90.0,Ajay Kumar Yadav,30-Jan-2026 02:44 PM,highmask.pdf (1750.00 KB),WORK ORDER,1.0,5831368.0,KRISHNA CONTRACTOR AND SUPPLIERS,29-Jan-2026 04:22 PM,Rejected-AOC,L2,30-Jan-2026 02:44 PM,1.0,5831414.0,KRISHNA DISTRIBUTORS AND CONTRACTORS,INR,"1,310,283.41",Directorate of Local Bodies UP||Nagar Panchayat Earich Jhansi,2026_DOLBU_1107954_1,191/NPERACH/LIGHT/26-27,PT DEEN DAYAL UPADHYAY NAGAR VIKAS YOJNA ANTARGAT NP ERACH HETU 02 NAG HIGHMASK APURTI AIWAM STHAPNA KA KARY,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,BC - Bankers Cheque,,,,,2.0,Finance,.xls,FINANCIAL,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,5831414.0,KRISHNA DISTRIBUTORS AND CONTRACTORS,29-Jan-2026 04:19 PM,Accepted-AOC,L1,30-Jan-2026 02:44 PM,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,SS - Small Savings Instrument,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,5831405.0,SHRI GURU BALAJI SECURITY SERVICES PRIVATE LIMITED,29-Jan-2026 04:17 PM,Rejected-AOC,L3,30-Jan-2026 02:44 PM,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,BG - Bank Guarantee,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,FDR - Fixed Deposit,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,RTGS - RTGS Payment,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
