Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.1,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.1,Financial Bid Opening Date:,Document :.1,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,Tender Stage,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Cover No,Cover,Document Type,Description,S.No,Bank Name,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No.1,Corrigendum Title,Corrigendum Type,View,Tender Stage
20-Jan-2026,"INR 219,324.4",21.0,Ashok Kumar Singh,20-Jan-2026 02:12 PM,TENDERCOMM.pdf (886.00 KB),Ist lowest,"U P Irrigation Department (Civil)||Chief Engineer-Sharda Sahayak, Lucknow||XVIII Circle Irrigation Works, Allahabad||ID-1, allahabad",2025_UPIDC_1085397_2,03/EE/2025-2026,SILTCLEARANCE/SCRAPING OF MAUAIMADY.FROMKM 8.000 TO KM 17.000,1.0,5648598.0,KHAN CONSTRUCTION,INR,"219,324.4",1,5648598,KHAN CONSTRUCTION,03-Nov-2025 12:03 PM,Accepted-AOC,Ist lowest,20-Jan-2026 02:13 PM,Finance,5 bidder found,Ashok Kumar Singh,07-Nov-2025 04:10 PM,,BOQ Comparative Chart,Ashok Kumar singh,Internal,Bipin Kumar,Ashok Kumar Singh,07-Nov-2025 02:30 PM,07-Nov-2025 03:00 PM,techsummary_1989169.pdf (886.05 KB),Technical,5 bidder found,Ashok Kumar Singh,07-Nov-2025 01:59 PM,,Ashok Kumar Singh,Internal,Bipin Kumar,Ashok Kumar Singh,31-Dec-2025 01:56 PM,finsummary_1989169.pdf (886.04 KB),AOC,"U P Irrigation Department (Civil)||Chief Engineer-Sharda Sahayak, Lucknow||XVIII Circle Irrigation Works, Allahabad||ID-1, allahabad",03/EE/2025-2026,2025_UPIDC_1085397_2,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,EEID1 PRAYAGRAJ,IRRIGATION COLONY GOVINDPUR PRAYAGRAJ,1.0,Fee/PreQual/Technical,.pdf,DOCUMENT,1.0,SBI Bank,677.0,Nil,Nil,No,27-Oct-2025 10:00 AM,04-Nov-2025 11:00 AM,27-Oct-2025 10:00 AM,03-Nov-2025 04:00 PM,NA ,NA ,27-Oct-2025 10:00 AM,03-Nov-2025 04:00 PM,07-Nov-2025 03:00 PM,"40,000",Yes,fixed,,Nil,Nil,SILTCLEARANCE/SCRAPING OF MAUAIMADY.FROMKM 8.000 TO KM 17.000,SILTCLEARANCE/SCRAPING OF MAUAIMADY.FROMKM 8.000 TO KM 17.000,Please refer Tender documents. ,NA ,"4,00,000",Civil Works - Canal,NA ,Rate Contract,90.0,21.0,EEID1 PRAYAGRAJ,211004.0,NA ,NA ,NA ,GOVINDPUR PRAYGRAJ,No ,No,1.0,Tecnical Bidd,Technical Bid,,AOC
,,,,,,,,,,,,,,,,2,5646488,MOHD KAMRAN,03-Nov-2025 01:40 PM,Rejected-Finance,Vth Lowest,31-Dec-2025 01:56 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,3,5637827,M/S GANPATI KRIPA CONSTRUCTION AND SUPPLIAR,29-Oct-2025 07:46 PM,Rejected-Finance,IInd Lowest,31-Dec-2025 01:56 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,4,5649166,M/S MAHESHWAR PRASAD SHUKLA,03-Nov-2025 02:05 PM,Rejected-Finance,IVth Lowest,31-Dec-2025 01:56 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,5,5639349,M/S OM SHANTI ENTERPRISES,31-Oct-2025 04:02 PM,Rejected-Finance,IIIrd lowest,31-Dec-2025 01:56 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
