S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Type :,Summary :,Updated By :.2,Updated On :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Financial Bid Opening Date:,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Instrument Type,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Name,Address,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage
1.0,5758154.0,MAA DURGA CONSTRUCTION,INR,"9,528,871.67",UP STATE WAREHOUSING CORPORATION,2025_UPSWC_1096418_1,20251226103.0,Repair/Construction of UPSWC Godowns at Sandila (Hardoi),1,5756285,Ankur Constructions,19-Dec-2025 10:47 AM,Rejected-AOC,Not Selected From lottery system,27-Jan-2026 12:31 PM,08-Jan-2026,"INR 9,528,871.67",300.0,Rakesh Kumar Rawat,27-Jan-2026 12:31 PM,sandila.pdf (594.00 KB),Work Award,Sachiv,Internal,"Junior Office Assistant, Junior Engineer, Rakesh Kumar Rawat Senior Account Officer, Suraj Rai Senior Account Officer,Dy. Manager Finance, Manager Finance, Incharge Excutive Engineer",Madan Pal Singh,02-Jan-2026 03:48 PM,finsummary_2018344.pdf (716.48 KB),Technical,Technical Bid Result,Madan Pal Singh,30-Dec-2025 07:48 PM,technical_2018344.pdf,Sachiv,Internal,"Sachiv (Chairperson), In Charge E.E.-Civil (Co-Ordinator), Manager Fin., Dy. Manager Fin.(Manish Sonkar), Sr. Acc. Officer (Suraj Rai), Sr. Acc. Officer (Rakesh Rawat), J.E. Civil, N.C.Joshi(Jr. Ass.)",Madan Pal Singh,30-Dec-2025 08:08 PM,31-Dec-2025 02:00 PM,techsummary_2018344.pdf (465.51 KB),Finance,Financial Bid Result,Madan Pal Singh,02-Jan-2026 12:06 PM,finance_2018344.pdf,BOQ Comparative Chart,AOC,"2,24,300",No,fixed,,U.P. State warehousing corporation,Lucknow,1.0,RTGS - RTGS Payment,UP STATE WAREHOUSING CORPORATION,20251226103.0,2025_UPSWC_1096418_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Offline,No,No,No,1.0,Fee/PreQual/Technical,.pdf,Technical Bid,Managing Director UPSWC,U.P. State warehousing corporation New Hyderabad Lucknow 226007,"1,180",U.P. State warehousing corporation,Lucknow,No,05-Dec-2025 06:00 PM,22-Dec-2025 10:00 AM,05-Dec-2025 06:00 PM,20-Dec-2025 06:00 PM,NA ,NA ,05-Dec-2025 06:00 PM,20-Dec-2025 06:00 PM,31-Dec-2025 02:00 PM,Repair/Construction of UPSWC Godowns at Sandila (Hardoi),Repair/Construction of UPSWC Godowns at Sandila (Hardoi),Only registered contractor with UPSWC can apply ,NA ,"1,12,10,437",Civil Works,Maintenance /Construction Work ,Tender,90.0,300.0,Sandila (Hardoi),241204.0,Head Office UPSWC ,U.P. State warehousing corporation New Hyderabad Lucknow 226007 ,18-Dec-2025 02:00 PM ,Head Office UPSWC,No ,No,AOC
,,,,,,,,,2,5753834,A.T.CONS.,17-Dec-2025 08:49 PM,Rejected-AOC,Not Selected From lottery system,27-Jan-2026 12:31 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,Financial Bid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,3,5749502,BIJNOR CONSTRUCTION and SUPPLIERS,17-Dec-2025 11:30 AM,Rejected-AOC,Not Selected From lottery system,27-Jan-2026 12:31 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,4,5759324,DILEEP KUMAR GUPTA,20-Dec-2025 03:42 PM,Rejected-AOC,Not Selected From lottery system,27-Jan-2026 12:31 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,5,5759052,JAFARGANJ CONSTRUCTION,20-Dec-2025 02:08 PM,Rejected-AOC,Not Selected From lottery system,27-Jan-2026 12:31 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,6,5759441,JMD ENTERPRISES,20-Dec-2025 04:24 PM,Rejected-AOC,Not Selected From lottery system,27-Jan-2026 12:31 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,7,5758154,MAA DURGA CONSTRUCTION,19-Dec-2025 11:19 PM,Accepted-AOC,Selected From lottery system,27-Jan-2026 12:31 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,8,5758075,M/s. Aakash Enterprises,19-Dec-2025 10:19 PM,Rejected-AOC,Not Selected From lottery system,27-Jan-2026 12:31 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,9,5755787,M/S A.N CONSTRUCTIONS,18-Dec-2025 10:13 PM,Rejected-AOC,Not Selected From lottery system,27-Jan-2026 12:31 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,10,5753863,M/S MAS CONSTRUCTION,17-Dec-2025 09:05 PM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,30-Dec-2025 07:48 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
