Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :,Financial Bid Opening Date:,Document :,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,Tender Stage,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Corrigendum Title,Corrigendum Type,View,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No.1,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Tender Stage
Director Cum Chief Engineer RED||CHIEF ENGINEER EAST||SE DEVIPATAN CIRCLE||EE BAHRAICH,2025_REDUP_1099756_3,"816/RED/Etender(21)/2025-26, Dt. 29.11.2025",Payagpur Tahsil me ek adad water cooler sthapna karya-Payagpur_03,1.0,5770633.0,MAHADEV TRADERS,INR,"340,470.72",1,5770633,MAHADEV TRADERS,28-Dec-2025 01:12 PM,Accepted-AOC,AOC,31-Jan-2026 06:06 PM,07-Jan-2026,"INR 340,470.72",180.0,Sujit Kumar Sinha,31-Jan-2026 06:06 PM,M3.pdf (46.00 KB),Sujit Kumar Sinha,Internal,,Sujit Kumar Sinha,01-Jan-2026 02:26 PM,02-Jan-2026 12:00 PM,techsummary_2026050.pdf (381.90 KB),Finance,Financial bid open,Sujit Kumar Sinha,02-Jan-2026 06:15 PM,finance_2026050.pdf,BOQ Comparative Chart,Sujit Kumar Sinha,Internal,,Sujit Kumar Sinha,03-Jan-2026 03:37 PM,finsummary_2026050.pdf (43.68 KB),Technical,Technical bid open,Sujit Kumar Sinha,30-Dec-2025 01:08 PM,technical_2026050.pdf,AOC,692.0,Nil,Nil,No,Payagpur Tahsil me ek adad water cooler sthapna karya-Payagpur_03,Payagpur Tahsil me ek adad water cooler sthapna karya-Payagpur_03,Please refer Tender documents. ,NA ,"2,89,000",Civil Works,NA ,Tender,90.0,180.0,Bahraich,271801.0,NA ,NA ,NA ,"Office of the Executive Enginer, R.E.D. Bahraich",No ,No,1.0,Date Corrigendum,Date,,Director Cum Chief Engineer RED||CHIEF ENGINEER EAST||SE DEVIPATAN CIRCLE||EE BAHRAICH,"816/RED/Etender(21)/2025-26, Dt. 29.11.2025",2025_REDUP_1099756_3,Yes,Open Tender,Fixed-rate,Works,2.0,No,No,Online,No,No,No,1,Fee/PreQual/Technical,.pdf,Technical bid document,18-Dec-2025 12:00 PM,30-Dec-2025 12:30 PM,18-Dec-2025 12:00 PM,30-Dec-2025 12:00 PM,NA ,NA ,18-Dec-2025 12:00 PM,30-Dec-2025 12:00 PM,02-Jan-2026 12:00 PM,1.0,SBI Bank,"5,800",No,fixed,,Nil,Nil,Executive Enginer,"Office of the Executive Enginer, R.E.D. Bahraich",AOC
,,,,,,,,,2,5770740,M/S TEJ CONSTRUCTIONS,29-Dec-2025 11:37 PM,Rejected-Finance,High,03-Jan-2026 03:37 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,AOC
