Type :,Summary :,Updated By :,Updated On :,Document :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.1,Financial Bid Opening Date:,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.2,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,Tender Stage,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Bank Name,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage
Technical,two bids found responsive.,Durgesh Garg,06-Nov-2025 07:12 PM,technical_1994834.pdf,13-Nov-2025,"INR 260,133.9",15.0,Durgesh Garg,20-Jan-2026 03:11 PM,lot7jagdish.pdf (289.00 KB),Durgesh garg,Internal,"Satish kumar, EE, SNK-3, gonda",Durgesh Garg,06-Nov-2025 07:15 PM,07-Nov-2025 10:00 AM,techsummary_1994834.pdf (173.55 KB),"U P Irrigation Department (Civil)||Chief Engineer-Saryu Project-1, Faizabad||XV Circle Irrigation Work, Gonda||SCD-4, gonda",2025_UPIDC_1083636_13,03/EE/2025-26,03/EE/2025-26 lot No.7,1.0,5651977.0,M/S BHAI LAL VERMA CONTRACTOR & GENRAL ORDER SUPPLIAR,06-Nov-2025 02:45 PM,Rejected-Finance,IInd Lowest,07-Nov-2025 12:21 PM,1.0,5651942.0,M/S RAM TIRATH VERMA CONTRECTOR,INR,"260,133.9",Finance,Found Responsive.,Durgesh Garg,07-Nov-2025 12:16 PM,finance_1994834.pdf,BOQ Comparative Chart,Durgesh garg,Internal,"Satish Kumar, EE, SNK-3, Gonda.",Durgesh Garg,07-Nov-2025 12:21 PM,finsummary_1994834.pdf (129.97 KB),AOC,"U P Irrigation Department (Civil)||Chief Engineer-Saryu Project-1, Faizabad||XV Circle Irrigation Work, Gonda||SCD-4, gonda",03/EE/2025-26,2025_UPIDC_1083636_13,Yes,Open Tender,Item Wise,Works,2.0,No,No,Online,No,No,No,"6,000",No,fixed,,Nil,Nil,01-Nov-2025 10:00 AM,06-Nov-2025 04:00 PM,01-Nov-2025 10:00 AM,06-Nov-2025 03:00 PM,NA ,NA ,01-Nov-2025 10:00 AM,06-Nov-2025 03:00 PM,07-Nov-2025 10:00 AM,1.0,Fee/PreQual/Technical,.pdf,Tender Notice,677.0,Nil,Nil,No,1.0,SBI Bank,Executive Engineer,"Office of the Executive Engineer, SNK-4, Gonda",03/EE/2025-26 lot No.7,Silt clearance/Scrapping Work of Jagdishpur dy from km 0.000 to 6.500 (Rabi Fasli 1433 (Year 2025-26) District Gonda),As per nit document ,NA ,"2,87,376",Civil Works - Canal,NA ,Tender,90.0,15.0,Gonda,271602.0,NA ,NA ,NA ,"Office of the Executive Engineer, SNK-4, Gonda",No ,No,AOC
,,,,,,,,,,,,,,,,,,,,,,2.0,5651942.0,M/S RAM TIRATH VERMA CONTRECTOR,05-Nov-2025 12:28 PM,Accepted-AOC,Ist lowest,20-Jan-2026 03:11 PM,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Bid document,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,Boq,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
