Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Instrument Type,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Stage,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :.1,Financial Bid Opening Date:,Document :.1,Type :.1,Summary :.1,Updated By :.2,Updated On :.2,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :,Document :.3,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Tender Stage
Repair/Construction of UPSWC Godowns at Sikandrabad Part-A,Repair/Construction of UPSWC Godowns at Sikandrabad Part-A,Only registered contractor with UPSWC can apply ,NA ,"46,71,028",Civil Works,Maintenance /Construction Work ,Tender,90.0,150.0,Sikandrabad,203205.0,Head Office UPSWC ,U.P. State warehousing corporation New Hyderabad Lucknow 226007 ,18-Dec-2025 02:00 PM ,Head Office UPSWC,No ,No,1.0,RTGS - RTGS Payment,"93,500",No,fixed,,U.P. State warehousing corporation,Lucknow,UP STATE WAREHOUSING CORPORATION,2025122616-1,2025_UPSWC_1096166_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Offline,No,No,No,"1,180",U.P. State warehousing corporation,Lucknow,No,Managing Director UPSWC,U.P. State warehousing corporation New Hyderabad Lucknow 226007,1.0,Fee/PreQual/Technical,.pdf,Technical Bid,05-Dec-2025 09:00 AM,22-Dec-2025 10:00 AM,05-Dec-2025 06:00 PM,20-Dec-2025 06:00 PM,NA ,NA ,05-Dec-2025 06:00 PM,20-Dec-2025 06:00 PM,31-Dec-2025 02:00 PM,AOC,Finance,Financial Bid Result,Madan Pal Singh,02-Jan-2026 12:55 PM,finance_2017878.pdf,BOQ Comparative Chart,Sachiv,Internal,"Sachiv (Chairperson), In Charge E.E.-Civil (Co-Ordinator), Manager Fin., Dy. Manager Fin.(Manish Sonkar), Sr. Acc. Officer (Suraj Rai), Sr. Acc. Officer (Rakesh Rawat), J.E. Civil, N.C.Joshi(Jr. Ass.)",Madan Pal Singh,30-Dec-2025 08:33 PM,31-Dec-2025 02:00 PM,techsummary_2017878.pdf (465.51 KB),Technical,Technical Bid Result,Madan Pal Singh,30-Dec-2025 07:10 PM,technical_2017878.pdf,Sachiv,Internal,"Junior Office Assistant, Junior Engineer, Rakesh Kumar Rawat Senior Account Officer, Suraj Rai Senior Account Officer,Dy. Manager Finance, Manager Finance, Incharge Excutive Engineer",Madan Pal Singh,02-Jan-2026 03:11 PM,finsummary_2017878.pdf (716.48 KB),08-Jan-2026,"INR 3,970,373.78",150.0,Rakesh Kumar Rawat,27-Jan-2026 02:41 PM,sikA.pdf (590.00 KB),Work Award,1,5756305,Ankur Constructions,19-Dec-2025 10:55 AM,Rejected-AOC,Not Selected From lottery system,27-Jan-2026 02:41 PM,1.0,5754006.0,MAA DURGA CONSTRUCTION,INR,"3,970,373.78",UP STATE WAREHOUSING CORPORATION,2025_UPSWC_1096166_1,2025122616-1,Repair/Construction of UPSWC Godowns at Sikandrabad Part-A,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,Financial Bid,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5753885,A.T.CONS.,17-Dec-2025 09:21 PM,Rejected-AOC,Not Selected From lottery system,27-Jan-2026 02:41 PM,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,5749469,BIJNOR CONSTRUCTION and SUPPLIERS,17-Dec-2025 11:19 AM,Rejected-AOC,Not Selected From lottery system,27-Jan-2026 02:41 PM,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,5757835,GRACY ENTERPRISES,19-Dec-2025 08:39 PM,Rejected-AOC,Not Selected From lottery system,27-Jan-2026 02:41 PM,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5759121,JAFARGANJ CONSTRUCTION,20-Dec-2025 02:29 PM,Rejected-AOC,Not Selected From lottery system,27-Jan-2026 02:41 PM,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,5754006,MAA DURGA CONSTRUCTION,17-Dec-2025 10:22 PM,Accepted-AOC,Selected From lottery system,27-Jan-2026 02:41 PM,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,5755819,M/S A.N CONSTRUCTIONS,18-Dec-2025 10:27 PM,Rejected-AOC,Not Selected From lottery system,27-Jan-2026 02:41 PM,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,5757955,M/S KRISHNA TRADERS,19-Dec-2025 09:15 PM,Rejected-AOC,Not Selected From lottery system,27-Jan-2026 02:41 PM,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,5753900,M/S MAS CONSTRUCTION,17-Dec-2025 09:27 PM,Rejected-AOC,Not Selected From lottery system,27-Jan-2026 02:41 PM,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,5757727,M/s satyavir singh contractor,19-Dec-2025 07:45 PM,Rejected-AOC,Not Selected From lottery system,27-Jan-2026 02:41 PM,,,,,,,,,,AOC
