Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.1,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.1,Financial Bid Opening Date:,Document :.1,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,Tender Stage,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage
06-Jan-2026,"INR 103,551.9",10.0,yasvir singh,06-Jan-2026 12:44 PM,LOT_4.pdf (491.00 KB),DOS_29.10.2025_DOE_07.11.2025,"U P Irrigation Department (Civil)||Chief Engineer-Betwa Project, Jhansi||Irrigation Contruction Circle, Mahoba||Maudha Dam Construction Division, Hamirpur",2025_UPIDC_1079802_4,05/AEII/2025-26,Scrapping of internal section of Piprounda Minor (km. 0.000 to 5.000),1.0,5593105.0,KRISHNA BIHARI SINGH,INR,"103,551.9",1,5593105,KRISHNA BIHARI SINGH,10-Oct-2025 01:24 PM,Accepted-AOC,L1,06-Jan-2026 12:44 PM,Finance,all bid admitted,yasvir singh,27-Nov-2025 02:09 PM,finance_1975299.pdf,BOQ Comparative Chart,AE_YASHVIRSINGH,Internal,AE_YASHVIRSINGH_AE_SURVJEETVERMA,yasvir singh,16-Oct-2025 04:05 PM,16-Oct-2025 04:30 PM,techsummary_1975299.pdf (282.04 KB),Technical,ALL BID ADMITTED,yasvir singh,16-Oct-2025 03:26 PM,technical_1975299.pdf,AE_YASHVIRSINGH,Internal,AE_YASHVIRSINGH_AE_SURVJEETVERMA,yasvir singh,27-Nov-2025 02:13 PM,finsummary_1975299.pdf (117.11 KB),AOC,04-Oct-2025 09:00 AM,10-Oct-2025 03:00 PM,04-Oct-2025 09:00 AM,10-Oct-2025 02:00 PM,04-Oct-2025 09:00 AM ,10-Oct-2025 02:00 PM ,04-Oct-2025 09:00 AM,10-Oct-2025 02:00 PM,16-Oct-2025 04:30 PM,AE II MEDCD HAMIRPUR,O/O EE MDCD HAMIRPUR AEII,974.0,Nil,Nil,No,1.0,SBI Bank,Scrapping of internal section of Piprounda Minor (km. 0.000 to 5.000),Scrapping of internal section of Piprounda Minor (km. 0.000 to 5.000),AS PER TENDER DOCUMENT AND NIT ,NA ,,Civil Works - Canal,NA ,Tender,90.0,10.0,HAMIRPUR,210301.0,NA ,NA ,NA ,O/O EE MDCD HAMIRPUR,No ,No,1.0,Fee/PreQual/Technical,.pdf,TENDER_DOCUMENT,"4,000",No,fixed,,Nil,Nil,"U P Irrigation Department (Civil)||Chief Engineer-Betwa Project, Jhansi||Irrigation Contruction Circle, Mahoba||Maudha Dam Construction Division, Hamirpur",05/AEII/2025-26,2025_UPIDC_1079802_4,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,AOC
,,,,,,,,,,,,,,,,2,5597934,M/S ANSH BAJRANG ENTERPRISES,10-Oct-2025 01:26 PM,Rejected-Finance,L3,27-Nov-2025 02:13 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,3,5597574,M/S RADHE CONSTRUCTION,10-Oct-2025 10:06 AM,Rejected-Finance,L5,27-Nov-2025 02:13 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,4,5597507,M/S RAJ TRADERS,10-Oct-2025 10:21 AM,Rejected-Finance,L4,27-Nov-2025 02:13 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,5,5597189,M/S SHIVENDRA SINGH,10-Oct-2025 07:58 AM,Rejected-Finance,L2,27-Nov-2025 02:13 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
