Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Type :,Summary :,Updated By :.2,Updated On :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Financial Bid Opening Date:,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage,Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Tender Stage
"U P Irrigation Department (Civil)||Chief Engineer-Gandak, Gorakhpur||Gandak IWC-2, Gorakhpur||FD-2, gorakhpur",2025_UPIDC_1073752_5,02/EE/2025-26,Estimate of brick on edge soiling at Bankata Link embankment from km.0.000 to km. 0.850,1.0,5546802.0,M/S K. K. CONSTRUCTION,INR,"429,122.03",1,5542538,KALAYANI CONSTRUTION,20-Sep-2025 02:14 PM,Rejected-Finance,Higher,23-Oct-2025 06:41 PM,01-Nov-2025,"INR 636,843.71",14.0,VAIBHAV SINGH,19-Jan-2026 03:45 PM,15.pdf (1450.00 KB),Awarded,Executive Engineer flood Division 2,Internal,,VAIBHAV SINGH,23-Oct-2025 06:41 PM,finsummary_1960566.pdf (94.43 KB),Technical,All bid Admitted,VAIBHAV SINGH,15-Oct-2025 06:02 PM,,Executive Engineer flood Division 2,Internal,,VAIBHAV SINGH,15-Oct-2025 06:06 PM,16-Oct-2025 01:00 PM,techsummary_1960566.pdf (94.43 KB),Finance,All bid admitted,VAIBHAV SINGH,23-Oct-2025 06:35 PM,finance_1960566.pdf,BOQ Comparative Chart,AOC,1.0,Fee/PreQual/Technical,.pdf,NIT,856.0,Nil,Nil,No,15-Sep-2025 05:00 PM,20-Sep-2025 05:00 PM,15-Sep-2025 05:00 PM,20-Sep-2025 05:00 PM,NA ,NA ,15-Sep-2025 05:00 PM,20-Sep-2025 05:00 PM,16-Oct-2025 01:00 PM,Estimate of brick on edge soiling at Bankata Link embankment from km.0.000 to km. 0.850,Estimate of brick on edge soiling at Bankata Link embankment from km.0.000 to km. 0.850,Please refer Tender documents. ,NA ,"6,36,000",Civil Works,NA ,Tender,90.0,14.0,Gorakhpur,273001.0,NA ,NA ,NA ,Executive Engineer Flood Division-2 Gorakhpur,No ,No,"U P Irrigation Department (Civil)||Chief Engineer-Gandak, Gorakhpur||Gandak IWC-2, Gorakhpur||FD-2, gorakhpur",02/EE/2025-26,2025_UPIDC_1073752_5,Yes,Open Tender,Item Wise,Works,2.0,No,No,Online,No,No,No,Executive Engineer Flood Division-2 Gorakhpur,Office of Executive Engineer Flood Division-2 Gorakhpur,"13,000",No,fixed,,Nil,Nil,1.0,SBI Bank,AOC
,,,,,,,,,2,5536819,M/S ARYA ENTERPRISES,18-Sep-2025 02:42 PM,Rejected-Finance,Higher,23-Oct-2025 06:41 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,3,5546802,M/S K. K. CONSTRUCTION,19-Sep-2025 09:06 PM,Accepted-AOC,lowest,19-Jan-2026 03:45 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,4,5547603,M/S RAJESH CONSTRUCTION,20-Sep-2025 11:47 AM,Rejected-Finance,Higher,23-Oct-2025 06:41 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,5,5547973,M/S RAM CHARAN YADAV,20-Sep-2025 03:18 PM,Rejected-Finance,Higher,23-Oct-2025 06:41 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,6,5546471,M/S SHIV SHAKTI CONSTRUCTION COMPANY,19-Sep-2025 05:43 PM,Rejected-Finance,Higher,23-Oct-2025 06:41 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,7,5548057,M/S SHYAM ASSOCIATE,20-Sep-2025 02:08 PM,Rejected-Finance,Higher,23-Oct-2025 06:41 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,8,5547304,M/S URMILA AND SONS CONSTRUCTION CO.,20-Sep-2025 10:24 AM,Rejected-Finance,Higher,23-Oct-2025 06:41 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,9,5548146,NAGENDRA PRATAP SINGH,20-Sep-2025 02:36 PM,Rejected-Finance,Higher,23-Oct-2025 06:41 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,10,5547509,UDAI BHAN PANDEY,20-Sep-2025 11:18 AM,Rejected-Finance,Higher,23-Oct-2025 06:41 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
