Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Financial Bid Opening Date:,Document :.2,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.3,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,Tender Stage
Director Cum Chief Engineer RED||CHIEF ENGINEER EAST||SE DEVIPATAN CIRCLE||EE BAHRAICH,"838/RED/Etender(22)/2025-26, Dt. 04.12.2025",2025_REDUP_1101122_4,Yes,Open Tender,Fixed-rate,Works,2.0,No,No,Online,No,No,No,1,Fee/PreQual/Technical,.pdf,Technical bid document,788.0,Nil,Nil,No,Executive Enginer,"Office of the Executive Enginer, R.E.D. Bahraich",Gram Panchayat Sarwa me Sheetal Prasad Pal ke ghar se Anantram Pal ke ghar tak interlocking nirman karya-Huzoorpur_04,Gram Panchayat Sarwa me Sheetal Prasad Pal ke ghar se Anantram Pal ke ghar tak interlocking nirman karya-Huzoorpur_04,Please refer Tender documents. ,NA ,"5,44,000",Civil Works,NA ,Tender,90.0,180.0,Bahraich,271801.0,NA ,NA ,NA ,"Office of the Executive Enginer, R.E.D. Bahraich",No ,No,24-Dec-2025 12:00 PM,02-Jan-2026 12:30 PM,24-Dec-2025 12:00 PM,02-Jan-2026 12:00 PM,NA ,NA ,24-Dec-2025 12:00 PM,02-Jan-2026 12:00 PM,06-Jan-2026 12:00 PM,1.0,SBI Bank,"10,900",No,fixed,,Nil,Nil,AOC,Sujit Kumar Sinha,Internal,,Sujit Kumar Sinha,06-Jan-2026 02:55 PM,finsummary_2029439.pdf (44.68 KB),Technical,Technical bid open,Sujit Kumar Sinha,03-Jan-2026 03:52 PM,technical_2029439.pdf,Sujit Kumar Sinha,Internal,,Sujit Kumar Sinha,05-Jan-2026 06:01 PM,06-Jan-2026 12:00 PM,techsummary_2029439.pdf (415.13 KB),Finance,Financial bid open,Sujit Kumar Sinha,06-Jan-2026 02:20 PM,finance_2029439.pdf,BOQ Comparative Chart,1,5781497,M/s Vaishnavi Construction,31-Dec-2025 06:19 PM,Rejected-Finance,High,06-Jan-2026 02:55 PM,1.0,5784972.0,M/s Vikram Jaiswal,INR,"640,704.48",Director Cum Chief Engineer RED||CHIEF ENGINEER EAST||SE DEVIPATAN CIRCLE||EE BAHRAICH,2025_REDUP_1101122_4,"838/RED/Etender(22)/2025-26, Dt. 04.12.2025",Gram Panchayat Sarwa me Sheetal Prasad Pal ke ghar se Anantram Pal ke ghar tak interlocking nirman karya-Huzoorpur_04,13-Jan-2026,"INR 640,704.48",180.0,Sujit Kumar Sinha,15-Jan-2026 01:28 PM,04.pdf (46.00 KB),AOC
,,,,,,,,,,,,,,2,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,2,5784972,M/s Vikram Jaiswal,31-Dec-2025 05:31 PM,Accepted-AOC,AOC,15-Jan-2026 01:28 PM,,,,,,,,,,,,,,,,AOC
