Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,AOC Description :,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.1,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,Cover No,Cover,Document Type,Description,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Stage
ExEnMGCCD8BSR,Internal,ExEnMGCCD8BSRExEnMGCCD13Garh,Ambikesh Mishra,07-Jan-2026 05:21 PM,08-Jan-2026 11:00 AM,techsummary_2022677.pdf (1010.35 KB),28-Jan-2026,"INR 1,826,640.93",90.0,Ambikesh Mishra,28-Jan-2026 05:37 PM,02EE2526L4.pdf (359.00 KB),AOC,Technical,TR,Ambikesh Mishra,07-Jan-2026 05:07 PM,technical_2022677.pdf,1.0,5752843.0,M/S SHREE JEE CONSTRUCTIONS,INR,"1,826,640.93",ExEnMGCCD8BSR,Internal,ExEnMGCCD8BSRExEnMGCCD13Garh,Ambikesh Mishra,09-Jan-2026 02:01 PM,finsummary_2022677.pdf (1010.35 KB),Finance,FR is enclosed,Ambikesh Mishra,09-Jan-2026 01:36 PM,finance_2022677.pdf,BOQ Comparative Chart,"U P Irrigation Department (Civil)||Chief Engineer-Madhya Ganga, Aligarh||MGCC Circle, Bulandshahar||MGCCD-8, Bulandshahar",2025_UPIDC_1090465_20,02/EE/2025-26,Lot 4 Const. of VRB at Km. 4.300 of Kamalpur Dy.,1,5752843,M/S SHREE JEE CONSTRUCTIONS,17-Dec-2025 02:55 PM,Accepted-AOC,AOC,28-Jan-2026 05:37 PM,AOC,1.0,Fee/PreQual/Technical,.pdf,Technical Documents,EE M G C C Div 8 Bulandshahr,EE M G C C Div 8 Bulandshahr,"U P Irrigation Department (Civil)||Chief Engineer-Madhya Ganga, Aligarh||MGCC Circle, Bulandshahar||MGCCD-8, Bulandshahar",02/EE/2025-26,2025_UPIDC_1090465_20,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,Lot 4 Const. of VRB at Km. 4.300 of Kamalpur Dy.,Lot 4 Const. of VRB at Km. 4.300 of Kamalpur Dy.,NA ,NA ,,Civil Works - Canal,VRB ,Tender,90.0,120.0,SAMBHAL,244302.0,NA ,NA ,NA ,M G C C Div 8 Bulandshahr,No ,No,944.0,Nil,Nil,No,"43,000",Yes,fixed,,Nil,Nil,1.0,SBI Bank,12-Dec-2025 12:00 PM,18-Dec-2025 11:00 AM,12-Dec-2025 12:00 PM,17-Dec-2025 05:00 PM,12-Dec-2025 12:00 PM ,17-Dec-2025 05:00 PM ,12-Dec-2025 12:00 PM,17-Dec-2025 05:00 PM,08-Jan-2026 11:00 AM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5752997,M/S VASUDEV CONSTRUCTION,17-Dec-2025 02:37 PM,Rejected-Finance,L4,09-Jan-2026 02:01 PM,AOC,2.0,Finance,.xls,Financial Documents,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,5752996,Mukut Bihari Lal Contractor,17-Dec-2025 01:29 PM,Rejected-Finance,L3,09-Jan-2026 02:01 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,5750168,OM SAI CONSTRUCTION COMPANY,17-Dec-2025 12:36 PM,Rejected-Finance,L5,09-Jan-2026 02:01 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5752931,SHREE ENGINEERS,17-Dec-2025 01:05 PM,Rejected-Finance,L2,09-Jan-2026 02:01 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
