Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,S.No,Instrument Type,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Financial Bid Opening Date:,Document :.2,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.3,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,S.No.2,Revocation Title,Revocation Description,Published Date,Document Name,Document Size(in KB),Revocated To,Tender Stage
"Construction of Boundary wall and gate at Rajkiya Uchchatar Madhaymik Vidyalay Jewania Meja, Prayagraj","Construction of Boundary wall and gate at Rajkiya Uchchatar Madhaymik Vidyalay Jewania Meja, Prayagraj",Please refer Tender documents. ,NA ,"19,62,000",Civil Works,NA ,Tender,105.0,90.0,Prayagraj,211004.0,EE UPSCIDCO Prayagraj ,236/174/4 Triveni Gas Godown Road new Mehendauri Teliyarganj Prayagraj ,30-Oct-2025 12:00 PM ,EE UPSCIDCO Prayagraj,No ,No,1.0,Fee/PreQual/Technical,.pdf,NIT,1.0,RTGS - RTGS Payment,27-Oct-2025 05:00 PM,03-Nov-2025 03:00 PM,27-Oct-2025 05:00 PM,03-Nov-2025 02:00 PM,NA ,NA ,27-Oct-2025 05:00 PM,03-Nov-2025 02:00 PM,12-Dec-2025 03:55 PM,"1,652",EE UPSCIDCO,PRAYAGRAJ,No,EE UPSCIDCO Prayagraj,236/174/4 Triveni Gas Godown Road new Mehendauri Teliyarganj Prayagraj,"40,000",Yes,fixed,,EE UPSCIDCO,PRAYAGRAJ,U.P. State Construction and Infrastructure Development Corporation Ltd.||Unit Fatehpur,21-4/EE/PYG/B.Wall/E-Ten/25-26,2025_SCIDC_1062264_3,Yes,Open Tender,Percentage,Works,2.0,No,No,Offline,No,No,No,AOC,SS Katiyar,Internal,"Lalji Tiwari, Shaheer Ahmad",Surendra Katuyar,13-Jan-2026 05:46 PM,finsummary_1990881.pdf (210.08 KB),Technical,TD,Surendra Katuyar,12-Dec-2025 03:51 PM,technical_1990881.pdf,SS Katiyar,Internal,"Lalji Tiwari, Shiv Shankar Yadav",Surendra Katuyar,12-Dec-2025 03:53 PM,12-Dec-2025 03:55 PM,techsummary_1990881.pdf (403.49 KB),Finance,FS,Lalji Tiwari,12-Dec-2025 04:01 PM,finance_1990881.pdf,BOQ Comparative Chart,1,5646643,JAI MAA SHARDA ENTERPRISES,03-Nov-2025 12:09 AM,Rejected-Technical,All document not complete,12-Dec-2025 03:53 PM,U.P. State Construction and Infrastructure Development Corporation Ltd.||Unit Fatehpur,2025_SCIDC_1062264_3,21-4/EE/PYG/B.Wall/E-Ten/25-26,"Construction of Boundary wall and gate at Rajkiya Uchchatar Madhaymik Vidyalay Jewania Meja, Prayagraj",1.0,5648701.0,UMESH CHANDRA MISHRA,INR,"1,696,933.8",13-Jan-2026,"INR 1,696,933.8",90.0,Surendra Katuyar,13-Jan-2026 05:48 PM,wo.pdf (695.00 KB),Work order Issue Letter No- 853 dt 16.12.2025,1.0,Tender Revocation,Tender Revocation,12-Dec-2025 12:46 PM,CD.pdf ,60.25,Technical Opening,AOC
,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,2,5648828,TEJASVI ASSOCIATES,03-Nov-2025 01:13 PM,Rejected-Technical,All document not complete,12-Dec-2025 03:53 PM,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,3,5644089,TRANSMISSION TRANSFORMERS,03-Nov-2025 12:40 PM,Rejected-Technical,All document not complete,12-Dec-2025 03:53 PM,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,4,5648701,UMESH CHANDRA MISHRA,03-Nov-2025 12:30 PM,Accepted-AOC,1st,13-Jan-2026 05:48 PM,,,,,,,,,,,,,,,,,,,,,,,,AOC
