Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Type :,Summary :,Updated By :.2,Updated On :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Financial Bid Opening Date:,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage,S.No,Corrigendum Title,Corrigendum Type,View,S.No.1,Instrument Type,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Stage
U.P. State Construction and Infrastructure Development Corporation Ltd.||Unit Agra,2025_SCIDC_1096784_2,104/FZD/MLA/25-26,"CONSTRUCTION OF INTERLOCKING REMAINING WORK FROM GAON TO BAMBA (RAJAN LAL) AATEPUR SHIKOHABAD AT VILL.- DAULATPUR KARKHA, DISTT. FIROZABAD.",1.0,5809939.0,OM CONSTRUCTION AND SUPPLIERS,INR,"345,750.64",1,5809939,OM CONSTRUCTION AND SUPPLIERS,16-Jan-2026 06:52 PM,Accepted-AOC,OK,22-Jan-2026 01:03 PM,22-Jan-2026,"INR 345,750.64",180.0,Pramod Kumar,22-Jan-2026 01:03 PM,fr104.pdf (480.00 KB),Executive Engineer,Internal,,Pramod Kumar,22-Jan-2026 01:00 PM,finsummary_2037026.pdf (479.54 KB),Technical,All bids are ok.,Sanjai Gangwar,20-Jan-2026 03:33 PM,technical_2037026.pdf,Executive Engineer,Internal,,Pramod Kumar,20-Jan-2026 04:24 PM,20-Jan-2026 04:25 PM,techsummary_2037026.pdf (197.77 KB),Finance,Rate of M/s OM CONSTRUCTION AND SUPPLIERS is accepted.,Sanjai Gangwar,21-Jan-2026 01:21 PM,finance_2037026.pdf,BOQ Comparative Chart,AOC,1.0,New Opening Date,Date,,1.0,RTGS - RTGS Payment,"7,000",No,fixed,,UPSCIDCO,FIROZABAD,"CONSTRUCTION OF INTERLOCKING REMAINING WORK FROM GAON TO BAMBA (RAJAN LAL) AATEPUR SHIKOHABAD AT VILL.- DAULATPUR KARKHA, DISTT. FIROZABAD.","CONSTRUCTION OF INTERLOCKING REMAINING WORK FROM GAON TO BAMBA (RAJAN LAL) AATEPUR SHIKOHABAD AT VILL.- DAULATPUR KARKHA, DISTT. FIROZABAD.",Please refer Tender documents. ,NA ,"3,46,000",Civil Works,NA ,Tender,180.0,180.0,sikandra agra,282007.0,NA ,NA ,NA ,"H.No.-128, Paschimpuri, Near Pani Ki Tanki, Sikand",No ,No,U.P. State Construction and Infrastructure Development Corporation Ltd.||Unit Agra,104/FZD/MLA/25-26,2025_SCIDC_1096784_2,Yes,Open Tender,Percentage,Works,2.0,No,No,Offline,No,No,No,Executive engineer,"Ex. En. Office, H.No.-128, Paschimpuri, Near Pani Ki Tanki, Sikandra, Agra.",1,Fee/PreQual/Technical,.pdf,NIT,826.0,UPSCIDCO,FIROZABAD,No,06-Jan-2026 04:00 PM,17-Jan-2026 01:00 PM,06-Jan-2026 04:00 PM,17-Jan-2026 12:00 PM,NA ,NA ,06-Jan-2026 04:00 PM,17-Jan-2026 12:00 PM,20-Jan-2026 04:25 PM,AOC
,,,,,,,,,2,5810026,YASH CONSTRUCTION,16-Jan-2026 07:55 PM,Rejected-AOC,OK,22-Jan-2026 01:03 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Finance,.xls,BOQ,,,,,,,,,,,,,,AOC
