Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.1,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated on :.1,Document :.1,Type :.1,Summary :.1,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No,Instrument Type,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage
09-Jan-2026,"INR 8,722,535.97",180.0,Rakesh Kumar Rawat,27-Jan-2026 02:00 PM,manjA.pdf (599.00 KB),Work Award,UP STATE WAREHOUSING CORPORATION,2025_UPSWC_1096396_1,2025122683-1,Repair/Construction of UPSWC Godowns at Manjhanpur (Kaushambi),1.0,5757218.0,M/S YASH ENTERPRISES,INR,"8,722,535.97",1,5756129,Ankur Constructions,19-Dec-2025 08:41 AM,Rejected-AOC,Not Selected From lottery system,27-Jan-2026 02:00 PM,Technical,Technical Bid Result,Madan Pal Singh,30-Dec-2025 07:41 PM,technical_2018308.pdf,Sachiv,Internal,"Junior Office Assistant, Junior Engineer, Rakesh Kumar Rawat Senior Account Officer, Suraj Rai Senior Account Officer,Dy. Manager Finance, Manager Finance, Incharge Excutive Engineer",Madan Pal Singh,02-Jan-2026 03:40 PM,finsummary_2018308.pdf (716.48 KB),Finance,Financial Bid Result,Madan Pal Singh,02-Jan-2026 12:15 PM,finance_2018308.pdf,BOQ Comparative Chart,Sachiv,Internal,"Sachiv (Chairperson), In Charge E.E.-Civil (Co-Ordinator), Manager Fin., Dy. Manager Fin.(Manish Sonkar), Sr. Acc. Officer (Suraj Rai), Sr. Acc. Officer (Rakesh Rawat), J.E. Civil, N.C.Joshi(Jr. Ass.)",Madan Pal Singh,30-Dec-2025 08:15 PM,31-Dec-2025 02:00 PM,techsummary_2018308.pdf (465.51 KB),AOC,05-Dec-2025 06:00 PM,22-Dec-2025 10:00 AM,05-Dec-2025 06:00 PM,20-Dec-2025 06:00 PM,NA ,NA ,05-Dec-2025 06:00 PM,20-Dec-2025 06:00 PM,31-Dec-2025 02:00 PM,1.0,RTGS - RTGS Payment,1.0,Fee/PreQual/Technical,.pdf,Technical Bid,"2,05,300",No,fixed,,U.P. State warehousing corporation,Lucknow,Repair/Construction of UPSWC Godowns at Manjhanpur (Kaushambi),Repair/Construction of UPSWC Godowns at Manjhanpur (Kaushambi),Only registered contractor with UPSWC can apply ,NA ,"1,02,61,807",Civil Works,Maintenance /Construction Work ,Tender,90.0,180.0,Manjhanpur (Kaushambi),212207.0,Head Office UPSWC ,U.P. State warehousing corporation New Hyderabad Lucknow 226007 ,18-Dec-2025 02:00 PM ,Head Office UPSWC,No ,No,Managing Director UPSWC,U.P. State warehousing corporation New Hyderabad Lucknow 226007,UP STATE WAREHOUSING CORPORATION,2025122683-1,2025_UPSWC_1096396_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Offline,No,No,No,"1,180",U.P. State warehousing corporation,Lucknow,No,AOC
,,,,,,,,,,,,,,,,2,5753968,A.T.CONS.,17-Dec-2025 09:59 PM,Rejected-AOC,Not Selected From lottery system,27-Jan-2026 02:00 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,2.0,Finance,.xls,Financial Bid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,3,5749493,BIJNOR CONSTRUCTION and SUPPLIERS,17-Dec-2025 11:27 AM,Rejected-AOC,Not Selected From lottery system,27-Jan-2026 02:00 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,4,5759061,JAFARGANJ CONSTRUCTION,20-Dec-2025 02:11 PM,Rejected-AOC,Not Selected From lottery system,27-Jan-2026 02:00 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,5,5759414,JMD ENTERPRISES,20-Dec-2025 04:13 PM,Rejected-AOC,Not Selected From lottery system,27-Jan-2026 02:00 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,6,5753977,MAA DURGA CONSTRUCTION,17-Dec-2025 10:06 PM,Rejected-AOC,Not Selected From lottery system,27-Jan-2026 02:00 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,7,5758084,M/s. Aakash Enterprises,19-Dec-2025 10:21 PM,Rejected-AOC,Not Selected From lottery system,27-Jan-2026 02:00 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,8,5755769,M/S A.N CONSTRUCTIONS,18-Dec-2025 10:06 PM,Rejected-AOC,Not Selected From lottery system,27-Jan-2026 02:00 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,9,5753870,M/S MAS CONSTRUCTION,17-Dec-2025 09:08 PM,Rejected-AOC,Not Selected From lottery system,27-Jan-2026 02:00 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,10,5757710,M/s satyavir singh contractor,19-Dec-2025 07:38 PM,Rejected-AOC,Not Selected From lottery system,27-Jan-2026 02:00 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,11,5757218,M/S YASH ENTERPRISES,19-Dec-2025 04:05 PM,Accepted-AOC,Selected From lottery system,27-Jan-2026 02:00 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
