Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Type :,Summary :,Updated By :.2,Updated On :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Financial Bid Opening Date:,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage,S.No,Bank Name,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No.1,Corrigendum Title,Corrigendum Type,View,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage
Director Cum Chief Engineer RED||CHIEF ENGINEER WEST||SE AGRA CIRCLE||EE AGRA,2025_REDUP_1095059_7,886/NIVIDA AGRA/2025-26 dt 01.11.2025,6. Vikas khand khandoli me gram panchayat neharra ke majra nagla gadariya me sanjay ke ghar se habib khan ke ghar tak evam shiv mandir se siyaram ke ghar ki taraf CC nirman karya,1.0,5756840.0,PRSA ENTERPRISES,INR,"1,353,645",1,5715622,M/S S.P. & CO,20-Dec-2025 05:51 PM,Rejected-Finance,L2,12-Jan-2026 05:00 PM,12-Jan-2026,"INR 1,353,645",90.0,Dinesh Singh,31-Jan-2026 12:58 PM,nRESPONSIVE.pdf (192.00 KB),EERED,Internal,,Dinesh Singh,12-Jan-2026 05:00 PM,finsummary_2014667.pdf (94.83 KB),Technical,t,Dinesh Singh,23-Dec-2025 04:56 PM,,EERED,Internal,,Dinesh Singh,24-Dec-2025 06:55 PM,26-Dec-2025 09:00 AM,techsummary_2014667.pdf (192.22 KB),Finance,F,Dinesh Singh,26-Dec-2025 01:16 PM,,BOQ Comparative Chart,AOC,1.0,SBI Bank,1,Fee/PreQual/Technical,.pdf,BID,02-Dec-2025 10:00 AM,22-Dec-2025 12:30 PM,02-Dec-2025 10:00 AM,22-Dec-2025 12:00 PM,NA ,NA ,02-Dec-2025 10:00 AM,22-Dec-2025 12:00 PM,26-Dec-2025 09:00 AM,854.0,Nil,Nil,No,"28,000",Yes,fixed,,Nil,Nil,EERED AGRA,EERED AGRA,Director Cum Chief Engineer RED||CHIEF ENGINEER WEST||SE AGRA CIRCLE||EE AGRA,886/NIVIDA AGRA/2025-26 dt 01.11.2025,2025_REDUP_1095059_7,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,1.0,DATE,Date,,6. Vikas khand khandoli me gram panchayat neharra ke majra nagla gadariya me sanjay ke ghar se habib khan ke ghar tak evam shiv mandir se siyaram ke ghar ki taraf CC nirman karya,6. Vikas khand khandoli me gram panchayat neharra ke majra nagla gadariya me sanjay ke ghar se habib khan ke ghar tak evam shiv mandir se siyaram ke ghar ki taraf CC nirman karya,Please refer Tender documents. ,NA ,,Civil Works,NA ,Tender,90.0,90.0,AGRA,282002.0,NA ,NA ,NA ,EE RED AGRA,No ,No,AOC
,,,,,,,,,2,5756840,PRSA ENTERPRISES,20-Dec-2025 05:30 PM,Accepted-AOC,L1,31-Jan-2026 12:58 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,2,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
