S.No,Instrument Type,Cover No,Cover,Document Type,Description,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage,Type :,Summary :,Updated By :,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Type :.1,Summary :.1,Updated By :.2,Updated On :.1,Document :.2,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.2,Financial Bid Opening Date:,Document :.3,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage
1.0,RTGS - RTGS Payment,1,Fee/PreQual/Technical,.pdf,NIT,EE UPSCIDCO Fatehpur,236/174/4 Triveni Gas Godown Road New Mehendauri Teliyarganj,"33,500",No,fixed,,EE UPSCIDCO,Fatehpur,U.P. State Construction and Infrastructure Development Corporation Ltd.||Unit Fatehpur,28-10/EE/FTP/PMAGY/E-Ten/25-26,2025_SCIDC_1072080_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Offline,No,No,No,Construction of PMAGY at Gram Afoi Block Areayan Fatehpur,Construction of PMAGY at Gram Afoi Block Areayan Fatehpur,Please refer Tender documents. ,NA ,"16,51,000",Civil Works,NA ,Tender,105.0,90.0,Kaushambi,212207.0,EE UPSCIDCO Prayagraj ,236/174/4 Triveni Gas Godown Road New Mehendauri Teliyarganj ,11-Sep-2025 12:00 PM ,EE UPSCIDCO Prayagraj,No ,No,08-Sep-2025 09:00 AM,13-Sep-2025 03:00 PM,08-Sep-2025 09:00 AM,13-Sep-2025 02:00 PM,NA ,NA ,08-Sep-2025 09:00 AM,13-Sep-2025 02:00 PM,23-Sep-2025 04:10 PM,"1,652",EE UPSCIDCO,Fatehpur,No,AOC,Technical,td,Surendra Katuyar,23-Sep-2025 04:04 PM,technical_1956502.pdf,SS Katiyar,Internal,"Lalji tiwari, Devedra Kumar",Surendra Katuyar,13-Jan-2026 02:53 PM,finsummary_1956502.pdf (227.98 KB),Finance,fs,Surendra Katuyar,13-Jan-2026 02:52 PM,finance_1956502.pdf,BOQ Comparative Chart,SS Katiyar,Internal,"Lalji Tiwari, Devendra Kumar",Surendra Katuyar,23-Sep-2025 04:05 PM,23-Sep-2025 04:10 PM,techsummary_1956502.pdf (401.58 KB),13-Jan-2026,"INR 1,647,532.9",90.0,Surendra Katuyar,13-Jan-2026 02:55 PM,wo.pdf (673.00 KB),Work Order Issue Letter No- 611 dt. 28.09.2025,1,5528395,M/S ANIL KUMAR CHOURASIA,12-Sep-2025 01:43 PM,Rejected-AOC,2nd,13-Jan-2026 02:55 PM,U.P. State Construction and Infrastructure Development Corporation Ltd.||Unit Fatehpur,2025_SCIDC_1072080_1,28-10/EE/FTP/PMAGY/E-Ten/25-26,Construction of PMAGY at Gram Afoi Block Areayan Fatehpur,1.0,5525966.0,MS ASHISH CONSTRUCTION,INR,"1,647,532.9",AOC
,,2,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5525966,MS ASHISH CONSTRUCTION,10-Sep-2025 02:22 PM,Accepted-AOC,1st,13-Jan-2026 02:55 PM,,,,,,,,,,AOC
