S.No,Corrigendum Title,Corrigendum Type,View,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,S.No.1,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Financial Bid Opening Date:,Document :.2,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.3,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,Tender Stage
1.0,Date change,Date,,EE FWD PRAYAGRAJ,EE FWD PRAYAGRAJ,"TEMPORARY RIVER TRAINING WORKS ALONG LEFT BANK OF RIVER GANGA U/S OF SHASTRI BRIDGE , FROM CH 625.00 M TO 725.00 M IN MAGH MELA 2025-26","TEMPORARY RIVER TRAINING WORKS ALONG LEFT BANK OF RIVER GANGA U/S OF SHASTRI BRIDGE , FROM CH 625.00 M TO 725.00 M IN MAGH MELA 2025-26",Please refer Tender documents. ,NA ,"7,20,000",Civil Works,NA ,Tender,90.0,90.0,MAGH MELA AREA,211006.0,NA ,NA ,NA ,PRAYAGRAJ,No ,No,"2,354",Nil,Nil,No,06-Nov-2025 10:00 AM,17-Nov-2025 10:00 AM,06-Nov-2025 10:00 AM,15-Nov-2025 10:00 AM,NA ,NA ,06-Nov-2025 10:00 AM,15-Nov-2025 10:00 AM,24-Nov-2025 09:30 AM,"14,400",Yes,percentage,2.0%,Nil,Nil,1.0,Fee/PreQual/Technical,.pdf,DOC,1.0,SBI Bank,"U P Irrigation Department (Civil)||Chief Engineer-Sone, Varanasi||Irrigation Works Circle, Allahabad||FWD, allahabad",01/EE/2025-26,2025_UPIDC_1088571_7,Yes,Open Tender,Item Wise,Works,2.0,No,No,Online,No,No,No,AOC,D N SHUKLA,Internal,s p chaudhary,DIGVIJAY NARAIN,09-Jan-2026 08:30 PM,finsummary_1997455.pdf (194.14 KB),Technical,4 REJECTED,DIGVIJAY NARAIN,24-Nov-2025 09:16 AM,technical_1997455.pdf,DN SHUKLA,Internal,S P CHAUDHARY,DIGVIJAY NARAIN,24-Nov-2025 09:19 AM,24-Nov-2025 09:30 AM,techsummary_1997455.pdf (383.23 KB),Finance,akkancha enterprises,DIGVIJAY NARAIN,09-Jan-2026 08:26 PM,,BOQ Comparative Chart,1,5671526,AKANSHA ENTERPRISES,13-Nov-2025 01:13 AM,Accepted-AOC,L1,09-Jan-2026 08:33 PM,"U P Irrigation Department (Civil)||Chief Engineer-Sone, Varanasi||Irrigation Works Circle, Allahabad||FWD, allahabad",2025_UPIDC_1088571_7,01/EE/2025-26,"TEMPORARY RIVER TRAINING WORKS ALONG LEFT BANK OF RIVER GANGA U/S OF SHASTRI BRIDGE , FROM CH 625.00 M TO 725.00 M IN MAGH MELA 2025-26",1.0,5671526.0,AKANSHA ENTERPRISES,INR,"327,410",09-Jan-2026,"INR 327,410",90.0,DIGVIJAY NARAIN,09-Jan-2026 08:33 PM,07.pdf (194.00 KB),akancha enterprises,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,2,5672131,KHAN CONSTRUCTION,13-Nov-2025 01:56 AM,Rejected-Finance,not l1,09-Jan-2026 08:30 PM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,3,5673165,M/S DHARMSHEELA CONSTRUCTION,14-Nov-2025 02:33 PM,Rejected-Finance,not l1,09-Jan-2026 08:30 PM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,4,5663047,M/S GANPATI KRIPA CONSTRUCTION AND SUPPLIAR,10-Nov-2025 03:25 PM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,24-Nov-2025 09:16 AM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,5,5669747,M/S KAMLA COMNUCATION,12-Nov-2025 09:13 AM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,24-Nov-2025 09:16 AM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,6,5663925,M/S RAJESHWAR YADAV,11-Nov-2025 02:53 PM,Rejected-Finance,not l1,09-Jan-2026 08:30 PM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,7,5671837,Pranshul Enterprises,14-Nov-2025 10:39 AM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,24-Nov-2025 09:16 AM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,8,5672394,RAJ BAHADUR SINGH,13-Nov-2025 08:56 AM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,24-Nov-2025 09:16 AM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,9,5670455,R.P. SINGH,13-Nov-2025 09:10 AM,Rejected-Finance,not l1,09-Jan-2026 08:30 PM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,10,5672509,SANVI CONSTRUCTION,13-Nov-2025 10:54 AM,Rejected-Finance,not l1,09-Jan-2026 08:30 PM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,11,5658662,SHARDA CONSTRUCTION,12-Nov-2025 07:41 PM,Rejected-Finance,not l1,09-Jan-2026 08:30 PM,,,,,,,,,,,,,,,,,AOC
