Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No.1,Corrigendum Title,Corrigendum Type,View,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.2,Updated On :.1,Document :.2,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage
1,Fee/PreQual/Technical,.pdf,Technical bid document,"15,400",No,fixed,,Nil,Nil,1.0,SBI Bank,Executive Enginer,"Office of the Executive Enginer, R.E.D. Bahraich",Director Cum Chief Engineer RED||CHIEF ENGINEER EAST||SE DEVIPATAN CIRCLE||EE BAHRAICH,"816/RED/Etender(21)/2025-26, Dt. 29.11.2025",2025_REDUP_1099756_12,Yes,Open Tender,Fixed-rate,Works,2.0,No,No,Online,No,No,No,1.0,Date Corrigendum,Date,,18-Dec-2025 12:00 PM,30-Dec-2025 12:30 PM,18-Dec-2025 12:00 PM,30-Dec-2025 12:00 PM,NA ,NA ,18-Dec-2025 12:00 PM,30-Dec-2025 12:00 PM,02-Jan-2026 12:00 PM,788.0,Nil,Nil,No,Gram Panchayat Gangwal me prathmik vidyalay ke paas Santosh Gupta ke ghar tak nali nirman karya-Viseshwarganj_12,Gram Panchayat Gangwal me prathmik vidyalay ke paas Santosh Gupta ke ghar tak nali nirman karya-Viseshwarganj_12,Please refer Tender documents. ,NA ,"7,68,000",Civil Works,NA ,Tender,90.0,180.0,Bahraich,271801.0,NA ,NA ,NA ,"Office of the Executive Enginer, R.E.D. Bahraich",No ,No,AOC,1,5769844,M/S VAIBHAV ENTERPRISES,27-Dec-2025 03:14 PM,Accepted-AOC,AOC,31-Jan-2026 05:54 PM,Director Cum Chief Engineer RED||CHIEF ENGINEER EAST||SE DEVIPATAN CIRCLE||EE BAHRAICH,2025_REDUP_1099756_12,"816/RED/Etender(21)/2025-26, Dt. 29.11.2025",Gram Panchayat Gangwal me prathmik vidyalay ke paas Santosh Gupta ke ghar tak nali nirman karya-Viseshwarganj_12,Finance,Financial bid open,Sujit Kumar Sinha,02-Jan-2026 06:36 PM,finance_2026072.pdf,BOQ Comparative Chart,Sujit Kumar Sinha,Internal,,Sujit Kumar Sinha,03-Jan-2026 03:21 PM,finsummary_2026072.pdf (43.40 KB),1.0,5769844.0,M/S VAIBHAV ENTERPRISES,INR,"838,968.19",Technical,Technical bid open,Sujit Kumar Sinha,30-Dec-2025 01:36 PM,technical_2026072.pdf,07-Jan-2026,"INR 838,968.19",180.0,Sujit Kumar Sinha,31-Jan-2026 05:54 PM,M12.pdf (47.00 KB),Sujit Kumar Sinha,Internal,,Sujit Kumar Sinha,01-Jan-2026 02:39 PM,02-Jan-2026 12:00 PM,techsummary_2026072.pdf (392.03 KB),AOC
2,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,2,5770280,SUSHILA DEVI,27-Dec-2025 01:37 PM,Rejected-Finance,High,03-Jan-2026 03:21 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
