Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,S.No,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage,Type :,Summary :,Updated By :,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Type :.1,Summary :.1,Updated By :.2,Updated On :.1,Document :.2,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.2,Financial Bid Opening Date:,Document :.3,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Tender Stage
06-May-2025 10:00 AM,14-May-2025 01:00 PM,06-May-2025 10:00 AM,14-May-2025 12:00 PM,NA ,NA ,06-May-2025 10:00 AM,14-May-2025 12:00 PM,14-May-2025 06:10 PM,766.0,Nil,Nil,No,1.0,Fee/PreQual/Technical,.pdf,Technical and EMD Part A,1.0,SBI Bank,RENOVATION OF STORE-2 AT WORK OF TUBEWELL DIVISION LUCKNOW INCLUDING ALL MATERIAL LABOUR T AND P AS PER SPECIFICATIONS OF BOQ,RENOVATION OF STORE-2 AT WORK OF TUBEWELL DIVISION LUCKNOW INCLUDING ALL MATERIAL LABOUR T AND P AS PER SPECIFICATIONS OF BOQ,as per tender document ,none ,,Repair and Maintenance Works,NA ,Tender,90.0,45.0,lucknow,226001.0,NA ,NA ,NA ,office of executive engineer TWD lucknow IDUP,No ,No,"26,000",Yes,fixed,,Nil,Nil,executive engineer,1 PN Road Butler Colony Near Balu Adda Chaurha Lucknow,U P Irrigation Department (Mechanical)||Chief Engineer (Tubewell Centre)||Superintending Engineer (Tubewell) Lucknow||Excecutive Engineer (Tubewell) Lucknow,02/E.E/T.W.D/2025-26,2025_UPIDM_1031829_2,Yes,Open Tender,Lump-sum,Works,2.0,No,No,Online,No,No,No,AOC,Technical,Admitted,Ajai Kumar Yadav,14-May-2025 05:08 PM,,superitending engg,Internal,,Ajai Kumar Yadav,06-Jan-2026 04:17 PM,finsummary_1877191.pdf (1148.52 KB),Finance,Admitted,Ajai Kumar Yadav,14-May-2025 06:20 PM,,BOQ Comparative Chart,Ajai Kumar Yadav,Internal,ajai kumar yadav vinod kumar abhinav tripathi,Ajai Kumar Yadav,14-May-2025 06:07 PM,14-May-2025 06:10 PM,techsummary_1877191.pdf (764.17 KB),06-Jan-2026,"INR 1,167,970.68",45.0,Ajai Kumar Yadav,06-Jan-2026 04:20 PM,alotStore2.pdf (782.00 KB),1,5186399,ANUPAM INFRATECH,13-May-2025 07:12 PM,Accepted-AOC,L3,06-Jan-2026 04:20 PM,1.0,5183439.0,BALAJI ENTERPRISES,INR,0,U P Irrigation Department (Mechanical)||Chief Engineer (Tubewell Centre)||Superintending Engineer (Tubewell) Lucknow||Excecutive Engineer (Tubewell) Lucknow,2025_UPIDM_1031829_2,02/E.E/T.W.D/2025-26,RENOVATION OF STORE-2 AT WORK OF TUBEWELL DIVISION LUCKNOW INCLUDING ALL MATERIAL LABOUR T AND P AS PER SPECIFICATIONS OF BOQ,AOC
,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5183439,BALAJI ENTERPRISES,13-May-2025 05:32 PM,Accepted-AOC,L2,06-Jan-2026 04:20 PM,2.0,5186399.0,ANUPAM INFRATECH,INR,0,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,5187453,MANJULA MISHRA,14-May-2025 07:52 AM,Accepted-AOC,L4,06-Jan-2026 04:20 PM,3.0,5186805.0,M/S Sushila Enterprises,INR,"1,167,970.68",,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,5183551,M/S S S ENTERPRISES,13-May-2025 06:11 PM,Rejected-Technical,Not Qualified,14-May-2025 06:07 PM,4.0,5187453.0,MANJULA MISHRA,INR,0,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5186805,M/S Sushila Enterprises,13-May-2025 11:41 PM,Accepted-AOC,L1,06-Jan-2026 04:20 PM,,,,,,,,,,AOC
