Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.1,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated on :.1,Document :.1,Type :.1,Summary :.1,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,S.No,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Stage
13-Jan-2026,"INR 158,972.65",10.0,Mukesh Kumar,20-Jan-2026 04:06 PM,36Tyagi.pdf (498.00 KB),Awarded to M/S Tyagi ji cont.,1,5674151,SATYA VEER SINGH CONTRACTOR,14-Nov-2025 12:08 AM,Rejected-AOC,L2,20-Jan-2026 04:06 PM,"U P Irrigation Department (Civil)||Chief Engineer-Eastern Ganga, Moradabad||EGCC Circle, Bijnore||EGCD-4, bijnore",2025_UPIDC_1088508_8,03/EE/2025-26,Lot- 08,1.0,5674945.0,TYAGI JI CONTRACTOR,INR,"158,972.65",Technical,Two valid bid found. which are admitted.,Mukesh Kumar,14-Nov-2025 05:47 PM,,Mukesh Kumar,Internal,Yogesh Nim,Mukesh Kumar,18-Nov-2025 12:52 PM,finsummary_1997216.pdf (250.68 KB),Finance,Two valid bid found. which are admitted.,Mukesh Kumar,18-Nov-2025 11:27 AM,,BOQ Comparative Chart,Mukesh Kumar,Internal,Yogesh Nim,Mukesh Kumar,15-Nov-2025 02:24 PM,17-Nov-2025 03:00 PM,techsummary_1997216.pdf (839.11 KB),AOC,"4,180",No,fixed,,Nil,Nil,1,Fee/PreQual/Technical,.pdf,Technical Documents(Technical),"U P Irrigation Department (Civil)||Chief Engineer-Eastern Ganga, Moradabad||EGCC Circle, Bijnore||EGCD-4, bijnore",03/EE/2025-26,2025_UPIDC_1088508_8,Yes,Open Tender,Item Wise,Works,2.0,No,No,Online,No,No,No,89.0,Nil,Nil,No,Lot- 08,Repair of damaged Doula of Left bank of Dhanora Dy. From km. 2.271 to 3.912 for the year 2025-26,Please refer Tender documents. ,NA ,"2,09,000",Civil Works - Canal,NA ,Tender,90.0,10.0,Bijnor,246701.0,NA ,NA ,NA ,"E.G.C.C.D-4, Bijnor",No ,No,E.E.,"E.G.C.C.D-4, Bijnor",1.0,SBI Bank,07-Nov-2025 10:00 AM,14-Nov-2025 01:30 PM,07-Nov-2025 10:00 AM,14-Nov-2025 10:30 AM,NA ,NA ,07-Nov-2025 10:00 AM,14-Nov-2025 10:30 AM,17-Nov-2025 03:00 PM,AOC
,,,,,,,2,5674945,TYAGI JI CONTRACTOR,13-Nov-2025 10:21 PM,Accepted-AOC,L1,20-Jan-2026 04:06 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,2,Finance,.xls,boq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
