Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Corrigendum Title,Corrigendum Type,View,S.No.1,Instrument Type,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Tender Stage,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :.1,Financial Bid Opening Date:,Document :.1,Type :.1,Summary :.1,Updated By :.2,Updated On :.2,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :,Document :.3,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage
Construction of PMAGY at Gram Semrehta Block Dhata Distt Fatehpur,Construction of PMAGY at Gram Semrehta Block Dhata Distt Fatehpur,Please refer Tender documents. ,NA ,"16,47,000",Civil Works,NA ,Tender,105.0,90.0,Fatehpur,212601.0,EE UPSCIDCO Prayagraj ,236/174/4 Triveni Gas Godown Road New Mehdauri Teliyarganj  ,06-Sep-2025 12:00 PM ,EE UPSCIDCO Prayagraj,No ,No,EE UPSCIDCO Prayagraj,236/174/4 Triveni Gas Godown Road New Mehdauri Teliyarganj,U.P. State Construction and Infrastructure Development Corporation Ltd.||Unit Fatehpur,28-05/EE/FTP/PMAGY/E-Ten/25-26,2025_SCIDC_1070973_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Offline,No,No,No,"33,000",No,fixed,,EE UPSCIDCO,Fatehpur,1.0,Date Corrigendum,Date,,1.0,RTGS - RTGS Payment,03-Sep-2025 09:00 AM,11-Sep-2025 03:00 PM,03-Sep-2025 09:00 AM,11-Sep-2025 02:00 PM,NA ,NA ,03-Sep-2025 09:00 AM,11-Sep-2025 02:00 PM,16-Oct-2025 05:15 PM,"1,652",EE UPSCIDCO,Fatehpur,No,1.0,Fee/PreQual/Technical,.pdf,NIT,AOC,Finance,fs,Surendra Katuyar,09-Jan-2026 04:31 PM,finance_1953941.pdf,BOQ Comparative Chart,SS Katiyar,Internal,"Lalji Tiwari, Devendra Kumar",Surendra Katuyar,16-Oct-2025 05:13 PM,16-Oct-2025 05:15 PM,techsummary_1953941.pdf (415.48 KB),Technical,TD,Surendra Katuyar,16-Oct-2025 05:12 PM,technical_1953941.pdf,SS Katiyar,Internal,"Lalji Tiwari, Devendra Kumar",Surendra Katuyar,09-Jan-2026 04:36 PM,finsummary_1953941.pdf (227.36 KB),09-Jan-2026,"INR 1,642,882.5",90.0,Surendra Katuyar,09-Jan-2026 04:40 PM,wo.pdf (682.00 KB),Work Order Issue Letter No- 716 dt 25.10.2025,1,5519308,M/S ANIL KUMAR CHOURASIA,06-Sep-2025 05:09 PM,Accepted-AOC,1st,09-Jan-2026 04:40 PM,U.P. State Construction and Infrastructure Development Corporation Ltd.||Unit Fatehpur,2025_SCIDC_1070973_1,28-05/EE/FTP/PMAGY/E-Ten/25-26,Construction of PMAGY at Gram Semrehta Block Dhata Distt Fatehpur,1.0,5519308.0,M/S ANIL KUMAR CHOURASIA,INR,"1,642,882.5",AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5522067,MS ASHISH CONSTRUCTION,08-Sep-2025 07:08 PM,Rejected-AOC,2nd,09-Jan-2026 04:40 PM,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,5527247,M/S MAA TRADERS,11-Sep-2025 02:00 AM,Rejected-Technical,All document not complete,16-Oct-2025 05:13 PM,,,,,,,,,,AOC
