S.No,Instrument Type,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Financial Bid Opening Date:,Document :.2,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.3,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,Tender Stage
1,DD - Demand Draft,27-Sep-2025 06:55 PM,04-Oct-2025 02:00 PM,27-Sep-2025 06:55 PM,04-Oct-2025 12:00 PM,NA ,NA ,27-Sep-2025 06:55 PM,04-Oct-2025 12:00 PM,04-Oct-2025 05:50 PM,U.P. State Construction and Infrastructure Development Corporation Ltd.||Electrical Division Allahabad,795/EE (E)/Lucknow-Sultanpur/25-26 date 27.09.2025,2025_SCIDC_1078206_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Offline,No,No,No,"9,000",No,fixed,,UPSCIDCOLTD,Sultanpur,Executive Engineer (E),"UPSCIDCO LTD Lekhraj Market-1st, IIIrd floor Indira Nagar LKO/Sultanpur",830.0,UPSCIDCOLTD,Sultanpur,No,Solar LED Street Light at Block Baldirai in Distt. Sultanpur. (Sansad Nidhi work),Solar LED Street Light at Block Baldirai in Distt. Sultanpur. (Sansad Nidhi work),Solar LED Street Light at Block Baldirai in Distt. Sultanpur. (Sansad Nidhi work) ,NA ,,Electrical Works,NA ,Tender,90.0,60.0,Sultanpur,228001.0,NA ,NA ,NA ,"Lekhraj Market-1st, IIIrd floor Indira Nagar LKO",No ,No,1.0,Fee/PreQual/Technical,.pdf,"Tender fee, EMD and Document",AOC,Shri Sudhir Kumar,Internal,Attached,Ram Nayan,06-Oct-2025 01:21 PM,finsummary_1970774.pdf (69.64 KB),Technical,Attached,Ram Nayan,04-Oct-2025 05:39 PM,technical_1970774.pdf,Shri Sudhir Kumar,Internal,Attached,Ram Nayan,04-Oct-2025 05:48 PM,04-Oct-2025 05:50 PM,techsummary_1970774.pdf (69.64 KB),Finance,Attached,Ram Nayan,06-Oct-2025 01:07 PM,finance_1970774.pdf,BOQ Comparative Chart,1.0,5581444.0,HANSH ENTERPRISES,INR,"455,745.78",U.P. State Construction and Infrastructure Development Corporation Ltd.||Electrical Division Allahabad,2025_SCIDC_1078206_1,795/EE (E)/Lucknow-Sultanpur/25-26 date 27.09.2025,Solar LED Street Light at Block Baldirai in Distt. Sultanpur. (Sansad Nidhi work),1.0,5581444.0,HANSH ENTERPRISES,04-Oct-2025 11:59 AM,Accepted-AOC,Lowest Rate Accepted,17-Jan-2026 03:31 PM,19-Nov-2025,"INR 456,888",60.0,Ram Nayan,17-Jan-2026 03:31 PM,1078206.pdf (1489.00 KB),Attached,AOC
2,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,5580816.0,SANJAY ELECTRIC COMPANY,03-Oct-2025 11:54 PM,Rejected-Finance,Quoted Amount rate inHigh,06-Oct-2025 01:21 PM,,,,,,,,AOC
3,RTGS - RTGS Payment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
