Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Type :,Summary :,Updated By :.2,Updated On :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Financial Bid Opening Date:,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage
Director Cum Chief Engineer RED||CHIEF ENGINEER EAST||SE MIRZAPUR CIRCLE||EE SONBHADRA,2025_REDUP_1090213_1,861/EE RED/ 2025-26 DATE- 14.10.2025,G.P. KURHUL CHHOTELAL GOND KE GHAR SE RAMBADAN KE GHAR TAK CC ROAD KA NIRMAN,1.0,5676040.0,M/S OM CONSTRUCTION,INR,"2,053,196.2",1,5676051,BHAIYA JI CONSTRUCTION,15-Nov-2025 04:20 PM,Rejected-Finance,L2,12-Dec-2025 02:24 PM,16-Jan-2026,"INR 2,053,196.2",90.0,Jayprakash Dhawan,16-Jan-2026 04:17 PM,cho.pdf (189.00 KB),L1,EE RED,Internal,AE DAO,Jayprakash Dhawan,12-Dec-2025 02:24 PM,finsummary_2001985.pdf (188.75 KB),Technical,attached,Jayprakash Dhawan,10-Dec-2025 02:50 PM,technical_2001985.pdf,EE RED SBR,Internal,AE DAO,Jayprakash Dhawan,10-Dec-2025 02:58 PM,11-Dec-2025 10:00 AM,techsummary_2001985.pdf (456.88 KB),Finance,attached,Jayprakash Dhawan,12-Dec-2025 02:22 PM,finance_2001985.pdf,BOQ Comparative Chart,AOC,1.0,Fee/PreQual/Technical,.pdf,TECH DOC,G.P. KURHUL CHHOTELAL GOND KE GHAR SE RAMBADAN KE GHAR TAK CC ROAD KA NIRMAN,G.P. KURHUL CHHOTELAL GOND KE GHAR SE RAMBADAN KE GHAR TAK CC ROAD KA NIRMAN,AS PER NIT AND T1 ,NA ,,Civil Works,NA ,Tender,90.0,90.0,KURHUL,231216.0,NA ,NA ,NA ,EE RED,No ,No,1.0,SBI Bank,Director Cum Chief Engineer RED||CHIEF ENGINEER EAST||SE MIRZAPUR CIRCLE||EE SONBHADRA,861/EE RED/ 2025-26 DATE- 14.10.2025,2025_REDUP_1090213_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,13-Nov-2025 12:00 PM,18-Nov-2025 12:30 PM,13-Nov-2025 12:00 PM,18-Nov-2025 12:00 PM,NA ,NA ,13-Nov-2025 12:00 PM,18-Nov-2025 12:00 PM,11-Dec-2025 10:00 AM,"2,704",Nil,Nil,No,EE RED SBR,URMORA SONBHADRA,"50,000",No,fixed,,Nil,Nil,AOC
,,,,,,,,,2,5676026,M/s. Anand Kumar Shukla,15-Nov-2025 04:27 PM,Rejected-Technical,PRE BID NOT QUALIFY,10-Dec-2025 02:58 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,2.0,Finance,.xls,FC DOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,3,5676040,M/S OM CONSTRUCTION,15-Nov-2025 04:06 PM,Accepted-AOC,L1,16-Jan-2026 04:17 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
