Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Instrument Type,Tender Stage,Type :,Summary :,Updated By :,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Type :.1,Summary :.1,Updated By :.2,Updated On :.1,Document :.2,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.2,Financial Bid Opening Date:,Document :.3,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage
Managing Director UPSWC,U.P. State warehousing corporation New Hyderabad Lucknow 226007,05-Dec-2025 06:00 PM,22-Dec-2025 10:00 AM,05-Dec-2025 06:00 PM,20-Dec-2025 06:00 PM,NA ,NA ,05-Dec-2025 06:00 PM,20-Dec-2025 06:00 PM,31-Dec-2025 02:00 PM,1.0,Fee/PreQual/Technical,.pdf,Technical Bid,"22,800",No,fixed,,U.P. State warehousing corporation,Lucknow,Repair/Construction of UPSWC Godowns at Gajraula (Amroha) Part-D,Repair/Construction of UPSWC Godowns at Gajraula (Amroha) Part-D,Only registered contractor with UPSWC can apply ,NA ,"11,35,724",Civil Works,Maintenance /Construction Work ,Tender,90.0,90.0,Gajraula (Amroha),244235.0,Head Office UPSWC ,U.P. State warehousing corporation New Hyderabad Lucknow 226007 ,18-Dec-2025 02:00 PM ,Head Office UPSWC,No ,No,"1,180",U.P. State warehousing corporation,Lucknow,No,UP STATE WAREHOUSING CORPORATION,2025122610-4,2025_UPSWC_1096078_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Offline,No,No,No,1.0,RTGS - RTGS Payment,AOC,Technical,Technical Bid Result,Madan Pal Singh,30-Dec-2025 06:49 PM,technical_2017599.pdf,Sachiv,Internal,"Junior Office Assistant, Junior Engineer, Rakesh Kumar Rawat Senior Account Officer, Suraj Rai Senior Account Officer,Dy. Manager Finance, Manager Finance, Incharge Excutive Engineer",Madan Pal Singh,02-Jan-2026 02:48 PM,finsummary_2017599.pdf (716.48 KB),Finance,Financial Bid Result,Madan Pal Singh,02-Jan-2026 02:06 PM,finance_2017599.pdf,BOQ Comparative Chart,Sachiv,Internal,"Sachiv (Chairperson), In Charge E.E.-Civil (Co-Ordinator), Manager Fin., Dy. Manager Fin.(Manish Sonkar), Sr. Acc. Officer (Suraj Rai), Sr. Acc. Officer (Rakesh Rawat), J.E. Civil, N.C.Joshi(Jr. Ass.)",Madan Pal Singh,30-Dec-2025 08:41 PM,31-Dec-2025 02:00 PM,techsummary_2017599.pdf (465.51 KB),14-Jan-2026,"INR 965,365.4",90.0,Rakesh Kumar Rawat,27-Jan-2026 01:00 PM,gajD.pdf (581.00 KB),Work Award,1.0,5749464.0,BIJNOR CONSTRUCTION and SUPPLIERS,INR,"965,365.4",UP STATE WAREHOUSING CORPORATION,2025_UPSWC_1096078_1,2025122610-4,Repair/Construction of UPSWC Godowns at Gajraula (Amroha) Part-D,1,5756121,Ankur Constructions,19-Dec-2025 08:36 AM,Rejected-AOC,Not Selected From lottery system,27-Jan-2026 01:00 PM,AOC
,,,,,,,,,,,2.0,Finance,.xls,Financial Bid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5753859,A.T.CONS.,17-Dec-2025 09:04 PM,Rejected-AOC,Not Selected From lottery system,27-Jan-2026 01:00 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,5749464,BIJNOR CONSTRUCTION and SUPPLIERS,17-Dec-2025 11:13 AM,Accepted-AOC,Selected From lottery system,27-Jan-2026 01:00 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,5759218,JAFARGANJ CONSTRUCTION,20-Dec-2025 03:00 PM,Rejected-AOC,Not Selected From lottery system,27-Jan-2026 01:00 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5758145,MAA DURGA CONSTRUCTION,19-Dec-2025 11:12 PM,Rejected-AOC,Not Selected From lottery system,27-Jan-2026 01:00 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,5755893,M/S A.N CONSTRUCTIONS,18-Dec-2025 10:55 PM,Rejected-AOC,Not Selected From lottery system,27-Jan-2026 01:00 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,5759330,M/S BHAGWATI ASSOCIATES,20-Dec-2025 03:45 PM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,30-Dec-2025 06:49 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,5757992,M/S KRISHNA TRADERS,19-Dec-2025 09:31 PM,Rejected-AOC,Not Selected From lottery system,27-Jan-2026 01:00 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,5757705,M/s satyavir singh contractor,19-Dec-2025 07:35 PM,Rejected-AOC,Not Selected From lottery system,27-Jan-2026 01:00 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,5757368,M/S YASH ENTERPRISES,19-Dec-2025 05:03 PM,Rejected-AOC,Not Selected From lottery system,27-Jan-2026 01:00 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,5758216,SARVESH KUMAR SINGH,20-Dec-2025 12:06 AM,Rejected-AOC,Not Selected From lottery system,27-Jan-2026 01:00 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,5758166,SHAHRUKH KHAN ENGINEERS AND SUPPLIERS,19-Dec-2025 11:31 PM,Rejected-AOC,Not Selected From lottery system,27-Jan-2026 01:00 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,5757345,SHRI FAHEEMUDDIN,19-Dec-2025 05:00 PM,Rejected-AOC,Not Selected From lottery system,27-Jan-2026 12:24 AM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,5753638,SPACE ENGINEERS AND CONTRACTORS,17-Dec-2025 06:28 PM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,30-Dec-2026 12:24 AM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,5754257,STAR BUILDERS,19-Dec-2025 11:25 AM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,30-Dec-2026 12:24 AM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,5755678,SUMAN ENTERPRISES,18-Dec-2025 09:36 PM,Rejected-AOC,Not Selected From lottery system,27-Jan-2026 01:00 PM,AOC
