Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :.1,Financial Bid Opening Date:,Document :.1,Type :.1,Summary :.1,Updated By :.2,Updated On :.2,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :,Document :.3,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Tender Stage
Silt Scraping and jungle clearance of Beninagar Mr. From Km. 0.000 to Km. 3.200,Silt Scraping and jungle clearance of Beninagar Mr. From Km. 0.000 to Km. 3.200,Please refer Tender documents. ,NA ,"78,000",Civil Works - Canal,NA ,Rate Contract,90.0,20.0,SIDDHARTH NAGAR,272153.0,NA ,NA ,NA ,SARYU NAHAR KHAND BANSI SIDDHARTH NAGAR,No ,No,1,Fee/PreQual/Technical,.pdf,TENDER DOCUMENT,SARYU NAHAR KHAND BANSI SIDDHARTH NAGAR,SARYU NAHAR KHAND BANSI SIDDHARTH NAGAR,06-Oct-2025 11:00 AM,14-Oct-2025 03:00 PM,06-Oct-2025 11:00 AM,14-Oct-2025 02:00 PM,NA ,NA ,06-Oct-2025 11:00 AM,14-Oct-2025 02:00 PM,18-Oct-2025 03:00 PM,559.0,Nil,Nil,No,1.0,SBI Bank,"2,000",Yes,fixed,,Nil,Nil,"U P Irrigation Department (Civil)||Chief Engineer-Saryu Project-2, Gonda||Rapti CC Circle-2, Basti||SCD, bansi",01/EESNKBANSI/2025-26,2025_UPIDC_1079830_6,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,AOC,Finance,As per Upload,Birendra Paswan,01-Jan-2026 12:45 PM,finance_1975459.pdf,BOQ Comparative Chart,Birendra Pasean,Internal,,Birendra Paswan,17-Oct-2025 04:46 PM,18-Oct-2025 03:00 PM,techsummary_1975459.pdf (836.77 KB),Technical,As per Upload,Birendra Paswan,17-Oct-2025 04:39 PM,technical_1975459.pdf,Birendra Pasean,Internal,,Birendra Paswan,01-Jan-2026 12:47 PM,finsummary_1975459.pdf (154.83 KB),01-Jan-2026,"INR 61,231.16",20.0,Birendra Paswan,01-Jan-2026 03:16 PM,06.pdf (675.00 KB),1,5590535,ARYAN PATHAK CONSTRUCTION,07-Oct-2025 04:08 PM,Accepted-AOC,As per Upload,01-Jan-2026 03:16 PM,1,5590535,ARYAN PATHAK CONSTRUCTION,INR,"61,231.16","U P Irrigation Department (Civil)||Chief Engineer-Saryu Project-2, Gonda||Rapti CC Circle-2, Basti||SCD, bansi",2025_UPIDC_1079830_6,01/EESNKBANSI/2025-26,Silt Scraping and jungle clearance of Beninagar Mr. From Km. 0.000 to Km. 3.200,AOC
,,,,,,,,,,,,,,,,,,2,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5603466,M/S ARPIT CONSTRUCTION,13-Oct-2025 06:38 PM,Accepted-AOC,As per Upload,01-Jan-2026 03:16 PM,2,5603466,M/S ARPIT CONSTRUCTION,INR,"64,859.69",,,,,AOC
