S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :,Financial Bid Opening Date:,Document :,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,Tender Stage,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,S.No,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Stage
1.0,5586984.0,SHRI RAM CONSTRUCTION,INR,"2,292,025.4",U.P. Projects Corporation Ltd.||U.P. Projects Corp. Ltd.(MD)||Zone-3 Faizabad||Unit-11 Faizabad,2025_UPPRC_1077915_1,07/2025-26/PCL/UNIT-11/Ayodhya,PROPOSED CONSTRUCTION OF SUB CENTRE INCLUDING HEALTH WELLNESS CENTRE AT BLOCK PARASPUR AT NAKAHA T DISTT GONDA UP,1,5587159,J.P CONSTRUCTION BUILDER AND ASOCIATES,06-Oct-2025 01:37 PM,Rejected-Technical,All Document Not uploaded,29-Oct-2025 01:49 PM,21-Jan-2026,"INR 2,292,025.4",180.0,Manoj Sharma,21-Jan-2026 03:26 PM,LOA.pdf (1099.00 KB),Project Manager,Internal,,Manoj Sharma,29-Oct-2025 01:49 PM,29-Oct-2025 02:00 PM,techsummary_1970215.pdf (1359.38 KB),Finance,Found Ok,Manoj Sharma,29-Oct-2025 04:14 PM,,BOQ Comparative Chart,Project Manager,Internal,,Manoj Sharma,21-Jan-2026 03:19 PM,finsummary_1970215.pdf (825.91 KB),Technical,Part one ok,Manoj Sharma,29-Oct-2025 01:45 PM,,AOC,Project Manager Unit 11,ACHARYA NARENDRA DEV NAGAR DEOKALI ROAD AYODHYA Project Manager Unit 11,"46,000",No,fixed,,Nil,Nil,PROPOSED CONSTRUCTION OF SUB CENTRE INCLUDING HEALTH WELLNESS CENTRE AT BLOCK PARASPUR AT NAKAHA T DISTT GONDA UP,PROPOSED CONSTRUCTION OF SUB CENTRE INCLUDING HEALTH WELLNESS CENTRE AT BLOCK PARASPUR AT NAKAHA T DISTT GONDA UP,Please refer Tender documents. ,NA ,"23,21,000",Civil Works,NA ,Tender,30.0,180.0,Gonda,221504.0,NA ,NA ,NA ,Ayodhya,No ,No,1.0,Fee/PreQual/Technical,.pdf,NIT and BID,1.0,SBI Bank,U.P. Projects Corporation Ltd.||U.P. Projects Corp. Ltd.(MD)||Zone-3 Faizabad||Unit-11 Faizabad,07/2025-26/PCL/UNIT-11/Ayodhya,2025_UPPRC_1077915_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,"5,900",Nil,Nil,No,29-Sep-2025 09:00 AM,06-Oct-2025 04:00 PM,29-Sep-2025 09:00 AM,06-Oct-2025 02:00 PM,NA ,NA ,29-Sep-2025 09:00 AM,06-Oct-2025 02:00 PM,29-Oct-2025 02:00 PM,AOC
,,,,,,,,,2,5587227,M/S CHANDA CONSTRUCTION,06-Oct-2025 01:34 PM,Rejected-Finance,Not Quoted Lowest Rate,21-Jan-2026 03:19 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,3,5585460,M/S OM SAI BUILDERS,05-Oct-2025 11:26 PM,Rejected-Finance,Not Quoted Lowest Rate,21-Jan-2026 03:19 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,4,5582377,SHREE BALAJI CONSTRUCTIONS,06-Oct-2025 11:09 AM,Rejected-Finance,Not Quoted Lowest Rate,21-Jan-2026 03:19 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,5,5586984,SHRI RAM CONSTRUCTION,06-Oct-2025 01:21 PM,Accepted-AOC,Quoted Rate Lowest,21-Jan-2026 03:26 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
