Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :,Financial Bid Opening Date:,Document :,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,Tender Stage,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Instrument Type,Cover No,Cover,Document Type,Description,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage
U.P. State Construction and Infrastructure Development Corporation Ltd.||Unit Fatehpur,2025_SCIDC_1072071_1,28-06/EE/FTP/PMAGY/E-Ten/25-26,Construction of PMAGY at Gram Bhadauha Block dhata Fatehpur,1.0,5531109.0,M/S MAA TRADERS,INR,"1,611,675",1,5528975,Ms Ashok Kumar,11-Sep-2025 06:58 PM,Rejected-AOC,2nd,23-Jan-2026 01:23 PM,23-Jan-2026,"INR 1,611,675",90.0,Surendra Katuyar,23-Jan-2026 01:23 PM,wo.pdf (698.00 KB),Work Order Issue Letter No- 898 dt 24.10.2025,SS Katiyar,Internal,"Lalji Tiwari, Devendra Kumar",Surendra Katuyar,18-Oct-2025 04:38 PM,18-Oct-2025 04:40 PM,techsummary_1956485.pdf (457.91 KB),Finance,fs,Surendra Katuyar,23-Jan-2026 01:19 PM,finance_1956485.pdf,BOQ Comparative Chart,SS Katiyar,Internal,LALJI tIWARI Devendra Kumar,Surendra Katuyar,23-Jan-2026 01:21 PM,finsummary_1956485.pdf (230.97 KB),Technical,td,Surendra Katuyar,18-Oct-2025 04:36 PM,technical_1956485.pdf,AOC,"33,500",No,fixed,,EE UPSCIDCO,Fatehpur,U.P. State Construction and Infrastructure Development Corporation Ltd.||Unit Fatehpur,28-06/EE/FTP/PMAGY/E-Ten/25-26,2025_SCIDC_1072071_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Offline,No,No,No,Construction of PMAGY at Gram Bhadauha Block dhata Fatehpur,Construction of PMAGY at Gram Bhadauha Block dhata Fatehpur,Please refer Tender documents. ,NA ,"16,53,000",Civil Works,NA ,Tender,105.0,90.0,Kaushambi,212207.0,EE UPSCIDCO Prayagraj ,236/174/4 Triveni Gas Godown Road New Mehdauri Teliyarganj Prayagraj ,11-Sep-2025 12:00 PM ,EE UPSCIDCO Prayagraj,No ,No,1.0,RTGS - RTGS Payment,1.0,Fee/PreQual/Technical,.pdf,NIT,EE UPSCIDCO Fatehpur,236/174/4 Triveni Gas Godown Road New Mehdauri Teliyarganj Prayagraj,08-Sep-2025 09:00 AM,13-Sep-2025 03:00 PM,08-Sep-2025 09:00 AM,13-Sep-2025 02:00 PM,NA ,NA ,08-Sep-2025 09:00 AM,13-Sep-2025 02:00 PM,18-Oct-2025 04:40 PM,"1,652",EE UPSCIDCO,Fatehpur,No,AOC
,,,,,,,,,2,5531737,M/S DEVMANI CONSTRUCTION,13-Sep-2025 12:06 PM,Rejected-Technical,All document not complete,18-Oct-2025 04:38 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,AOC
,,,,,,,,,3,5529818,M/S KRISHNA CONSTRUCTION COMPANY,12-Sep-2025 10:04 PM,Rejected-AOC,3rd,23-Jan-2026 01:23 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,4,5531109,M/S MAA TRADERS,12-Sep-2025 09:06 PM,Accepted-AOC,1st,23-Jan-2026 01:23 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,5,5531466,M/S NARESH CHANDRA,13-Sep-2025 09:13 AM,Rejected-Technical,All document not complete,18-Oct-2025 04:38 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
