Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :,Financial Bid Opening Date:,Document :,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,Tender Stage,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Tender Stage
U.P. Projects Corporation Ltd.||U.P. Projects Corp. Ltd.(MD)||Zone-4 Agra,2025_UPPRC_1095136_2,23/GM-4/UPPCL/2025-26 Dated 27-11-2025,TOURISM DEVELOPMENT WORK OF RAM KRISHNA DHAM TEMPLE AT VILLAGE NAGLA PIRIYA IN DISTRICT FIROZABAD (U.P),1.0,5729986.0,MGH CONSTRUCTION,INR,"8,407,987.37",1,5732505,Adept Construction,09-Dec-2025 05:56 PM,Rejected-Finance,Being First Lowest,18-Dec-2025 06:38 PM,23-Dec-2025,"INR 8,407,987.37",270.0,RAJIV KUMAR PANDEY,26-Jan-2026 10:40 AM,AOC.pdf (44.00 KB),Work Awarded to M/s MGH Construction,Rajeev Kumar Panday General Manager Zone-4 Agra,Internal,"Sandeep Singh Chaudhary Project Manager Unit-4 Agra, Sanjay Singh Projects Manager Unit-32 Aligarh Shravan Kumar Accountant Unit-4 Agra",RAJIV KUMAR PANDEY,11-Dec-2025 06:22 PM,12-Dec-2025 12:30 PM,techsummary_2014274.pdf (3885.58 KB),Finance,Two Financial Bids admitted for Financial Evaluation out of Two Bids,RAJIV KUMAR PANDEY,18-Dec-2025 06:27 PM,,BOQ Comparative Chart,Rajeev Kumar Panday General Manager Zone-4 Agra,Internal,"Sandeep Singh Chaudhary Project Manager Unit-4 Agra, Sanjay Singh Projects Manager Unit-32 Aligarh Shravan Kumar Accountant Unit-4 Agra",RAJIV KUMAR PANDEY,18-Dec-2025 06:38 PM,finsummary_2014274.pdf (71.39 KB),Technical,Two Bids Out of Two Bids Admitted for Technical Valuation,RAJIV KUMAR PANDEY,11-Dec-2025 06:16 PM,,AOC,General Manager (Zone-4),"H No. A-121, Sec-13, Avas Vikas Colony, Sikandra, Agra",U.P. Projects Corporation Ltd.||U.P. Projects Corp. Ltd.(MD)||Zone-4 Agra,23/GM-4/UPPCL/2025-26 Dated 27-11-2025,2025_UPPRC_1095136_2,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,01-Dec-2025 03:30 PM,10-Dec-2025 03:00 PM,01-Dec-2025 03:30 PM,10-Dec-2025 02:00 PM,NA ,NA ,01-Dec-2025 03:30 PM,10-Dec-2025 02:00 PM,12-Dec-2025 12:30 PM,"11,800",Nil,Nil,No,TOURISM DEVELOPMENT WORK OF RAM KRISHNA DHAM TEMPLE AT VILLAGE NAGLA PIRIYA IN DISTRICT FIROZABAD (U.P),TOURISM DEVELOPMENT WORK OF RAM KRISHNA DHAM TEMPLE AT VILLAGE NAGLA PIRIYA IN DISTRICT FIROZABAD (U.P),Please refer Tender documents. ,NA ,"84,56,187",Miscellaneous Works,NA ,Tender,90.0,270.0,Village Nagla Piriya DistrictFirozabad,283204.0,Office of General Manager (Zone-4) Agra ,"H No. A-121, Sec-13, Avas Vikas Colony, Sikandra, Agra ",03-Dec-2025 11:00 AM ,General Manager (Zone-4) Agra,No ,No,1,Fee/PreQual/Technical,.pdf,Bid Doc,"1,69,000",No,fixed,,Nil,Nil,1.0,SBI Bank,AOC
,,,,,,,,,2,5729986,MGH CONSTRUCTION,09-Dec-2025 01:20 PM,Accepted-AOC,L1,26-Jan-2026 10:40 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Finance,.xls,Boq,,,,,,,,,AOC
