Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.1,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated on :.1,Document :.1,Type :.1,Summary :.1,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Bank Name,Name,Address,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Stage
29-Jan-2026,"INR 5,690,971.62",120.0,Sanjeev Kumar Jha,29-Jan-2026 09:11 PM,Agno05dateofstat.pdf (1263.00 KB),"U P Irrigation Department (Civil)||Chief Engineer-Eastern Ganga, Moradabad||Ramganga Dam Circle, Kalagarh",2025_UPIDC_1081530_1,01/S.E.R.D.C./2025-26/Lot no 05,Lot05,1.0,5630331.0,RAJENDRA SINGH,INR,"5,690,971.62",1,5625680,AARU ENTERPRISE,28-Oct-2025 11:10 AM,Rejected-Technical,rejected due to inadequate work experience,01-Nov-2025 04:46 PM,Technical,Documents have been downloaded for the Technical Evaluation.,Sanjeev Kumar Jha,28-Oct-2025 05:20 PM,,Sanjeev Kumar Jha,Internal,Dileep Kumar Chaturvedi,Sanjeev Kumar Jha,29-Jan-2026 09:04 PM,finsummary_1979933.pdf (437.26 KB),Finance,All documents have been downloaded for financial evaluation.,Sanjeev Kumar Jha,12-Jan-2026 03:24 PM,,BOQ Comparative Chart,Sanjeev Kumar Jha,Internal,Dileep Kumar Chaturvedi,Sanjeev Kumar Jha,01-Nov-2025 04:46 PM,04-Nov-2025 03:00 PM,techsummary_1979933.pdf (443.20 KB),AOC,Lot05,Restoration of damaged road at Ramganga Main Dam Kalagarh,Please refer Tender documents. ,NA ,"76,00,000",Civil Works - Roads,NA ,Tender,90.0,120.0,"Main Dam, Kalagarh",246142.0,Kalagarh ,"O/O Superintending Engineer, Ramganga Dam Circle, Kalagarh, Pauri Garhwal, Uttarakhand 246142 ",15-Oct-2025 12:00 PM ,O/O S.E.R.D.C Kalagarh,No ,No,"U P Irrigation Department (Civil)||Chief Engineer-Eastern Ganga, Moradabad||Ramganga Dam Circle, Kalagarh",01/S.E.R.D.C./2025-26/Lot no 05,2025_UPIDC_1081530_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,1.0,SBI Bank,Superintending Engineer,"O/O Superintending Engineer, Ramganga Dam Circle, Kalagarh, Pauri Garhwal, Uttarakhand 246142","2,354",Nil,Nil,No,"1,52,000",No,fixed,,Nil,Nil,1.0,Fee/PreQual/Technical,.pdf,Tender Document,10-Oct-2025 10:00 AM,28-Oct-2025 03:00 PM,10-Oct-2025 10:00 AM,28-Oct-2025 12:30 PM,NA ,NA ,10-Oct-2025 10:00 AM,28-Oct-2025 12:30 PM,04-Nov-2025 03:00 PM,AOC
,,,,,,,,,,,,,,,2,5629117,Amarpal singh,28-Oct-2025 12:12 PM,Rejected-Finance,Forth lowest bid.,29-Jan-2026 09:04 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,AOC
,,,,,,,,,,,,,,,3,5634138,BALAJI TRADERS,28-Oct-2025 11:20 AM,Rejected-Finance,Third lowest bid.,29-Jan-2026 09:04 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,4,5630217,dinesh kumar contractor,27-Oct-2025 11:31 PM,Rejected-Finance,Second Lowest bid.,29-Jan-2026 09:04 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,5,5634169,M/S ARYA CONSTRUCTION,28-Oct-2025 10:48 AM,Rejected-Technical,Rejected due to bid capacity document not found.,01-Nov-2025 04:46 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,6,5630331,RAJENDRA SINGH,27-Oct-2025 11:50 PM,Accepted-AOC,Lowest bid,29-Jan-2026 09:12 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
