Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,S.No,Bank Name,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,Type :.1,Summary :.1,Updated By :.3,Updated On :.1,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage
"U P Irrigation Department (Civil)||Chief Engineer-Sharda Sahayak, Lucknow||XIV Circle Irrigation Works, Azamgarh||SSD-32, azamgarh",04/AE-III/2025-26,2025_UPIDC_1086402_25,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,"5,000",Yes,fixed,,Nil,Nil,29-Oct-2025 10:00 AM,06-Nov-2025 12:30 PM,29-Oct-2025 11:00 AM,06-Nov-2025 11:30 AM,NA ,NA ,29-Oct-2025 11:00 AM,06-Nov-2025 11:30 AM,13-Nov-2025 09:00 AM,1,Fee/PreQual/Technical,.pdf,e-Document,Earth Work in Silt Clearance/Scraping of Jairamgarh Mr. from Km. 0.000 to Km. 1.600 and Km. 1.600 to Km. 2.500,Silt Clearance/Scraping,Please refer Tender documents. ,NA ,"54,000",Civil Works,NA ,Tender,90.0,10.0,AZAMGARH,276001.0,NA ,NA ,NA ,AZAMGARH,No ,No,59.0,Nil,Nil,No,ASSISTANT ENGINEER-III,ASSISTANT ENGINEER-III SHARDA SAHAYAK KHAND-32 AZAMGARH,1.0,SBI Bank,AOC,SHIV SHANKAR,Internal,,SHIV SHANKAR,28-Jan-2026 08:06 PM,finsummary_1992022.pdf (19.51 KB),Finance,all Admitted,SHIV SHANKAR,01-Dec-2025 07:58 PM,,BOQ Comparative Chart,1.0,5656632.0,vijay shankar kumar,INR,"62,623.2","U P Irrigation Department (Civil)||Chief Engineer-Sharda Sahayak, Lucknow||XIV Circle Irrigation Works, Azamgarh||SSD-32, azamgarh",2025_UPIDC_1086402_25,04/AE-III/2025-26,Earth Work in Silt Clearance/Scraping of Jairamgarh Mr. from Km. 0.000 to Km. 1.600 and Km. 1.600 to Km. 2.500,1,5651946,arvind kumar yadav,06-Nov-2025 07:45 AM,Rejected-Finance,L2,28-Jan-2026 08:06 PM,28-Jan-2026,"INR 54,000",10.0,SHIV SHANKAR,28-Jan-2026 08:09 PM,Accepted.pdf (20.00 KB),Technical,All Admitted,SHIV SHANKAR,11-Nov-2025 09:03 PM,,SHIVSHANKAR,Internal,,SHIV SHANKAR,12-Nov-2025 10:13 PM,13-Nov-2025 09:00 AM,techsummary_1992022.pdf (361.95 KB),AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,2,5656632,vijay shankar kumar,06-Nov-2025 12:25 AM,Accepted-AOC,L1,28-Jan-2026 08:09 PM,,,,,,,,,,,,,,,,,,,AOC
