Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.1,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated on :.1,Document :.1,Type :.1,Summary :.1,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage,Name,Address,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Stage
01-Jan-2026,"INR 3,091,091.9",90.0,Ramesh Prasad,24-Jan-2026 12:09 PM,AOC_8.pdf (486.00 KB),AOC,"U P Irrigation Department (Civil)||Chief Engineer-Saryu Project-2, Gonda||Irrigation Construction Circle, Basti",2025_UPIDC_1095291_7,05/S.E/2025-26,"Construction of Khadanja on Left Track from km 0.000 to km 1.500, km 2.200 to km 2.700 and on Right Track from km 3.400 to 3.600, km 7.600 to km 7.670 , km 9.100 to km 9.300 of Pakadi Dy.",1.0,5730444.0,M/S JAI CONSTRUCTION,INR,"3,091,091.9",1,5730444,M/S JAI CONSTRUCTION,08-Dec-2025 09:15 PM,Accepted-AOC,L1,24-Jan-2026 12:09 PM,Technical,Admitted,Ramesh Prasad,15-Dec-2025 03:03 PM,,Ramesh Prasad,Internal,Dinesh Mohan,Ramesh Prasad,19-Dec-2025 03:54 PM,finsummary_2014639.pdf (319.53 KB),Finance,Admitted,Ramesh Prasad,19-Dec-2025 03:30 PM,,BOQ Comparative Chart,Ramesh Prasad,Internal,Dinesh Mohan,Ramesh Prasad,15-Dec-2025 04:18 PM,18-Dec-2025 12:00 PM,techsummary_2014639.pdf (506.42 KB),AOC,"S.E, Irrigation Construction Circle, Basti","S.E, Irrigation Construction Circle, Basti","2,440",Nil,Nil,No,1.0,Fee/PreQual/Technical,.pdf,Technical Documents,"U P Irrigation Department (Civil)||Chief Engineer-Saryu Project-2, Gonda||Irrigation Construction Circle, Basti",05/S.E/2025-26,2025_UPIDC_1095291_7,Yes,Open Tender,Item Wise,Works,2.0,No,No,Online,No,No,No,"Construction of Khadanja on Left Track from km 0.000 to km 1.500, km 2.200 to km 2.700 and on Right Track from km 3.400 to 3.600, km 7.600 to km 7.670 , km 9.100 to km 9.300 of Pakadi Dy.","Construction of Khadanja on Left Track from km 0.000 to km 1.500, km 2.200 to km 2.700 and on Right Track from km 3.400 to 3.600, km 7.600 to km 7.670 , km 9.100 to km 9.300 of Pakadi Dy.",Please refer Tender documents. ,NA ,"37,30,000",Civil Works,NA ,Tender,90.0,90.0,Basti,272002.0,NA ,NA ,NA ,"S.E, Irrigation Construction Circle, Basti",No ,No,1.0,SBI Bank,"75,000",No,fixed,,Nil,Nil,02-Dec-2025 06:00 PM,09-Dec-2025 12:30 PM,02-Dec-2025 06:00 PM,09-Dec-2025 12:00 PM,NA ,NA ,03-Dec-2025 10:00 AM,09-Dec-2025 12:00 PM,18-Dec-2025 12:00 PM,AOC
,,,,,,,,,,,,,,,,2,5731166,M/S VIRAT TRADERS,09-Dec-2025 10:11 AM,Rejected-Technical,As Per Uploaded,15-Dec-2025 04:18 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,3,5729934,Pratap Narayan Mishra,09-Dec-2025 01:30 AM,Rejected-Finance,L2,19-Dec-2025 03:54 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
