S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Type :,Summary :,Updated By :.2,Updated On :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Financial Bid Opening Date:,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,S.No,Instrument Type,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage
1.0,5795418.0,SDBS CONSTRUCTION,INR,"1,952,123.45",Uttar Pradesh Rajya Nirman Sahkari Sangh Limited,2025_UPRNS_1102226_1,970/UPRNSS/EXEN/AYO/25-26 DT 22-12-25,"Repairing / Renovation work of Tehsil Non Residential building at Ambedkarnagar collectrate, Akabarpur, Tanda, Jalalpur, Alapur and Bhiti Disst. -Ambedkarnagar",1.0,5795744.0,HARI OM SINGH,08-Jan-2026 09:44 PM,Rejected-Finance,L2,20-Jan-2026 03:30 PM,20-Jan-2026,"INR 1,953,100",120.0,Satendra Singh Sikarwar,20-Jan-2026 05:03 PM,financialnonres.pdf (6590.00 KB),"Repairing / Renovation work of Tehsil Non Residential building at Ambedkarnagar collectrate, Akabarpur, Tanda, Jalalpur, Alapur and Bhiti Disst. -Ambedkarnagar",exen,Internal,financial,Satendra Singh Sikarwar,20-Jan-2026 03:30 PM,finsummary_2032138.pdf (6590.44 KB),Technical,technical,Satendra Singh Sikarwar,16-Jan-2026 02:42 PM,technical_2032138.pdf,EXEN,Internal,technical,Satendra Singh Sikarwar,16-Jan-2026 02:55 PM,16-Jan-2026 03:00 PM,techsummary_2032138.pdf (1145.61 KB),Finance,financial,Satendra Singh Sikarwar,20-Jan-2026 03:14 PM,,BOQ Comparative Chart,AOC,EXEN,EXEN OFFICE UPRNSS 19T-1-152 Avdhutnagar colony devkali ayodhya,27-Dec-2025 05:00 PM,12-Jan-2026 11:00 AM,27-Dec-2025 05:00 PM,10-Jan-2026 06:00 PM,NA ,NA ,27-Dec-2025 05:00 PM,10-Jan-2026 06:00 PM,16-Jan-2026 03:00 PM,Uttar Pradesh Rajya Nirman Sahkari Sangh Limited,970/UPRNSS/EXEN/AYO/25-26 DT 22-12-25,2025_UPRNS_1102226_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Offline,No,No,No,1.0,Fee/PreQual/Technical,.pdf,NIT1,1,DD - Demand Draft,"4,720",UTTAR PRADESH RAJYA NIRMAN SAHKARI SANGH LTD.,AYODHYA,No,"58,593",Yes,percentage,3.0%,EE,Lucknow,"Repairing / Renovation work of Tehsil Non Residential building at Ambedkarnagar collectrate, Akabarpur, Tanda, Jalalpur, Alapur and Bhiti Disst. -Ambedkarnagar","Repairing / Renovation work of Tehsil Non Residential building at Ambedkarnagar collectrate, Akabarpur, Tanda, Jalalpur, Alapur and Bhiti Disst. -Ambedkarnagar",Please refer Tender documents. ,ExEn ,"19,53,100",Civil Works,NA ,Tender,90.0,120.0,Tehsil ambedkarnagar,224122.0,UPRNSS OFFICE AYODHYA ,EXEN OFFICE UPRNSS 19T-1-152 Avdhutnagar colony devkali ayodhya ,07-Jan-2026 11:00 AM ,EXEN OFFICE UPRNSS 19T-1-152 Avdhutnagar colony de,No ,No,AOC
,,,,,,,,,2.0,5795418.0,SDBS CONSTRUCTION,08-Jan-2026 05:21 PM,Accepted-AOC,L1,20-Jan-2026 05:03 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,NIT2,2,BC - Bankers Cheque,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,3.0,5796534.0,SHAKUNTALA CONSTRUCTION AND GENERAL ORDER SUPPLIER,09-Jan-2026 04:00 PM,Rejected-Technical,reject no fee,16-Jan-2026 02:55 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,BOQ,3,BG - Bank Guarantee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,4,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,RTGS - RTGS Payment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
