Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,S.No,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.2,Updated On :.1,Document :.2,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage
"U P Irrigation Department (Civil)||Chief Engineer-Sharda Sahayak, Lucknow||XIV Circle Irrigation Works, Azamgarh||SSD-32, azamgarh",04/AE-III/2025-26,2025_UPIDC_1086402_22,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,ASSISTANT ENGINEER-III,ASSISTANT ENGINEER-III SHARDA SAHAYAK KHAND-32 AZAMGARH,29-Oct-2025 10:00 AM,06-Nov-2025 12:30 PM,29-Oct-2025 11:00 AM,06-Nov-2025 11:30 AM,NA ,NA ,29-Oct-2025 11:00 AM,06-Nov-2025 11:30 AM,13-Nov-2025 09:00 AM,59.0,Nil,Nil,No,1,Fee/PreQual/Technical,.pdf,e-Document,1.0,SBI Bank,Earth Work in Silt Clearance/Scraping of Kopaganj Mr. from Km. 0.000 to Km. 0.600 and Km. 0.600 to Km. 1.600,Silt Clearance/Scraping,Please refer Tender documents. ,NA ,"23,000",Civil Works,NA ,Tender,90.0,10.0,AZAMGARH,276001.0,NA ,NA ,NA ,AZAMGARH,No ,No,"2,000",Yes,fixed,,Nil,Nil,AOC,1,5656901,arvind kumar yadav,06-Nov-2025 07:39 AM,Rejected-Finance,L2,28-Jan-2026 07:55 PM,"U P Irrigation Department (Civil)||Chief Engineer-Sharda Sahayak, Lucknow||XIV Circle Irrigation Works, Azamgarh||SSD-32, azamgarh",2025_UPIDC_1086402_22,04/AE-III/2025-26,Earth Work in Silt Clearance/Scraping of Kopaganj Mr. from Km. 0.000 to Km. 0.600 and Km. 0.600 to Km. 1.600,Finance,all Admitted,SHIV SHANKAR,01-Dec-2025 08:08 PM,,BOQ Comparative Chart,SHIV SHANKAR,Internal,,SHIV SHANKAR,28-Jan-2026 07:55 PM,finsummary_1992014.pdf (19.51 KB),1.0,5656893.0,M/S AARADHYA TRADERS,INR,"23,000",Technical,All Admitted,SHIV SHANKAR,11-Nov-2025 08:58 PM,,28-Jan-2026,"INR 23,000",10.0,SHIV SHANKAR,28-Jan-2026 07:57 PM,Accepted.pdf (20.00 KB),SHIVSHANKAR,Internal,,SHIV SHANKAR,12-Nov-2025 10:07 PM,13-Nov-2025 09:00 AM,techsummary_1992014.pdf (357.67 KB),AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,2,5656893,M/S AARADHYA TRADERS,06-Nov-2025 08:13 AM,Accepted-AOC,L1,28-Jan-2026 07:57 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
